Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Operating Revenue,"18,025","18,025","18,026",-,"18,025","18,025","18,026","18,026","18,025","18,025","18,026","18,026","18,025","18,026","17,188",-,-,"2,216",294,"40,301",Upgrade,Financials in USD,Fiscal year is January - December
Revenue,"18,025","18,025","18,026",-,"18,025","18,025","18,026","18,026","18,025","18,025","18,026","18,026","18,025","18,026","17,188",-,-,"2,216",294,"40,301",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),0%,0%,0%,-,0%,0%,0%,0%,0%,-0.006%,4.875%,-,-,713.448%,5746.259%,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"1,459","1,459","1,460",-,"1,459","1,459","1,460","1,460","1,459","1,459","1,460","1,460","1,459","1,460",625,-,-,"1,333",84,"27,305",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"16,566","16,566","16,566",-,"16,566","16,566","16,566","16,566","16,566","16,566","16,566","16,566","16,566","16,566","16,563",-,-,883,210,"12,996",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","509,073","626,516","577,839",-,"615,469","1,000,832","617,138","1,038,840","589,925","405,175","393,546","548,034","439,994","400,569","876,597","483,951","473,893","996,270","125,549","245,548",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"517,548","392,824","318,240",-,"174,495","130,719","202,913","634,684","375,795","105,676","170,279","475,948","70,514","98,846","48,602","26,250",-,"1,306","35,019","63,465",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"1,026,621","1,019,340","896,079",-,"789,964","1,131,551","820,051","1,759,257","965,720","510,851","478,092","1,023,982","510,508","499,415","925,199","510,201","473,893","997,576","160,568","307,013",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-1,010,055","-1,002,774","-879,513",-,"-773,398","-1,114,985","-803,485","-1,742,691","-949,154","-494,285","-461,526","-1,007,416","-493,942","-482,849","-908,636","-510,201","-473,893","-996,693","-160,358","-294,017",Upgrade,Financials in USD,Fiscal year is January - December
