Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,-,-,-,-,"1,436,000","1,697,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-,-15.380%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"43,564,000","42,318,000","32,361,000","12,305,000","7,997,000","8,576,000",Financials in USD,Fiscal year is January - December
Gross Profit,"-43,564,000","-42,318,000","-32,361,000","-12,305,000","-6,561,000","-6,879,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","20,384,000","18,820,000","12,876,000","7,279,000","1,351,000","926,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"49,342,000","18,820,000","12,876,000","7,279,000","1,351,000","926,000",Financials in USD,Fiscal year is January - December
Operating Income,"-92,906,000","-61,138,000","-45,237,000","-19,584,000","-7,912,000","-7,805,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-3,612,000","-581,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"15,276,000","10,791,000","2,392,000","239,000","1,000","45,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-430,000","-1,443,000","-11,000","-81,106,000","586,000","-147,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-81,672,000","-52,371,000","-42,856,000","-100,451,000","-7,325,000","-7,907,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,"-155,000",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-81,672,000","-52,371,000","-42,856,000","-100,606,000","-7,325,000","-7,907,000",Financials in USD,Fiscal year is January - December
Net Income,"-81,672,000","-52,371,000","-42,856,000","-100,606,000","-7,325,000","-7,907,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,"-221,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-81,672,000","-52,371,000","-42,856,000","-100,606,000","-7,325,000","-7,686,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"59,496,301","48,609,383","40,601,936","20,057,534","419,124","430,908",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"59,496,301","48,609,383","40,601,936","20,057,534","419,124","430,908",Financials in USD,Fiscal year is January - December
Shares Change (YoY),34.183%,19.722%,102.427%,4685.585%,-2.735%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.373,-1.077,-1.056,-5.016,-17.477,-17.837,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.375,-1.080,-1.060,-5.016,-17.477,-17.837,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-67,344,000","-43,085,000","-35,314,000","-18,001,000","-7,450,000","-6,818,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.132,-0.886,-0.870,-0.897,-17.775,-15.822,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-,-550.975%,-459.929%,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-,-510.097%,-452.917%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-518.802%,-401.768%,Financials in USD,Fiscal year is January - December
EBITDA,"-92,838,000","-61,077,000","-45,205,000","-19,580,000",-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"68,000","61,000","32,000","4,000",-,-,Financials in USD,Fiscal year is January - December
EBIT,"-92,906,000","-61,138,000","-45,237,000","-19,584,000","-7,912,000","-7,805,000",Financials in USD,Fiscal year is January - December
