Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q2 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Jun '19 Jun 30, 2019",,
Revenue,"12,465,000","15,683,000","18,031,000","17,975,000","17,317,000","21,460,000","19,319,000","10,550,000","9,707,000","8,943,000","4,946,000","4,769,000","2,093,000","1,059,000","1,059,000","53,000","53,000",-,-,-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-28.019%,-26.920%,-6.667%,70.379%,78.397%,139.964%,290.598%,121.220%,363.784%,744.476%,367.044%,8898.113%,3849.057%,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"9,626,000","12,516,000","14,177,000","14,485,000","12,375,000","17,500,000","13,973,000","7,529,000","5,024,000","5,624,000","2,276,000","3,975,000","1,474,000","553,000","553,000","17,500","17,500",-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"2,839,000","3,167,000","3,854,000","3,490,000","4,942,000","3,960,000","5,346,000","3,021,000","4,683,000","3,319,000","2,670,000","794,000","619,000","506,000","506,000","35,500","35,500",-,-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","5,055,000","5,260,000","4,535,000","5,066,000","4,606,000","6,710,000","5,776,000","5,600,000","7,230,000","6,397,000","7,613,000","7,594,000","3,593,000","2,916,000","2,916,000","2,694,500","2,694,500","1,409,641","992,568","1,813,844",Financials in USD,Fiscal year is January - December
Research & Development,"118,000","62,000","47,000","25,000","8,000","13,000","16,000","75,000","79,000","111,000","210,000","67,000","-20,000","42,500","42,500","12,500","12,500","24,785","26,703",-,Financials in USD,Fiscal year is January - December
Other Operating Expenses,"266,000","513,000","728,000","126,000","573,000","1,127,000","377,000","308,000","393,000","456,000","528,000","919,000","198,000","-33,500","-33,500",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"6,118,000","6,276,000","5,441,000","6,307,000","5,482,000","9,080,000","7,716,000","7,023,000","9,057,000","9,187,000","10,332,000","10,982,000","4,231,000","3,082,000","3,082,000","5,013,500","5,013,500","1,806,249","1,219,782","1,899,714",Financials in USD,Fiscal year is January - December
Operating Income,"-3,279,000","-3,109,000","-1,587,000","-2,817,000","-540,000","-5,120,000","-2,370,000","-4,002,000","-4,374,000","-5,868,000","-7,662,000","-10,188,000","-3,612,000","-2,576,000","-2,576,000","-4,978,000","-4,978,000","-1,806,249","-1,219,782","-1,899,714",Financials in USD,Fiscal year is January - December
Interest Expense,"-27,000",-,"-22,000","-25,000","-16,000","-28,000","-23,000","-18,000",-,-,-,-,"-57,000","-32,000","-32,000",-,-,"-38,749","-36,044",-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,"25,000",-,-,-,-,-,-,"5,000","12,000","21,000","89,000",-,-,-,"21,000","21,000",-,-,-,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"77,000","-51,000","-132,000","80,000","-98,000","164,000","12,000","5,000","-128,000","-211,000","11,000","-195,000","38,000","39,000","39,000","75,500","75,500","75,430","-85,021",-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-77,000","-77,000","52,371","40,290",-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-3,229,000","-3,135,000","-1,741,000","-2,762,000","-654,000","-4,984,000","-2,381,000","-4,015,000","-4,497,000","-6,067,000","-7,630,000","-10,294,000","-3,631,000","-2,569,000","-2,569,000","-4,958,500","-4,958,500","-1,717,197","-1,300,556","-1,899,714",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,"-269,000",-,-,-,-,-,"-900,000",-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,"-23,372,000",-,-,-,"-25,072,000",-,-,-,"-51,000",-,-,-,"-908,000","-908,000",-,-,-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-322,000","872,000","-607,000","-174,000","1,233,000","1,815,000","-883,000","2,917,000","-2,177,000","-1,333,000",-,"-2,345,000",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Asset Writedown,"-413,000","-160,000","-898,000","18,806,000",-,"-34,941,000",-,"14,943,000",-,"-15,652,000",-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-3,964,000","-2,692,000","-3,246,000","-7,502,000","579,000","-38,110,000","-3,264,000","-12,127,000","-6,674,000","-23,052,000","-7,630,000","-12,690,000","-3,631,000","-2,569,000","-2,569,000","-5,866,500","-5,866,500","-1,717,197","-1,300,556","-1,899,714",Financials in USD,Fiscal year is January - December
Income Tax Expense,"-164,000","-35,000","128,000","-381,000","-51,000","-1,119,000","-78,000","-1,405,000",-,-,-,"-98,000",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-3,800,000","-2,657,000","-3,374,000","-7,121,000","630,000","-36,991,000","-3,186,000","-10,722,000","-6,674,000","-23,052,000","-7,630,000","-12,592,000","-3,631,000","-2,569,000","-2,569,000","-5,866,500","-5,866,500","-1,717,197","-1,300,556","-1,899,714",Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,-,-,-,"-1,887,000","492,000","-7,565,000","-719,000","-2,194,000","-737,000","-1,620,000",-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income to Company,"-3,800,000","-2,657,000","-3,374,000","-9,008,000","1,122,000","-44,556,000","-3,905,000","-12,916,000","-7,411,000","-24,672,000","-7,630,000","-12,592,000","-3,631,000","-2,569,000","-2,569,000","-5,866,500","-5,866,500","-1,717,197","-1,300,556","-1,899,714",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"27,000","27,000",-,"-1,099,000","115,000","266,000","29,000","79,000","30,000","41,000","64,000","48,000","23,000","20,500","20,500","59,000","59,000","16,458","22,850",-,Financials in USD,Fiscal year is January - December
Net Income,"-3,773,000","-2,630,000","-3,374,000","-10,107,000","1,237,000","-44,290,000","-3,876,000","-12,837,000","-7,381,000","-24,631,000","-7,566,000","-12,544,000","-3,608,000","-2,548,500","-2,548,500","-5,807,500","-5,807,500","-1,700,739","-1,277,707","-1,899,714",Financials in USD,Fiscal year is January - December
Net Income to Common,"-3,773,000","-2,630,000","-3,374,000","-10,107,000","1,237,000","-44,290,000","-3,876,000","-12,837,000","-7,381,000","-24,631,000","-7,566,000","-12,544,000","-3,608,000","-2,548,500","-2,548,500","-5,807,500","-5,807,500","-1,700,739","-1,277,707","-1,899,714",Financials in USD,Fiscal year is January - December
