Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022",,
"Selling, General & Admin","5,378,744","879,695","1,112,041","874,840","691,591","758,707","42,603","9,791","3,750","3,750","3,700",Financials in USD,Fiscal year is January - December
Research & Development,"627,434","594,801","804,023","203,784","262,562","667,626","440,335","477,305","229,747","66,314","63,077",Financials in USD,Fiscal year is January - December
Operating Expenses,"6,006,178","1,474,496","1,916,064","1,078,624","954,153","1,426,333","482,938","487,096","233,497","70,064","66,777",Financials in USD,Fiscal year is January - December
Operating Income,"-6,006,178","-1,474,496","-1,916,064","-1,078,624","-954,153","-1,426,333","-482,938","-487,096","-233,497","-70,064","-66,777",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,"-4,338,543","-761,824","-757,173","-124,052",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"15,445","25,493",-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-5,990,733","-1,449,003","-6,254,607","-1,840,448","-1,711,326","-1,550,385","-482,938","-487,096","-233,497","-70,064","-66,777",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"-7,486,767",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-5,990,733","-1,449,003","-6,254,607","-9,327,215","-1,711,326","-1,550,385","-482,938","-487,096","-233,497","-70,064","-66,777",Financials in USD,Fiscal year is January - December
Net Income,"-5,990,733","-1,449,003","-6,254,607","-9,327,215","-1,711,326","-1,550,385","-482,938","-487,096","-233,497","-70,064","-66,777",Financials in USD,Fiscal year is January - December
Net Income to Common,"-5,990,733","-1,449,003","-6,254,607","-9,327,215","-1,711,326","-1,550,385","-482,938","-487,096","-233,497","-70,064","-66,777",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"29,609,814","29,609,814","27,768,156","28,609,814","27,097,294","27,097,294","26,893,014","26,829,268",-,-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"29,609,814","29,609,814","27,768,156","28,609,814","27,097,294","27,097,294","26,893,014","26,829,268",-,-,-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),9.272%,9.272%,3.254%,6.637%,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.202,-0.049,-0.225,-0.326,-0.063,-0.057,-0.018,-0.018,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.202,-0.049,-0.225,-0.326,-0.063,-0.057,-0.018,-0.018,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-1,002,362","-1,522,843","-1,939,415","-1,087,215","-2,003,265","-33,577","-735,739","-255,791","-82,395","-65,238","-65,238",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.034,-0.051,-0.070,-0.038,-0.074,-0.001,-0.027,-0.010,-,-,-,Financials in USD,Fiscal year is January - December
EBIT,"-6,006,178","-1,474,496","-1,916,064","-1,078,624","-954,153","-1,426,333","-482,938","-487,096","-233,497","-70,064","-66,777",Financials in USD,Fiscal year is January - December
