Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021",,
"Selling, General & Admin","1,833,578","2,044,929","2,313,699","1,519,104","2,228,735","3,929,225","3,536,136","3,498,951","1,061,046","1,164,013","2,301,369","1,142,628","1,707,459","1,354,081","1,375,930",Financials in USD,Fiscal year is January - December
Research & Development,"436,043","709,049","512,937","257,111","673,943","1,220,576","1,055,943","1,687,276","2,334,120","719,395","1,066,962","633,968","406,948","496,509","586,852",Financials in USD,Fiscal year is January - December
Operating Expenses,"2,269,621","2,753,978","2,826,636","1,776,215","2,902,678","5,149,801","4,592,079","5,186,227","3,395,166","1,883,408","3,368,331","1,776,596","2,114,407","1,850,590","1,962,782",Financials in USD,Fiscal year is January - December
Operating Income,"-2,269,621","-2,753,978","-2,826,636","-1,776,215","-2,902,678","-5,149,801","-4,592,079","-5,186,227","-3,395,166","-1,883,408","-3,368,331","-1,776,596","-2,114,407","-1,850,590","-1,962,782",Financials in USD,Fiscal year is January - December
Interest Expense,"-131,635",-58,-101,-98,-210,-314,-,"-49,722","-69,352","-140,404","-168,064","-204,717","-225,486","-221,342","-169,821",Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,-,-,"1,078",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,"-186,401","-228,100","19,600","-212,100","12,200","246,506","-23,100","-7,507",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-2,401,256","-2,754,036","-2,826,737","-1,776,313","-2,902,888","-5,150,115","-4,591,001","-5,422,350","-3,692,618","-2,004,212","-3,748,495","-1,969,113","-2,093,387","-2,095,032","-2,140,110",Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,-,"-11,895,033",-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,"213,481",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-2,401,256","-2,754,036","-2,826,737","-13,934,568","-2,902,888","-86,325,319","-4,591,001","-5,422,350","-3,692,618","-2,004,212","-3,748,495","-1,969,113","-1,879,906","-2,095,032","-2,140,110",Financials in USD,Fiscal year is January - December
