Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"16,868,000","14,256,000","14,503,000","17,565,000","15,693,000","13,749,000","10,417,000","14,649,000","12,451,000","11,050,000","13,196,000","14,946,000","13,194,000","12,914,000","14,257,000","18,730,000","18,257,000","15,008,000","19,862,000","29,499,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),7.487%,3.688%,39.224%,19.906%,26.038%,24.425%,-21.059%,-1.987%,-5.631%,-14.434%,-7.442%,-20.203%,-27.732%,-13.953%,-28.220%,-36.506%,46.914%,-42.608%,272.087%,87.450%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"9,268,000","9,954,000","8,968,000","8,313,000","8,311,000","9,425,000","14,572,000","15,348,000","9,867,000","14,924,000","23,253,000","31,226,000","43,739,000","51,093,000","67,599,000","65,165,000","67,371,000","62,404,000","66,013,000","67,025,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"7,600,000","4,302,000","5,535,000","9,252,000","7,382,000","4,324,000","-4,155,000","-699,000","2,584,000","-3,874,000","-10,057,000","-16,280,000","-30,545,000","-38,179,000","-53,342,000","-46,435,000","-49,114,000","-47,396,000","-46,151,000","-37,526,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","16,875,000","17,056,000","16,742,000","15,492,000","16,142,000","19,278,000","19,183,000","16,732,000","16,277,000","16,222,000","17,842,000","21,516,000","21,299,000","25,931,000","30,550,000","30,055,000","27,501,000","24,780,000","26,325,000","33,046,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"16,875,000","17,056,000","16,742,000","15,492,000","16,142,000","19,278,000","19,183,000","16,732,000","16,277,000","16,222,000","17,842,000","21,516,000","21,299,000","25,931,000","30,550,000","30,055,000","27,501,000","24,780,000","26,325,000","33,046,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-9,275,000","-12,754,000","-11,207,000","-6,240,000","-8,760,000","-14,954,000","-23,338,000","-17,431,000","-13,693,000","-20,096,000","-27,899,000","-37,796,000","-51,844,000","-64,110,000","-83,892,000","-76,490,000","-76,615,000","-72,176,000","-72,476,000","-70,572,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-630,000","-644,000","-629,000","-623,000","-609,000","-568,000","-550,000","-550,000","-1,545,000","-2,137,000","-2,137,000","-2,137,000","-2,136,000","-11,612,000","-11,873,000","-11,680,000","-11,573,000","-11,391,000","-9,941,000","-8,035,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,415,000","1,128,000","1,534,000","1,787,000","1,786,000","2,504,000","2,879,000","413,000","3,158,000","3,140,000","25,000","1,238,000",-,"1,171,000",-,"1,098,000","1,109,000","1,074,000","1,460,000","1,137,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,"21,926,000","16,547,000","20,139,000","13,403,000","21,381,000","13,515,000","11,913,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,"-100,000","60,000",-,-,"100,000","600,000","-400,000","-700,000","-400,000","-900,000",-,-,-,"-300,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,-,-,"-166,000",-,"-234,000",-,"126,000","-1,736,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-8,490,000","-12,270,000","-10,402,000","-5,016,000","-7,583,000","-13,018,000","-20,909,000","-16,968,000","-12,480,000","-19,793,000","-30,411,000","-39,595,000","-54,146,000","-52,625,000","-79,452,000","-67,233,000","-73,550,000","-62,848,000","-67,442,000","-65,557,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,"-1,169,000","-1,574,000",-,"-509,000","-3,005,000","-9,324,000","-18,371,000","-1,771,000",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,"2,709,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-1,562,000","-2,951,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,"-3,034,000",-,-,-,-,-,-,-,-,-,"-15,464,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-10,052,000","-15,221,000","-10,402,000","-5,016,000","-7,583,000","-14,187,000","-22,483,000","-14,259,000","-16,023,000","-22,798,000","-39,735,000","-57,966,000","-55,917,000","-52,625,000","-79,452,000","-67,233,000","-73,550,000","-62,848,000","-82,906,000","-65,557,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"2,646,000","1,308,000","1,262,000","3,494,000","1,367,000","1,458,000","-395,000","-3,000",-,"-5,000","524,000","-151,000","-7,000","-220,000","227,000","-8,799,000","93,000","39,000","147,000","49,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-12,698,000","-16,529,000","-11,664,000","-8,510,000","-8,950,000","-15,645,000","-22,088,000","-14,256,000","-16,023,000","-22,793,000","-40,259,000","-57,815,000","-55,910,000","-52,405,000","-79,679,000","-58,434,000","-73,643,000","-62,887,000","-83,053,000","-65,606,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,-,-,-,-,-,-,-,"3,894,000","932,654,000","14,602,000","14,313,000","25,781,000","20,602,000",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-12,698,000","-16,529,000","-11,664,000","-8,510,000","-8,950,000","-15,645,000","-22,088,000","-10,362,000","916,631,000","-8,191,000","-25,946,000","-32,034,000","-35,308,000","-52,405,000","-79,679,000","-58,434,000","-73,643,000","-62,887,000","-83,053,000","-65,606,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-12,698,000","-16,529,000","-11,664,000","-8,510,000","-8,950,000","-15,645,000","-22,088,000","-10,362,000","916,631,000","-8,191,000","-25,946,000","-32,034,000","-35,308,000","-52,405,000","-79,679,000","-58,434,000","-73,643,000","-62,887,000","-83,053,000","-65,606,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"49,038,000","48,747,000","48,283,000","49,415,000","52,361,000","56,682,000","62,934,000","67,395,000","75,515,000","76,270,000","75,247,000","73,960,000","73,574,000","65,669,000","64,493,000","63,725,000","63,303,000","62,861,000","59,463,000","56,102,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"49,038,000","48,747,000","48,283,000","49,415,000","52,361,000","56,682,000","62,934,000","67,395,000","75,515,000","76,270,000","75,247,000","73,960,000","73,574,000","65,669,000","64,493,000","63,725,000","63,303,000","62,861,000","59,463,000","56,102,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),-6.346%,-13.999%,-23.280%,-26.679%,-30.661%,-25.682%,-16.363%,-8.876%,2.638%,16.143%,16.675%,16.061%,16.225%,4.467%,8.459%,13.588%,13.328%,13.204%,8.237%,2.836%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.259,-0.339,-0.242,-0.172,-0.171,-0.276,-0.351,-0.154,12.138,-0.107,-0.345,-0.433,-0.480,-0.798,-1.235,-0.917,-1.163,-1.000,-1.397,-1.169,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.259,-0.339,-0.242,-0.172,-0.171,-0.276,-0.351,-0.154,12.138,-0.107,-0.345,-0.437,-0.480,-0.798,-1.235,-0.917,-1.163,-1.000,-1.397,-1.169,Upgrade,Financials in USD,Fiscal year is January - December
