Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,"25,070,000","24,354,000","15,216,000","1,120,000","14,580,000","749,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),7.805%,60.055%,1258.571%,-92.318%,1846.595%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"52,612,000","51,738,000","33,997,000","19,670,000","15,008,000","11,064,467",Financials in USD,Fiscal year is January - December
Gross Profit,"-27,542,000","-27,384,000","-18,781,000","-18,550,000","-428,000","-10,315,467",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","36,043,000","44,549,000","40,176,000","18,511,000","2,121,000","1,854,378",Financials in USD,Fiscal year is January - December
Operating Expenses,"36,043,000","44,549,000","40,176,000","18,511,000","2,121,000","1,854,378",Financials in USD,Fiscal year is January - December
Operating Income,"-63,585,000","-71,933,000","-58,957,000","-37,061,000","-2,549,000","-12,169,845",Financials in USD,Fiscal year is January - December
Interest Expense,"-211,000","-231,000","-230,000","-665,000","-815,000","-89,885",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"4,749,000","6,400,000","2,398,000","13,000","41,000","5,950",Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-2,000","-1,000",-,-,-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-59,049,000","-65,765,000","-56,789,000","-37,713,000","-3,323,000","-12,253,780",Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,"-3,724,000","-74,156,000",-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"1,781,000","-153,000",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-61,687,000","-65,765,000","-60,513,000","-110,088,000","-3,476,000","-12,253,780",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,"2,000","2,000","1,300",Financials in USD,Fiscal year is January - December
Net Income,"-61,687,000","-65,765,000","-60,513,000","-110,090,000","-3,478,000","-12,255,080",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,"647,000","987,000","986,554",Financials in USD,Fiscal year is January - December
Net Income to Common,"-61,687,000","-65,765,000","-60,513,000","-110,737,000","-4,465,000","-13,241,634",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"26,999,703","26,917,967","22,511,237","8,923,369","2,542,358","8,015,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"26,999,703","26,917,967","22,511,237","8,923,369","2,542,358","8,015,000",Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.378%,19.576%,152.273%,250.988%,-68.280%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.285,-2.443,-2.688,-12.410,-1.756,-1.652,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.285,-2.443,-2.688,-12.410,-1.756,-1.652,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-56,425,000","-63,635,000","-50,084,000","-22,469,000","-12,701,000","-7,619,788",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.090,-2.364,-2.225,-2.518,-4.996,-0.951,Financials in USD,Fiscal year is January - December
Gross Margin,-109.860%,-112.441%,-123.429%,-,-2.936%,-,Financials in USD,Fiscal year is January - December
Operating Margin,-253.630%,-295.364%,-387.467%,-3309.018%,-17.483%,-1624.812%,Financials in USD,Fiscal year is January - December
Profit Margin,-246.059%,-270.038%,-397.693%,-9887.232%,-30.624%,-1767.908%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-225.070%,-261.292%,-329.154%,-2006.161%,-87.112%,-1017.328%,Financials in USD,Fiscal year is January - December
EBITDA,"-63,395,000","-71,764,000","-58,798,000","-36,956,000","-2,540,000","-12,163,869",Financials in USD,Fiscal year is January - December
EBITDA Margin,-252.872%,-294.670%,-,-,-17.421%,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"190,000","169,000","159,000","105,000","9,000","5,976",Financials in USD,Fiscal year is January - December
EBIT,"-63,585,000","-71,933,000","-58,957,000","-37,061,000","-2,549,000","-12,169,845",Financials in USD,Fiscal year is January - December
EBIT Margin,-253.630%,-295.364%,-,-,-17.483%,-,Financials in USD,Fiscal year is January - December
Revenue as Reported,"25,070,000","24,354,000","15,216,000","1,120,000","14,580,000","749,000",Financials in USD,Fiscal year is January - December
