Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,-,-,-,"351,367,000","48,633,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,622.487%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"78,277,000","70,090,000","62,390,000","167,205,000","38,023,000","10,170,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-78,277,000","-70,090,000","-62,390,000","184,162,000","10,610,000","-10,170,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","47,022,000","49,919,000","48,714,000","45,785,000","21,640,000","4,438,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"47,022,000","49,919,000","48,714,000","45,785,000","21,640,000","4,438,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-125,299,000","-120,009,000","-111,104,000","138,377,000","-11,030,000","-14,608,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"27,540,000","29,224,000","11,151,000","213,000","83,000","574,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-97,759,000","-90,785,000","-99,953,000","138,590,000","-10,947,000","-14,034,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-75,198,000","-44,153,000","-19,546,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-172,957,000","-134,938,000","-119,499,000","138,590,000","-10,947,000","-14,034,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"1,049,000","1,018,000","-3,590,000","17,400,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-174,006,000","-135,956,000","-115,909,000","121,190,000","-10,947,000","-14,034,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-174,006,000","-135,956,000","-115,909,000","121,190,000","-10,947,000","-14,034,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"84,007,592","83,389,750","83,245,385","82,820,037","21,592,441","10,091,100",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"84,007,592","83,389,750","83,245,385","88,249,243","21,592,441","10,091,100",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.786%,0.173%,-5.670%,308.704%,113.975%,0.515%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.071,-1.630,-1.392,1.463,-0.507,-1.391,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.071,-1.630,-1.392,1.370,-0.510,-1.391,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-126,936,000","-85,395,000","-122,925,000","-87,009,000","296,708,000","-12,831,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.511,-1.024,-1.477,-0.986,13.741,-1.272,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,52.413%,21.816%,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,39.382%,-22.680%,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,34.491%,-22.509%,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-24.763%,610.096%,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-124,883,000","-119,593,000","-110,844,000","138,406,000","-11,011,000","-14,591,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,39.391%,-22.641%,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"416,000","416,000","260,000","29,000","19,000","17,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-125,299,000","-120,009,000","-111,104,000","138,377,000","-11,030,000","-14,608,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,39.382%,-22.680%,-,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,12.555%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
