Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"35,000,000","12,595,000","267,630,000","344,775,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-47.368%,-95.294%,-22.375%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"35,000,000","12,595,000","267,630,000","344,775,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","49,641,000","50,396,000","43,947,000","40,505,000","15,340,000","8,837,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"131,453,000","109,773,000","96,187,000","59,369,000","29,614,000","18,421,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"181,094,000","160,169,000","140,134,000","99,874,000","44,954,000","27,258,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-146,094,000","-147,574,000","127,496,000","244,901,000","-44,954,000","-27,258,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"31,055,000","31,774,000","11,361,000","78,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"2,866,000","6,770,000","9,879,000","11,485,000","6,864,000","4,923,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-112,173,000","-109,030,000","148,736,000","256,464,000","-38,090,000","-22,335,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"9,080,000","3,612,000","52,084,000","41,943,000","-57,000","119,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-121,253,000","-112,642,000","96,652,000","214,521,000","-38,033,000","-22,454,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,"5,369,000","4,081,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-121,253,000","-112,642,000","96,652,000","214,521,000","-43,402,000","-26,535,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,-,-,-54.945%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"38,625,804","35,763,520","35,552,025","35,181,383","15,080,266","202,793",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"38,625,804","35,763,520","37,766,507","37,774,790","15,080,266","202,793",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),8.149%,-5.304%,-0.022%,150.492%,7336.285%,9.195%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-3.139,-3.150,2.719,6.098,-2.878,-130.848,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-3.139,-3.150,2.560,5.680,-2.880,-130.848,Upgrade,Financials in USD,Fiscal year is January - December
EPS Growth,-,-,-54.930%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-120,320,000","-106,722,000","-112,131,000","511,959,000","-25,532,000","-23,866,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-3.115,-2.984,-2.969,13.553,-1.693,-117.687,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,100.000%,100.000%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-417.411%,-1171.687%,47.639%,71.032%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-346.437%,-894.339%,36.114%,62.221%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-343.771%,-847.336%,-41.898%,148.491%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-144,951,000","-146,676,000","128,299,000","245,504,000","-44,419,000","-26,647,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,47.939%,71.207%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,143,000","898,000","803,000","603,000","535,000","611,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-146,094,000","-147,574,000","127,496,000","244,901,000","-44,954,000","-27,258,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,47.639%,71.032%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,35.018%,16.354%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"35,000,000","12,595,000","267,630,000","344,775,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
