Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021",,
Revenue,"148,111","125,700","146,094","42,707","126,754","62,648","21,464","-8,841","318,447","37,433","164,171","286,645",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),16.849%,100.645%,580.647%,-,-60.196%,67.360%,-86.926%,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"1,051,750","3,184,890","402,619","246,458","334,899","387,849","197,114","366,292","119,936","318,514","153,191","505,359",Financials in USD,Fiscal year is January - December
Gross Profit,"-903,639","-3,059,190","-256,525","-203,751","-208,145","-325,201","-175,650","-375,133","198,511","-281,081","10,980","-218,714",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,215,053","1,129,560","1,075,134","1,690,410","1,313,617","462,795","775,014","309,565","413,627","405,838","174,692","263,172",Financials in USD,Fiscal year is January - December
Operating Expenses,"1,215,053","1,129,560","1,075,134","1,690,410","1,313,617","462,795","775,014","309,565","413,627","405,838","174,692","263,172",Financials in USD,Fiscal year is January - December
Operating Income,"-2,118,692","-4,188,750","-1,331,659","-1,894,161","-1,521,762","-787,996","-950,664","-684,698","-215,116","-686,919","-163,712","-481,886",Financials in USD,Fiscal year is January - December
Interest Expense,"-1,467","-3,621","-1,402","-5,446","-40,106","-1,099,656","-1,141,429","-1,105,645","-1,215,978","-905,519","-762,217","-921,036",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-40,089","18,583","1,761,109","-98,313","22,000","-391,027","-4,543",-244,"-19,323","-557,328","18,732",-324,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-2,160,248","-4,173,788","428,048","-1,997,920","-1,539,868","-2,278,679","-2,096,636","-1,790,587","-1,450,417","-2,149,766","-907,197","-1,403,246",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"-48,236","5,713,473","-1,064,849","-500,835","120,683",-,-,-,"38,500",Financials in USD,Fiscal year is January - December
Pretax Income,"-2,160,248","-4,173,788","428,048","-2,046,156","4,173,605","-3,343,528","-2,597,471","-1,669,904","-1,450,417","-2,149,766","-907,197","-1,364,746",Financials in USD,Fiscal year is January - December
Income Tax Expense,250,438,63,61,63,63,63,-250,250,250,250,250,Financials in USD,Fiscal year is January - December
