Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022",,
Revenue,-,-,-,-,-,-,"19,306,000","10,447,000","10,220,000","41,915,000","10,718,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-,-,-,80.127%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"14,424,000","644,000","15,790,000","13,349,000","14,172,000","507,000","15,053,000","13,195,000","21,251,000","26,537,000","18,701,000",Financials in USD,Fiscal year is January - December
Gross Profit,"-14,424,000","-644,000","-15,790,000","-13,349,000","-14,172,000","-507,000","4,253,000","-2,748,000","-11,031,000","15,378,000","-7,983,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","3,944,000","4,327,000","4,901,000","4,398,000","4,758,000","4,659,000","4,032,000","4,353,000","5,240,000","3,932,000","4,698,000",Financials in USD,Fiscal year is January - December
Research & Development,-,"17,086,000",-,-,-,"16,686,000",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"3,944,000","21,413,000","4,901,000","4,398,000","4,758,000","21,345,000","4,032,000","4,353,000","5,240,000","3,932,000","4,698,000",Financials in USD,Fiscal year is January - December
Operating Income,"-18,368,000","-22,057,000","-20,691,000","-17,747,000","-18,930,000","-21,852,000","221,000","-7,101,000","-16,271,000","11,446,000","-12,681,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"520,000","755,000","1,078,000","1,241,000","1,578,000","347,000","380,000","468,000","200,000","180,000","85,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-17,848,000","-21,302,000","-19,613,000","-16,506,000","-17,352,000","-21,505,000","601,000","-6,633,000","-16,071,000","11,626,000","-12,596,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"-109,000",-,-,"-615,000","-7,019,000",-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-17,848,000","-21,302,000","-19,613,000","-16,615,000","-17,352,000","-21,505,000","-14,000","-13,652,000","-16,071,000","11,626,000","-12,596,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"-816,000","2,000","16,000","-165,000","-33,000","-6,000","-82,000","15,000","80,000","26,000","20,000",Financials in USD,Fiscal year is January - December
Net Income,"-17,032,000","-21,304,000","-19,629,000","-16,450,000","-17,319,000","-21,499,000","68,000","-13,667,000","-16,151,000","11,600,000","-12,616,000",Financials in USD,Fiscal year is January - December
