Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020",,
Revenue,"1,310,839","583,231",-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"9,050,140","7,627,491","16,402,273","23,895,875",-,Financials in USD,Fiscal year is January - December
Gross Profit,"-7,739,301","-7,044,260","-16,402,273","-23,895,875",-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","7,029,238","8,427,703","20,969,771","13,550,478","14,931,887",Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,"37,879,325",Financials in USD,Fiscal year is January - December
Operating Expenses,"7,029,238","8,427,703","20,969,771","13,550,478","52,811,212",Financials in USD,Fiscal year is January - December
Operating Income,"-14,768,539","-15,471,963","-37,372,044","-37,446,353","-52,811,212",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,324,805","1,224,133","448,667","1,648","222,652",Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-63,432","-38,926","281,534","317,402","-890,252",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-13,507,166","-14,286,756","-36,641,843","-37,127,303","-53,478,812",Financials in USD,Fiscal year is January - December
Pretax Income,"-13,507,166","-14,286,756","-112,662,027","-37,127,303","-53,478,812",Financials in USD,Fiscal year is January - December
Net Income,"-13,507,166","-14,286,756","-112,662,027","-37,127,303","-53,478,812",Financials in USD,Fiscal year is January - December
Net Income to Common,"-13,507,166","-14,286,756","-112,662,027","-37,127,303","-53,478,812",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"4,954,930","3,617,607","1,657,055","1,064,325","1,056,681",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"4,954,930","3,617,607","1,657,055","1,064,325","1,056,681",Financials in USD,Fiscal year is January - December
Shares Change (YoY),47.989%,118.315%,55.691%,0.723%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.726,-3.949,-67.989,-34.883,-50.610,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.726,-3.949,-67.989,-34.883,-50.610,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-13,808,100","-12,270,701","-25,011,136","-37,686,179","-41,828,381",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.787,-3.392,-15.094,-35.409,-39.585,Financials in USD,Fiscal year is January - December
Operating Margin,-1126.648%,-2652.802%,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-1030.421%,-2449.588%,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-1053.379%,-2103.918%,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-14,746,663","-15,464,911","-37,367,641","-37,433,524","-52,782,378",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"21,876","7,052","4,403","12,829","28,834",Financials in USD,Fiscal year is January - December
EBIT,"-14,768,539","-15,471,963","-37,372,044","-37,446,353","-52,811,212",Financials in USD,Fiscal year is January - December
