Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,"4,032,000","3,072,000","3,066,000","4,438,000","4,162,000","4,008,000","4,053,000","4,605,000","3,955,000","3,621,000","3,312,000","3,066,000","2,155,000","1,334,000","62,000","336,000","72,000","71,000","177,000","58,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-3.123%,-23.353%,-24.352%,-3.626%,5.234%,10.688%,22.373%,50.196%,83.527%,171.439%,5241.935%,812.500%,2893.056%,1778.873%,-64.972%,479.310%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"2,094,000","1,341,000","1,705,000","2,437,000","2,006,000","1,727,000","1,985,000","2,310,000","2,010,000","2,012,000","2,068,000","1,633,000","986,000","586,000",-,-,-,-,"4,222,000","3,813,000",Financials in USD,Fiscal year is January - December
Gross Profit,"1,938,000","1,731,000","1,361,000","2,001,000","2,156,000","2,281,000","2,068,000","2,295,000","1,945,000","1,609,000","1,244,000","1,433,000","1,169,000","748,000","62,000","336,000","72,000","71,000","-4,045,000","-3,755,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","13,296,000","16,093,000","14,288,000","13,068,000","14,769,000","16,074,000","15,039,000","14,614,000","15,447,000","14,172,000","14,298,000","13,092,000","11,855,000","10,484,000","10,333,000","7,955,000","3,726,000","1,902,000","1,780,000","1,643,000",Financials in USD,Fiscal year is January - December
Research & Development,"12,967,000","12,734,000","12,265,000","11,165,000","13,232,000","14,148,000","14,474,000","12,630,000","11,564,000","10,871,000","10,732,000","8,215,000","7,745,000","6,935,000","6,227,000","5,422,000","4,762,000","4,536,000",-,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"26,263,000","28,827,000","26,553,000","24,233,000","28,001,000","30,222,000","29,513,000","27,244,000","27,011,000","25,043,000","25,030,000","21,307,000","19,600,000","17,419,000","16,560,000","13,377,000","8,488,000","6,438,000","1,780,000","1,643,000",Financials in USD,Fiscal year is January - December
Operating Income,"-24,325,000","-27,096,000","-25,192,000","-22,232,000","-25,845,000","-27,941,000","-27,445,000","-24,949,000","-25,066,000","-23,434,000","-23,786,000","-19,874,000","-18,431,000","-16,671,000","-16,498,000","-13,041,000","-8,416,000","-6,367,000","-5,825,000","-5,398,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,"-22,000",-,-,-,-,-,-,-,"-1,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"4,082,000","4,433,000","4,586,000","4,720,000","4,767,000","4,560,000","3,717,000","2,497,000","1,285,000","676,000","144,000","157,000","46,000","55,000","69,000","105,000","196,000","250,000","332,000","253,000",Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,"-861,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-224,000","-187,000","-73,000","-287,000","-10,000","-50,000","-231,000","-73,000","-199,000","-57,000","-4,000",-,-,-,-,-,"-9,000",-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-21,328,000","-22,850,000","-20,679,000","-17,799,000","-21,088,000","-23,431,000","-23,959,000","-22,525,000","-23,980,000","-22,815,000","-23,646,000","-19,739,000","-18,385,000","-16,616,000","-16,429,000","-12,936,000","-8,229,000","-6,117,000","-5,493,000","-5,146,000",Financials in USD,Fiscal year is January - December
Net Income,"-21,328,000","-22,850,000","-20,679,000","-17,799,000","-21,088,000","-23,431,000","-23,959,000","-22,525,000","-23,980,000","-22,815,000","-23,646,000","-19,739,000","-18,385,000","-16,616,000","-16,429,000","-12,936,000","-8,229,000","-6,117,000","-5,493,000","-5,146,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-21,328,000","-22,850,000","-20,679,000","-17,799,000","-21,088,000","-23,431,000","-23,959,000","-22,525,000","-23,980,000","-22,815,000","-23,646,000","-19,739,000","-18,385,000","-16,616,000","-16,429,000","-12,936,000","-8,229,000","-6,117,000","-5,493,000","-5,146,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"61,186,324","64,576,399","64,586,056","64,157,125","63,929,743","63,762,625","63,543,094","62,805,423","62,538,983","62,376,571","62,003,504","61,562,065","61,133,518","60,841,657","59,887,842","23,893,201","10,285,401","9,718,393","8,944,284","8,200,776",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"61,186,324","64,576,399","64,586,056","64,157,125","63,929,743","63,762,625","63,543,094","62,805,423","62,538,983","62,376,571","62,003,504","61,562,065","61,133,518","60,841,657","59,887,842","23,893,201","10,285,401","9,718,393","8,944,284","8,200,776",Financials in USD,Fiscal year is January - December
Shares Change (YoY),-4.291%,1.276%,1.641%,2.152%,2.224%,2.222%,2.483%,2.020%,2.299%,2.523%,3.533%,157.655%,494.372%,526.046%,569.566%,191.353%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.349,-0.354,-0.320,-0.277,-0.330,-0.367,-0.377,-0.359,-0.383,-0.366,-0.381,-0.321,-0.301,-0.273,-0.274,-0.541,-0.800,-0.629,-0.614,-0.628,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.349,-0.354,-0.320,-0.277,-0.330,-0.367,-0.377,-0.359,-0.383,-0.366,-0.381,-0.321,-0.301,-0.273,-0.274,-0.541,-0.800,-0.629,-0.614,-0.628,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-16,319,000","-11,243,000","-11,210,000","-12,029,000","-18,612,000","-16,281,000","-19,452,000","-19,229,000","-16,059,000","-15,526,000","-20,231,000","-13,703,000","-11,401,000","-12,455,000","-15,710,000","-5,612,000","-6,355,000","-7,258,000","-6,137,000","-3,769,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.267,-0.174,-0.174,-0.187,-0.291,-0.255,-0.306,-0.306,-0.257,-0.249,-0.326,-0.223,-0.186,-0.205,-0.262,-0.235,-0.618,-0.747,-0.686,-0.460,Financials in USD,Fiscal year is January - December
