Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022",,
Revenue,-,-,-,"122,000",-,"-25,000","25,000","2,029,000",-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-93.987%,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,"913,500","913,500","4,266,000",-,"-1,207,000","1,207,000","9,754,000",-,Financials in USD,Fiscal year is January - December
Gross Profit,-,"-913,500","-913,500","-4,144,000",-,"1,182,000","-1,182,000","-7,725,000",-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","391,686","1,696,000","1,696,000","6,328,854","315,247","-591,601","1,549,500","7,135,735","533,796",Financials in USD,Fiscal year is January - December
Operating Expenses,"391,686","1,696,000","1,696,000","6,328,854","315,247","-591,601","1,549,500","7,135,735","533,796",Financials in USD,Fiscal year is January - December
Operating Income,"-391,686","-2,609,500","-2,609,500","-10,472,854","-315,247","1,773,601","-2,731,500","-14,860,735","-533,796",Financials in USD,Fiscal year is January - December
Interest Expense,-,"-71,500","-71,500","-5,260,139",-,-,"-4,500","-1,747,396",-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"84,240","1,000","1,000","104,646","494,268","4,808,871","24,500",-,"1,429,335",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,"1,778,000","1,778,000",-,"-127,646",-,-,-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-307,446","-902,000","-902,000","-15,628,347","51,375","6,582,472","-2,711,500","-16,608,131","895,539",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,"43,916",Financials in USD,Fiscal year is January - December
Pretax Income,"-307,446","-902,000","-902,000","-15,628,347","51,375","6,582,472","-2,711,500","-16,608,131","939,455",Financials in USD,Fiscal year is January - December
Income Tax Expense,"27,654",-,-,"-1,093,646","96,005","997,641",-,"36,547","287,034",Financials in USD,Fiscal year is January - December
Net Income,"-335,100","-902,000","-902,000","-14,534,701","-44,630","5,584,831","-2,711,500","-16,644,678","652,421",Financials in USD,Fiscal year is January - December
Net Income to Common,"-335,100","-902,000","-902,000","-14,534,701","-44,630","5,584,831","-2,711,500","-16,644,678","652,421",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"8,150,940","9,384,688","9,384,688","9,272,382","10,935,692","44,051,050","9,347,206","9,234,882","37,500,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"8,150,940","9,384,688","9,384,688","9,272,382","10,935,692","44,051,050","9,347,206","9,234,882","37,500,000",Financials in USD,Fiscal year is January - December
Shares Change (YoY),-25.465%,-78.696%,0.401%,0.406%,-70.838%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.041,-0.096,-0.096,-1.568,-0.004,0.127,-0.290,-1.802,0.017,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.041,-0.096,-0.096,-1.568,-0.004,0.127,-0.290,-1.802,0.017,Financials in USD,Fiscal year is January - December
Free Cash Flow,"3,442,008","-2,109,000","-2,109,000","-5,943,438","1,848,438","-1,677,500","-1,677,500","-7,895,138",-,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.422,-0.225,-0.225,-0.641,0.169,-0.038,-0.179,-0.855,-,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-8584.307%,-,-,-10926.000%,-732.417%,-,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-11913.689%,-,-,-10846.000%,-820.339%,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-4871.670%,-,-,-6710.000%,-389.115%,-,Financials in USD,Fiscal year is January - December
EBITDA,"-362,186","-2,580,000","-2,580,000","-10,403,104","-243,747","1,845,101","-2,660,000","-14,767,735","-403,046",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"29,500","29,500","29,500","69,750","71,500","71,500","71,500","93,000","130,750",Financials in USD,Fiscal year is January - December
EBIT,"-391,686","-2,609,500","-2,609,500","-10,472,854","-315,247","1,773,601","-2,731,500","-14,860,735","-533,796",Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,-,186.871%,15.156%,-,-,30.553%,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,-,"122,000",-,-,"25,000","2,029,000",-,Financials in USD,Fiscal year is January - December
