Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+3 Quarters,,
Revenue,-,-,"10,007,000","-1,000","25,202,000","119,000","226,000","253,000","344,000","365,000","419,000","567,000","666,000","844,000","952,000","82,654,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,4327.876%,-,7226.163%,-67.397%,-46.062%,-55.379%,-48.348%,-56.754%,-55.987%,-99.314%,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"76,619,000","91,992,000","82,403,000","73,865,000","81,494,000","88,201,000","82,827,000","63,927,000","66,900,000","60,511,000","51,667,000","51,080,000","44,155,000","45,147,000","30,622,000","-67,739,000","24,376,000","21,666,000","21,700,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-76,619,000","-91,992,000","-72,396,000","-73,866,000","-56,292,000","-88,082,000","-82,601,000","-63,674,000","-66,556,000","-60,146,000","-51,248,000","-50,513,000","-43,489,000","-44,303,000","-29,670,000","150,393,000","-24,376,000","-21,666,000","-21,700,000",-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","19,750,000","20,139,000","19,799,000","20,397,000","18,485,000","20,120,000","19,579,000","19,721,000","16,074,000","17,465,000","16,068,000","15,474,000","15,501,000","14,422,000","12,735,000","18,816,000","12,231,000","6,053,000","4,758,000","6,642,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"96,589,000",-,-,-,"19,191,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"19,750,000","20,139,000","19,799,000","20,397,000","18,485,000","20,120,000","19,579,000","19,721,000","16,074,000","17,465,000","16,068,000","15,474,000","15,501,000","14,422,000","12,735,000","115,405,000","12,231,000","6,053,000","4,758,000","25,833,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-96,369,000","-112,131,000","-92,195,000","-94,263,000","-74,777,000","-108,202,000","-102,180,000","-83,395,000","-82,630,000","-77,611,000","-67,316,000","-65,987,000","-58,990,000","-58,725,000","-42,405,000","34,988,000","-36,607,000","-27,719,000","-26,458,000","-25,833,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"8,274,000","8,547,000","8,951,000","8,700,000","7,845,000","7,559,000","6,941,000","5,372,000","1,713,000","1,005,000","696,000","267,000","157,000","180,000","226,000","296,000","534,000","998,000","1,572,000","1,920,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-10,000","-2,000","25,000","1,000","-2,000","-14,000","-3,000","-24,000","7,000","18,000","-21,000",-,-,"1,000","-5,000","-8,000","-5,000","-3,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-88,105,000","-103,586,000","-83,219,000","-85,562,000","-66,934,000","-100,657,000","-95,242,000","-78,047,000","-80,910,000","-76,588,000","-66,641,000","-65,720,000","-58,833,000","-58,544,000","-42,184,000","35,276,000","-36,078,000","-26,724,000","-24,886,000","-23,913,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,-,-,"-900,000",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,"-11,855,000",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,"11,374,000","1,832,000","2,067,000","1,200,000","2,152,000","1,003,000","10,544,000","-3,262,000","-200,000","4,595,000","-836,000","-2,000,000",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-88,105,000","-92,212,000","-81,387,000","-83,495,000","-65,734,000","-98,505,000","-94,239,000","-67,503,000","-84,172,000","-76,788,000","-62,046,000","-67,456,000","-60,833,000","-193,399,000","-42,184,000","35,276,000","-36,078,000","-26,724,000","-24,886,000","-23,913,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-88,105,000","-92,212,000","-81,387,000","-83,495,000","-65,734,000","-98,505,000","-94,239,000","-67,503,000","-84,172,000","-76,788,000","-62,046,000","-67,456,000","-60,833,000","-193,399,000","-42,184,000","35,276,000","-36,078,000","-26,724,000","-24,886,000","-23,913,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"177,789,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-88,105,000","-92,212,000","-81,387,000","-83,495,000","-65,734,000","-98,505,000","-94,239,000","-67,503,000","-84,172,000","-76,788,000","-62,046,000","-67,456,000","-60,833,000","-193,399,000","-42,184,000","35,276,000","-213,867,000","-26,724,000","-24,886,000","-23,913,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"140,229,056","132,821,826","130,843,013","124,752,843","122,231,255","121,680,844","121,320,865","120,966,401","110,905,940","108,644,329","108,293,251","102,747,533","92,692,515","91,939,439","90,197,579","90,178,267","71,248,846","4,408,470","4,153,791","3,831,632",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"140,229,056","132,821,826","130,843,013","124,752,843","122,231,255","121,680,844","121,320,865","120,966,401","110,905,940","108,644,329","108,293,251","102,747,533","92,692,515","91,939,439","90,197,579","90,178,267","71,248,846","4,408,470","4,153,791","3,831,632",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),14.724%,9.156%,7.849%,3.130%,10.212%,11.999%,12.030%,17.732%,19.649%,18.169%,20.062%,13.938%,30.097%,1985.518%,2071.452%,2253.521%,1903.453%,32.743%,34.496%,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.628,-0.694,-0.622,-0.669,-0.538,-0.810,-0.777,-0.558,-0.759,-0.707,-0.573,-0.657,-0.656,-2.104,-0.468,0.391,-3.002,-6.062,-5.991,-6.241,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.628,-0.694,-0.622,-0.669,-0.538,-0.810,-0.777,-0.558,-0.759,-0.707,-0.573,-0.657,-0.656,-2.104,-0.468,0.391,-3.002,-6.062,-5.991,-6.241,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-75,310,000","-65,844,000","-52,103,000","-89,306,000","-75,987,000","-70,104,000","-69,045,000","-59,395,000","-68,240,000","-58,950,000","-51,967,000","-40,587,000","-54,935,000","-28,519,000","46,164,000","-35,336,000","-24,472,000","-21,258,000","-23,354,000","-23,359,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.537,-0.496,-0.398,-0.716,-0.622,-0.576,-0.569,-0.491,-0.615,-0.543,-0.480,-0.395,-0.593,-0.310,0.512,-0.392,-0.343,-4.822,-5.622,-6.096,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,-223.363%,-,-,-,-,-,-,-,-,-,-,181.955%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-921.305%,-,-296.711%,-90926.050%,-45212.389%,-32962.451%,-24020.349%,-21263.288%,-16065.871%,-11637.919%,-8857.357%,-6957.938%,-4454.307%,42.331%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-813.301%,-,-260.829%,-82777.311%,-41698.673%,-26681.028%,-24468.605%,-21037.808%,-14808.115%,-11897.002%,-9134.084%,-22914.573%,-4431.092%,42.679%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
