Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,"8,095,000","3,094,000","2,073,000","144,000",-,-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),185.035%,49.252%,1339.583%,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"42,593,000","65,869,000","77,267,000","47,865,000","21,063,000",-,Financials in USD,Fiscal year is January - December
Gross Profit,"-34,498,000","-62,775,000","-75,194,000","-47,721,000","-21,063,000",-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","39,652,000","37,486,000","27,572,000","18,311,000","7,582,000","5,408,000",Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,-,"11,931,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"39,652,000","37,486,000","27,572,000","18,311,000","7,582,000","17,339,000",Financials in USD,Fiscal year is January - December
Operating Income,"-74,150,000","-100,261,000","-102,766,000","-66,032,000","-28,645,000","-17,339,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-1,801,000","-1,801,000","-1,296,000","-998,000","-780,000","-595,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,932,000","4,611,000","1,518,000","88,000","3,000",-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-73,000","23,000","-157,000","-1,338,000","-25,000","-11,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-73,092,000","-97,428,000","-102,701,000","-68,280,000","-29,447,000","-17,945,000",Financials in USD,Fiscal year is January - December
Net Income,"-73,092,000","-97,428,000","-102,701,000","-68,280,000","-29,447,000","-17,945,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-73,092,000","-97,428,000","-102,701,000","-68,280,000","-29,447,000","-17,945,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"55,154,169","54,010,996","47,880,819","22,404,058","3,906,168","3,319,036",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"55,154,169","54,010,996","47,880,819","22,404,058","3,906,168","3,319,036",Financials in USD,Fiscal year is January - December
Shares Change (YoY),5.609%,12.803%,113.715%,473.556%,17.690%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.325,-1.804,-2.145,-3.048,-7.539,-5.407,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.325,-1.804,-2.145,-3.048,-7.539,-5.407,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-57,640,000","-94,379,000","-99,895,000","-59,076,000","-27,941,000","-16,564,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.045,-1.747,-2.086,-2.637,-7.153,-4.991,Financials in USD,Fiscal year is January - December
Operating Margin,-915.998%,-3240.498%,-4957.356%,-45855.556%,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-902.928%,-3148.933%,-4954.221%,-47416.667%,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-712.044%,-3050.388%,-4818.862%,-41025.000%,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-72,408,000","-98,693,000","-101,202,000","-64,645,000","-27,499,000","-16,545,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,742,000","1,568,000","1,564,000","1,387,000","1,146,000","794,000",Financials in USD,Fiscal year is January - December
EBIT,"-74,150,000","-100,261,000","-102,766,000","-66,032,000","-28,645,000","-17,339,000",Financials in USD,Fiscal year is January - December
