Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2015,Currency,Fiscal_Year_period
Period Ending,"Nov '24 Nov 30, 2024","Aug '24 Aug 31, 2024","Aug '23 Aug 31, 2023","Aug '22 Aug 31, 2022","Aug '21 Aug 31, 2021","Aug '20 Aug 31, 2020",2019 - 2015,,
Revenue,"496,923","464,278","226,208","255,397","722,738","314,793",Upgrade,Financials in USD,Fiscal year is September - August
Revenue Growth (YoY),77.630%,105.244%,-11.429%,-64.663%,129.592%,41.410%,Upgrade,Financials in USD,Fiscal year is September - August
Cost of Revenue,"2,720","4,822","31,500","71,841","175,346","99,378",Upgrade,Financials in USD,Fiscal year is September - August
Gross Profit,"494,203","459,456","194,708","183,556","547,392","215,415",Upgrade,Financials in USD,Fiscal year is September - August
"Selling, General & Admin","4,001,768","3,794,185","2,955,248","4,959,920","4,971,349","3,977,138",Upgrade,Financials in USD,Fiscal year is September - August
Research & Development,"3,739,294","2,360,565","3,666,721","1,842,675","1,262,895","387,074",Upgrade,Financials in USD,Fiscal year is September - August
Operating Expenses,"7,741,062","6,154,750","6,621,969","6,802,595","6,234,244","4,364,212",Upgrade,Financials in USD,Fiscal year is September - August
Operating Income,"-7,246,859","-5,695,294","-6,427,261","-6,619,039","-5,686,852","-4,148,797",Upgrade,Financials in USD,Fiscal year is September - August
Interest & Investment Income,"7,003","14,311","43,190",-,-,-,Upgrade,Financials in USD,Fiscal year is September - August
EBT Excluding Unusual Items,"-7,239,856","-5,680,983","-6,384,071","-6,619,039","-5,686,852","-4,148,797",Upgrade,Financials in USD,Fiscal year is September - August
Gain (Loss) on Sale of Investments,"-32,552","-69,835","-221,693","-764,614",-,-,Upgrade,Financials in USD,Fiscal year is September - August
Asset Writedown,"-57,836","-57,836","-106,761",-,-,-,Upgrade,Financials in USD,Fiscal year is September - August
Pretax Income,"-7,330,244","-5,808,654","-6,712,525","-7,383,653","-5,686,852","-4,148,797",Upgrade,Financials in USD,Fiscal year is September - August
Earnings From Continuing Operations,"-7,330,244","-5,808,654","-6,712,525","-7,383,653","-5,686,852","-4,148,797",Upgrade,Financials in USD,Fiscal year is September - August
Earnings From Discontinued Operations,-,-,-,-,"1,500,704","64,184",Upgrade,Financials in USD,Fiscal year is September - August
Net Income to Company,"-7,330,244","-5,808,654","-6,712,525","-7,383,653","-4,186,148","-4,084,613",Upgrade,Financials in USD,Fiscal year is September - August
Minority Interest in Earnings,"10,523","13,309","47,626","114,329","159,142","150,617",Upgrade,Financials in USD,Fiscal year is September - August
Net Income,"-7,319,721","-5,795,345","-6,664,899","-7,269,324","-4,027,006","-3,933,996",Upgrade,Financials in USD,Fiscal year is September - August
Net Income to Common,"-7,319,721","-5,795,345","-6,664,899","-7,269,324","-4,027,006","-3,933,996",Upgrade,Financials in USD,Fiscal year is September - August
Shares Outstanding (Basic),"14,288,220","12,383,974","6,614,066","5,885,245","4,391,446","2,773,376",Upgrade,Financials in USD,Fiscal year is September - August
Shares Outstanding (Diluted),"14,288,220","12,383,974","6,614,066","5,885,245","4,391,446","2,773,376",Upgrade,Financials in USD,Fiscal year is September - August
Shares Change (YoY),93.366%,87.237%,12.384%,34.016%,58.343%,6.953%,Upgrade,Financials in USD,Fiscal year is September - August
EPS (Basic),-0.512,-0.468,-1.008,-1.235,-0.917,-1.418,Upgrade,Financials in USD,Fiscal year is September - August
EPS (Diluted),-0.512,-0.468,-1.008,-1.235,-0.917,-1.418,Upgrade,Financials in USD,Fiscal year is September - August
Free Cash Flow,"-6,571,054","-5,002,017","-5,914,985","-4,928,531","-3,989,678","-2,618,785",Upgrade,Financials in USD,Fiscal year is September - August
Free Cash Flow Per Share,-0.460,-0.404,-0.894,-0.837,-0.909,-0.944,Upgrade,Financials in USD,Fiscal year is September - August
Gross Margin,99.453%,98.961%,86.075%,71.871%,75.739%,68.431%,Upgrade,Financials in USD,Fiscal year is September - August
Operating Margin,-1458.346%,-1226.699%,-2841.306%,-2591.667%,-786.848%,-1317.944%,Upgrade,Financials in USD,Fiscal year is September - August
Profit Margin,-1473.009%,-1248.249%,-2946.359%,-2846.284%,-557.188%,-1249.709%,Upgrade,Financials in USD,Fiscal year is September - August
Free Cash Flow Margin,-1322.349%,-1077.375%,-2614.843%,-1929.753%,-552.023%,-831.907%,Upgrade,Financials in USD,Fiscal year is September - August
EBITDA,"-7,166,289","-5,619,141","-6,281,864","-6,516,321","-5,575,134","-4,036,047",Upgrade,Financials in USD,Fiscal year is September - August
D&A For EBITDA,"80,570","76,153","145,397","102,718","111,718","112,750",Upgrade,Financials in USD,Fiscal year is September - August
EBIT,"-7,246,859","-5,695,294","-6,427,261","-6,619,039","-5,686,852","-4,148,797",Upgrade,Financials in USD,Fiscal year is September - August
