Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"610,806,000","837,999,000","426,409,000","356,128,000","227,976,000","204,890,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-19.337%,96.525%,19.735%,56.213%,11.268%,-4.306%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"658,259,000","686,448,000","697,996,000","557,320,000","363,295,000","298,342,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-47,453,000","151,551,000","-271,587,000","-201,192,000","-135,319,000","-93,452,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","122,724,000","133,176,000","136,106,000","127,125,000","61,349,000","52,934,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"73,347,000","133,176,000","136,106,000","127,125,000","61,349,000","52,934,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-120,800,000","18,375,000","-407,693,000","-328,317,000","-196,668,000","-146,386,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-759,000","-759,000","-652,000","-592,000","-787,000","-1,030,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"36,145,000","36,145,000","9,599,000","2,076,000","3,236,000","4,944,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,"45,992,000","47,295,000","49,753,000","60,617,000","79,046,000","40,700,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"8,661,000","8,661,000","-5,704,000","1,671,000","3,265,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-1,017,000","1,652,000","-5,972,000","-11,888,000","1,220,000","1,367,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-31,778,000","111,369,000","-360,669,000","-276,433,000","-110,688,000","-100,405,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,"121,310,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-5,766,000","-5,766,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-37,544,000","105,603,000","-360,669,000","-155,123,000","-110,688,000","-100,405,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"4,665,000","4,509,000","-283,000","11,918,000","4,829,000","3,274,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-42,209,000","101,094,000","-360,386,000","-167,041,000","-115,517,000","-103,679,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Company,"-42,209,000","101,094,000","-360,386,000","-167,041,000","-115,517,000","-103,679,000",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"239,000","-314,000","-449,000","-27,607,000","-10,213,000","-2,345,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-41,970,000","100,780,000","-360,835,000","-194,648,000","-125,730,000","-106,024,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-41,970,000","100,780,000","-360,835,000","-194,648,000","-125,730,000","-106,024,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"854,205,217","849,654,296","847,143,540","792,684,524","697,931,437","665,683,145",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"854,205,217","869,196,348","847,143,540","792,684,524","697,931,437","665,683,145",Upgrade,Financials in USD,Fiscal year is January - December
