Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+2 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+2 Quarters,,
"Selling, General & Admin","7,604,000","9,813,000","10,499,000","10,659,000","8,413,000","14,407,000","8,263,000","5,070,000","9,211,000","7,617,000","8,264,000","6,675,000","8,208,000","37,146,000","6,735,000","9,696,000","1,579,000","1,873,000","1,880,000","4,213,052",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"17,188,000","14,645,000","11,705,000","11,546,000","13,203,000","14,777,000","12,599,000","8,830,000","7,772,000","9,326,000","10,241,000","10,883,000","9,019,000","8,074,000","6,813,000","8,157,000","5,342,000","2,700,000","1,803,000","3,061,187",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"24,792,000","24,458,000","22,204,000","22,205,000","21,616,000","29,184,000","20,862,000","13,900,000","16,983,000","16,943,000","18,505,000","17,558,000","17,227,000","45,220,000","13,548,000","15,148,000","7,621,000","6,025,000","4,236,000","7,723,736",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-24,792,000","-24,458,000","-22,204,000","-22,205,000","-21,616,000","-29,184,000","-20,862,000","-13,900,000","-16,983,000","-16,943,000","-18,505,000","-17,558,000","-17,227,000","-45,220,000","-13,548,000","-15,148,000","-7,621,000","-6,025,000","-4,236,000","-7,723,736",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-727,000","-466,000","-434,000",-,"-328,000","-77,000","-76,000",-,-,-,"-27,000","-139,000","-64,000","-69,000","-87,000","-175,000",-,-,-,"-1,325",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"3,507,000","3,116,000","1,656,000","905,000","1,491,000","1,388,000","1,360,000","1,052,000","360,000","82,000",-,-,-,-,-,-,"2,000","3,000","5,000","18,310",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-32,000","-32,000","-525,000","401,000","-439,000","247,000","-52,000","101,000","138,000","-89,000","45,000","-180,000","-40,000","-35,000","8,000","639,000","-58,000","209,000","-660,000","30,857",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"8,360,000","13,445,000","-32,893,000","-2,965,000","2,969,000","-1,504,000","-5,185,000","7,844,000",-,"-7,000","36,000","-109,000","135,000","72,000","168,000",-,"-998,000","126,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-13,684,000","-8,395,000","-54,400,000","-23,864,000","-17,923,000","-29,130,000","-24,815,000","-4,903,000","-16,485,000","-16,957,000","-18,451,000","-17,986,000","-17,196,000","-45,252,000","-13,459,000","-14,684,000","-8,675,000","-5,687,000","-4,891,000","-7,675,893",Upgrade,Financials in USD,Fiscal year is January - December
