Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
"Selling, General & Admin","31,674,000","23,787,000","21,910,000","11,918,000","4,039,000","4,410,000",Financials in USD,Fiscal year is January - December
Research & Development,"113,610,000","78,225,000","68,993,000","22,484,000","45,206,000","7,290,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"145,284,000","102,012,000","90,903,000","34,402,000","49,245,000","11,700,000",Financials in USD,Fiscal year is January - December
Operating Income,"-145,284,000","-102,012,000","-90,903,000","-34,402,000","-49,245,000","-11,700,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-6,811,000","-3,786,000","-992,000","-20,000","-166,000","-51,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"16,011,000","7,979,000","1,750,000","15,000","8,000","159,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"1,754,000","1,877,000","1,899,000",-,"63,000",-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-134,330,000","-95,942,000","-88,246,000","-34,407,000","-49,340,000","-11,592,000",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,"-2,996,000","-261,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-47,000","-47,000","-809,000","-892,000",-,-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,"2,691,000",-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,"-1,076,000",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-134,377,000","-95,989,000","-89,055,000","-32,608,000","-53,412,000","-11,853,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"1,000","1,000","1,000","1,000","1,000","1,000",Financials in USD,Fiscal year is January - December
Net Income,"-134,378,000","-95,990,000","-89,056,000","-32,609,000","-53,413,000","-11,854,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-134,378,000","-95,990,000","-89,056,000","-32,609,000","-53,413,000","-11,854,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"51,266,920","42,707,072","26,570,676","13,435,706","319,963","295,328",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"51,266,920","42,707,072","26,570,676","13,435,706","319,963","295,328",Financials in USD,Fiscal year is January - December
Shares Change (YoY),33.072%,60.730%,97.762%,4099.144%,8.342%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.621,-2.248,-3.352,-2.427,-166.935,-40.138,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.621,-2.248,-3.352,-2.427,-166.935,-40.138,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-121,031,000","-92,244,000","-67,658,000","-23,708,000","-34,908,000","-10,414,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.361,-2.160,-2.546,-1.765,-109.100,-35.262,Financials in USD,Fiscal year is January - December
EBITDA,-,-,"-90,727,000","-34,226,000","-48,994,000","-11,191,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,-,-,"176,000","176,000","251,000","509,000",Financials in USD,Fiscal year is January - December
EBIT,"-145,284,000","-102,012,000","-90,903,000","-34,402,000","-49,245,000","-11,700,000",Financials in USD,Fiscal year is January - December
