Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"4,022,390","5,822,388","5,992,054","7,811,264","9,559,469","15,577,166",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-42.412%,-2.832%,-23.290%,-18.288%,-38.632%,10.860%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"1,106,093","1,631,220","2,289,418","1,599,566","4,046,466","7,427,111",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"2,916,297","4,191,168","3,702,636","6,211,698","5,513,003","8,150,055",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","10,178,696","9,261,471","12,209,162","15,593,233","15,674,968","19,727,223",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"3,347,439","2,409,094","1,740,280","1,788,491","459,636",-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"16,503,843","14,953,532","19,548,326","24,259,714","22,795,042","25,018,330",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-13,587,546","-10,762,364","-15,845,690","-18,048,016","-17,282,039","-16,868,275",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-519,271","-536,138","-596,018","-368,660","-3,050,879","-13,844,961",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"574,617","515,311","14,194",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"6,215,000","30,003",-,-,"-1,680,000",-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-7,317,200","-10,753,188","-16,427,514","-18,416,676","-22,012,918","-30,713,236",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,-,"-2,443,930",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,"-7,460,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"2,590,000","2,590,000","3,849,941","9,430,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-4,727,200","-8,163,188","-20,037,573","-8,986,676","-22,012,918","-33,157,166",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,"-1,426,993","-645,866",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-4,727,200","-8,163,188","-20,037,573","-8,986,676","-20,585,925","-32,511,300",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"15,121,361","5,651,211",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-19,848,561","-13,814,399","-20,037,573","-8,986,676","-20,585,925","-32,511,300",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"6,093,479","2,176,017","2,070,210","1,088,977","534,068","246,003",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"6,093,479","2,176,017","2,070,210","1,088,977","534,068","246,003",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),190.108%,5.111%,90.106%,103.902%,117.098%,146.003%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-3.257,-6.348,-9.679,-8.252,-38.546,-132.158,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-3.257,-6.348,-9.679,-8.252,-38.546,-132.158,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-5,847,488","-7,626,529","-12,797,325","-11,862,031","-15,309,958","2,460,939",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.960,-3.505,-6.182,-10.893,-28.667,10.004,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,72.501%,71.984%,61.792%,79.522%,57.671%,52.321%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-337.798%,-184.845%,-264.445%,-231.051%,-180.785%,-108.288%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-493.452%,-237.263%,-334.402%,-115.048%,-215.346%,-208.711%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-145.373%,-130.986%,-213.572%,-151.858%,-160.155%,15.798%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-10,609,838","-7,479,397","-10,246,806","-11,170,026","-10,621,601","-11,577,168",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-263.769%,-128.459%,-171.006%,-142.999%,-111.111%,-74.321%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"2,977,708","3,282,967","5,598,884","6,877,990","6,660,438","5,291,107",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-13,587,546","-10,762,364","-15,845,690","-18,048,016","-17,282,039","-16,868,275",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-184.845%,-264.445%,-231.051%,-180.785%,-108.288%,Upgrade,Financials in USD,Fiscal year is January - December
