Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021",,
"Selling, General & Admin","3,484,000","3,731,000","3,641,000","3,896,000","3,751,000","3,063,000","4,054,000","3,724,000","3,342,000","3,635,000","2,050,000","1,782,000","1,587,000","898,000","401,000",Financials in USD,Fiscal year is January - December
Research & Development,"8,287,000","12,149,000","14,655,000","14,919,000","14,429,000","13,538,000","11,985,000","8,752,000","8,428,000","6,698,000","5,633,000","5,812,000","5,345,000","4,100,000","1,649,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"11,771,000","15,880,000","18,296,000","18,815,000","18,180,000","16,601,000","16,039,000","12,476,000","11,770,000","10,333,000","7,683,000","7,594,000","6,932,000","4,998,000","2,050,000",Financials in USD,Fiscal year is January - December
Operating Income,"-11,771,000","-15,880,000","-18,296,000","-18,815,000","-18,180,000","-16,601,000","-16,039,000","-12,476,000","-11,770,000","-10,333,000","-7,683,000","-7,594,000","-6,932,000","-4,998,000","-2,050,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,-,-,-,-,-,-,-,"27,000","25,000","15,000","2,000",Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,-,-,-,"22,000","-36,000","-24,000",-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"1,267,000","1,445,000","1,679,000","1,917,000","1,473,000","797,000","716,000","634,000","431,000","213,000","28,000",-,-,-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-10,504,000","-14,435,000","-16,617,000","-16,898,000","-16,707,000","-15,804,000","-15,323,000","-11,842,000","-11,339,000","-10,120,000","-7,655,000","-7,545,000","-6,943,000","-5,007,000","-2,048,000",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-2,243,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-12,747,000","-14,435,000","-16,617,000","-16,898,000","-16,707,000","-15,804,000","-15,323,000","-11,842,000","-11,339,000","-10,120,000","-7,655,000","-7,545,000","-6,943,000","-5,007,000","-2,048,000",Financials in USD,Fiscal year is January - December
Net Income,"-12,747,000","-14,435,000","-16,617,000","-16,898,000","-16,707,000","-15,804,000","-15,323,000","-11,842,000","-11,339,000","-10,120,000","-7,655,000","-7,545,000","-6,943,000","-5,007,000","-2,048,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,"1,820,000","1,925,000","1,925,000","1,904,000","761,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-12,747,000","-14,435,000","-16,617,000","-16,898,000","-16,707,000","-15,804,000","-15,323,000","-11,842,000","-11,339,000","-10,120,000","-9,475,000","-9,470,000","-8,868,000","-6,911,000","-2,809,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"29,841,169","29,824,725","29,763,278","29,735,397","25,645,421","19,497,494","19,385,646","19,352,854","19,347,148","19,258,066","3,180,717","2,654,031","2,643,879","2,633,954","2,620,670",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"29,841,169","29,824,725","29,763,278","29,735,397","25,645,421","19,497,494","19,385,646","19,352,854","19,347,148","19,258,066","3,180,717","2,654,031","2,643,879","2,633,954","2,620,670",Financials in USD,Fiscal year is January - December
Shares Change (YoY),16.361%,52.967%,53.533%,53.649%,32.554%,1.243%,509.474%,629.187%,631.771%,631.147%,21.370%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.427,-0.484,-0.558,-0.568,-0.651,-0.811,-0.790,-0.612,-0.586,-0.525,-2.979,-3.568,-3.354,-2.624,-1.072,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.427,-0.484,-0.558,-0.568,-0.651,-0.811,-0.790,-0.612,-0.586,-0.525,-2.979,-3.568,-3.354,-2.624,-1.072,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-12,007,000","-14,384,000","-17,593,000","-17,068,000","-11,800,000","-12,824,000","-11,596,000","-7,638,000","-9,487,000","-9,595,000","-6,742,000","-8,993,000","-4,691,000","-5,257,000","-1,543,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.402,-0.482,-0.591,-0.574,-0.460,-0.658,-0.598,-0.395,-0.490,-0.498,-2.120,-3.388,-1.774,-1.996,-0.589,Financials in USD,Fiscal year is January - December
EBIT,"-11,771,000","-15,880,000","-18,296,000","-18,815,000","-18,180,000","-16,601,000","-16,039,000","-12,476,000","-11,770,000","-10,333,000","-7,683,000","-7,594,000","-6,932,000","-4,998,000","-2,050,000",Financials in USD,Fiscal year is January - December
