Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+3 Quarters,,
Revenue,"6,507,000","7,323,000","9,954,000","9,179,000","6,599,000","10,056,000","12,192,000","21,545,000","101,383,000","45,917,000","316,581,000","139,331,000","5,508,000","27,643,000","202,741,000","207,908,000","9,362,000","11,228,000","4,657,000","3,202,857",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-1.394%,-27.178%,-18.356%,-57.396%,-93.491%,-78.100%,-96.149%,-84.537%,1740.650%,66.107%,56.150%,-32.984%,-41.166%,146.197%,4253.468%,6391.329%,171.290%,352.904%,87.849%,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"40,969,000","40,927,000","39,287,000","48,622,000","37,917,000","36,473,000","52,647,000","29,799,000","41,617,000","31,895,000","71,003,000","39,103,000","17,450,000","18,656,000","32,362,000","35,779,000","7,495,000","9,144,000","4,118,000","3,308,731",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-34,462,000","-33,604,000","-29,333,000","-39,443,000","-31,318,000","-26,417,000","-40,455,000","-8,254,000","59,766,000","14,022,000","245,578,000","100,228,000","-11,942,000","8,987,000","170,379,000","172,129,000","1,867,000","2,084,000","539,000","-105,874",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","22,282,000","23,328,000","20,717,000","19,074,000","17,837,000","19,362,000","18,905,000","15,706,000","16,881,000","17,532,000","16,638,000","14,717,000","12,488,000","12,498,000","9,000,000","6,126,000","3,594,000","2,045,000","2,087,000","1,446,054",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"59,201,000","59,850,000","25,561,000","26,610,000","23,572,000","24,972,000","24,419,000","21,124,000","22,031,000","22,418,000","20,628,000","18,675,000","16,154,000","16,020,000","12,305,000","9,454,000","3,635,000","2,938,000","2,661,000","1,870,144",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-93,663,000","-93,454,000","-54,894,000","-66,053,000","-54,890,000","-51,389,000","-64,874,000","-29,378,000","37,735,000","-8,396,000","224,950,000","81,553,000","-28,096,000","-7,033,000","158,074,000","162,675,000","-1,768,000","-854,000","-2,122,000","-1,976,018",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,"-1,869,000",-,-,-,"-2,811,000",-,"-500,000","-100,000","-82,009",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"9,603,000","9,801,000","10,401,000","10,969,000","10,740,000","10,779,000","9,759,000","8,470,000","5,556,000","1,414,000","665,000","3,330,000",-,-,-,"293,000",-,-,-,"44,073",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-700,"400,000","800,000",-,-,-,-,-,-,-,-,-,-,-,"-300,000",-,-,"-900,000","-162,095",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"4,928,000","37,866,700","-3,454,000","4,123,000","4,874,000","2,606,000","6,967,000","1,041,000","3,296,000","96,000","5,194,000","5,907,000","3,124,000","4,960,000","3,413,000","1,659,000","-925,000","8,057,000","1,029,000","534,771",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-79,132,000","-45,787,000","-47,547,000","-50,161,000","-39,276,000","-38,004,000","-48,148,000","-19,867,000","46,587,000","-6,886,000","230,809,000","88,921,000","-24,972,000","-2,073,000","161,487,000","161,516,000","-2,693,000","6,703,000","-2,093,000","-1,641,278",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"16,500,000",-,"4,800,000","2,100,000",-,-,-,"-1,700,000",-,-,-,"-500,000",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,-,-,"-8,400,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,"-2,400,000",-,"-541,000",-,-,-,"-1,445,000",-,-,-,"-3,711,000",-,-,-,"-5,600,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-62,632,000","-48,187,000","-42,747,000","-48,602,000","-39,276,000","-38,004,000","-48,148,000","-31,412,000","46,587,000","-6,886,000","230,809,000","84,710,000","-24,972,000","-2,073,000","161,487,000","155,916,000","-2,693,000","6,703,000","-2,093,000","-1,641,278",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-11,525,000","-11,257,000","-2,137,000","-1,452,000","-10,666,000","-7,476,000","-8,038,000","-1,519,000","19,963,000","-101,000","62,236,000","24,762,000","-3,592,000","250,000","44,266,000","38,915,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-51,107,000","-36,930,000","-40,610,000","-47,150,000","-28,610,000","-30,528,000","-40,110,000","-29,893,000","26,624,000","-6,785,000","168,573,000","59,948,000","-21,380,000","-2,323,000","117,221,000","117,001,000","-2,693,000","6,703,000","-2,093,000","-1,641,278",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"33,256,000",-,"2,331,000","-1,124,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-51,107,000","-36,930,000","-40,610,000","-47,150,000","-28,610,000","-30,528,000","-40,110,000","-29,893,000","26,624,000","-6,785,000","168,573,000","59,948,000","-21,380,000","-2,323,000","117,221,000","83,745,000","-2,693,000","4,372,000","-969,000","-1,641,278",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,-,-,-,-,-,-,-,-,-,-,43.808%,-48.763%,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"294,851,945","294,217,013","292,723,901","290,414,783","289,496,841","288,905,587","287,767,136","286,307,627","285,322,719","284,686,542","283,895,020","282,127,354","278,933,760","272,196,107","269,697,212","179,540,192","153,049,739","152,326,424","151,856,754","151,688,220",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"294,851,945","294,217,013","292,723,901","290,414,783","289,496,841","288,905,587","287,767,136","286,307,627","315,818,163","284,686,542","311,482,017","303,207,785","278,933,760","272,196,107","320,282,747","339,348,470","153,049,739","260,810,864","151,856,754","151,688,220",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),1.850%,1.838%,1.722%,1.435%,-8.334%,1.482%,-7.614%,-5.574%,13.223%,4.589%,-2.748%,-10.650%,82.250%,4.365%,110.911%,123.714%,0.990%,72.681%,0.543%,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.173,-0.126,-0.139,-0.162,-0.099,-0.106,-0.139,-0.104,0.093,-0.024,0.594,0.212,-0.077,-0.009,0.435,0.466,-0.018,0.029,-0.006,-0.011,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.173,-0.130,-0.140,-0.170,-0.100,-0.110,-0.140,-0.104,0.080,-0.024,0.540,0.195,-0.080,-0.010,0.370,0.345,-0.020,0.026,-0.011,-0.011,Upgrade,Financials in USD,Fiscal year is January - December
EPS Growth,-,-,-,-,-,-,-,-,-,-,45.946%,-43.546%,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-47,398,000","-50,076,000","-65,848,000","-34,042,000","-20,437,000","-7,298,000","-59,047,000","18,582,000","-139,299,000","241,693,000","85,724,000","-26,142,000","-14,506,000","120,879,000","105,901,000","-224,000","-7,686,000","22,274,000","-1,347,000","-123,711",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.161,-0.170,-0.225,-0.117,-0.071,-0.025,-0.205,0.065,-0.441,0.849,0.275,-0.086,-0.052,0.444,0.331,-0.001,-0.050,0.085,-0.009,-0.001,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-294.685%,-,-,-262.699%,-,-38.310%,58.951%,30.538%,77.572%,71.935%,-216.812%,32.511%,84.038%,82.791%,19.942%,18.561%,11.574%,-3.306%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-1439.419%,-1276.171%,-551.477%,-719.610%,-831.793%,-511.028%,-532.103%,-136.356%,37.220%,-18.285%,71.056%,58.532%,-510.094%,-25.442%,77.968%,78.244%,-18.885%,-7.606%,-45.566%,-61.695%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-785.416%,-504.302%,-407.977%,-513.673%,-433.551%,-303.580%,-328.986%,-138.747%,26.261%,-14.777%,53.248%,43.026%,-388.163%,-8.404%,57.818%,40.280%,-28.765%,38.938%,-20.807%,-51.244%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-728.416%,-683.818%,-661.523%,-370.868%,-309.698%,-72.574%,-484.309%,86.247%,-137.399%,526.369%,27.078%,-18.763%,-263.362%,437.286%,52.235%,-0.108%,-82.098%,198.379%,-28.924%,-3.863%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-56,744,000","-56,932,000","-50,050,000","-58,517,000","-49,155,000","-45,779,000","-59,360,000","-23,991,000","42,897,000","-3,499,000","228,947,000","85,526,000","-24,431,000","-3,511,000","161,379,000","165,183,000","-907,000","40,000","-1,549,000","-1,551,928",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-,-,-,-111.353%,42.312%,-7.620%,72.319%,61.383%,-,-12.701%,79.599%,79.450%,-9.688%,0.356%,-33.262%,-48.454%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"36,919,000","36,522,000","4,844,000","7,536,000","5,735,000","5,610,000","5,514,000","5,387,000","5,162,000","4,897,000","3,997,000","3,973,000","3,665,000","3,522,000","3,305,000","2,508,000","861,000","894,000","573,000","424,090",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-93,663,000","-93,454,000","-54,894,000","-66,053,000","-54,890,000","-51,389,000","-64,874,000","-29,378,000","37,735,000","-8,396,000","224,950,000","81,553,000","-28,096,000","-7,033,000","158,074,000","162,675,000","-1,768,000","-854,000","-2,122,000","-1,976,018",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-,-,-,-136.356%,37.220%,-18.285%,71.056%,58.532%,-,-25.442%,77.968%,78.244%,-18.885%,-7.606%,-45.566%,-61.695%,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,-,-,-,-,-,42.851%,-,26.964%,29.231%,-,-,27.411%,24.959%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"6,507,000","7,323,000","9,954,000","9,179,000","6,599,000","10,056,000","12,192,000","21,545,000","101,383,000","45,917,000","316,581,000","139,331,000","5,508,000","27,643,000","202,741,000","207,908,000","9,362,000","11,228,000","4,657,000","3,202,857",Upgrade,Financials in USD,Fiscal year is January - December
