Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
"Selling, General & Admin","11,983,000","12,687,000","13,001,000","13,739,000","9,010,000","2,445,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"8,158,000","23,770,000","48,206,000","38,488,000","24,627,000","19,738,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"20,141,000","36,457,000","61,207,000","52,227,000","33,637,000","22,183,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-20,141,000","-36,457,000","-61,207,000","-52,227,000","-33,637,000","-22,183,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"525,000","1,258,000","1,288,000","1,228,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-315,000","-197,000","-1,069,000","319,000","-1,200,000","551,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,"1,913,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-19,931,000","-35,396,000","-60,988,000","-50,680,000","-34,837,000","-19,719,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-1,688,000","-3,448,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"431,000","431,000","-636,000","-1,072,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"64,000","64,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-21,124,000","-38,349,000","-61,624,000","-51,752,000","-34,837,000","-36,507,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-21,173,000","-38,349,000","-61,624,000","-51,752,000","-34,837,000","-36,507,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,"5,560,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-21,173,000","-38,349,000","-61,624,000","-51,752,000","-34,837,000","-42,067,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"1,099,749","1,062,871","1,016,365","1,010,473","182,908","10,399",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"1,099,749","1,062,871","1,016,365","1,010,473","182,908","10,399",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),4.952%,4.576%,0.583%,452.449%,1658.900%,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-19.253,-36.081,-60.632,-51.216,-190.462,-4045.293,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-19.253,-36.081,-60.632,-51.216,-190.462,-4045.293,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-25,161,000","-36,911,000","-43,128,000","-52,531,000","-38,203,000","-19,326,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-22.879,-34.728,-42.434,-51.987,-208.865,-1858.448,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-20,102,000","-36,188,000","-61,165,000","-52,207,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"39,000","269,000","42,000","20,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-20,141,000","-36,457,000","-61,207,000","-52,227,000","-33,637,000","-22,183,000",Upgrade,Financials in USD,Fiscal year is January - December
