Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"563,500","563,500","654,000","737,000",Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"563,500","563,500","654,000","737,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","3,044,000","3,321,000","4,649,000","4,684,000","6,320,000","4,946,000","3,841,000","5,504,000","2,436,000","3,189,000","2,867,000","4,130,000","2,471,000","1,944,000","2,608,000","3,056,500","3,056,500","2,284,000","3,190,000",Financials in USD,Fiscal year is January - December
Research & Development,"972,000","4,439,000","5,732,000","6,855,000","7,961,000","9,025,000","9,205,000","9,529,000","7,477,000","8,964,000","8,873,500","7,917,000","7,608,000","5,096,000","5,107,000","2,880,500","2,880,500","803,000","755,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"4,016,000","7,760,000","10,381,000","11,539,000","14,281,000","13,971,000","13,046,000","15,033,000","9,913,000","12,153,000","11,740,500","12,047,000","10,079,000","7,040,000","7,715,000","5,937,000","5,937,000","3,087,000","3,945,000",Financials in USD,Fiscal year is January - December
Operating Income,"-4,016,000","-7,760,000","-10,381,000","-11,539,000","-14,281,000","-13,971,000","-13,046,000","-15,033,000","-9,913,000","-12,153,000","-11,740,500","-12,047,000","-10,079,000","-7,040,000","-7,715,000","-5,373,500","-5,373,500","-2,433,000","-3,208,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-500,-500,-,"-14,000",Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"53,500","53,500","-50,000","-57,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-277,000","8,844,000","-43,781,000","8,485,000","-25,781,000","45,000","64,000","147,000","141,000","-1,000",-,"4,643,000","-4,678,000","112,000","-212,000","-67,500","-67,500","897,000","-879,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-4,293,000","1,084,000","-54,162,000","-3,054,000","-40,062,000","-13,926,000","-12,982,000","-14,886,000","-9,772,000","-12,154,000","-11,740,500","-7,404,000","-14,757,000","-6,928,000","-7,927,000","-5,388,000","-5,388,000","-1,586,000","-4,158,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,"-26,000","26,000",-,-,-,-,-,"346,000",Financials in USD,Fiscal year is January - December
Legal Settlements,-,-,-,-,-,-,-,-,-,-,-,-,-,"-28,966,000",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-1,878,000","163,028,000","-63,856,000","-23,189,000","62,690,000","-1,453,000","-4,657,000","-19,677,000","-666,000","9,657,000","7,964,000","795,000","2,182,000","-2,182,000","9,550,000","-3,089,000","-3,089,000","680,000","-11,241,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-6,171,000","164,112,000","-118,018,000","-374,243,000","-325,372,000","-15,379,000","-17,639,000","-34,563,000","-10,438,000","-2,497,000","-3,776,500","-6,635,000","-12,549,000","-38,076,000","1,623,000","-8,477,000","-8,477,000","-906,000","-15,053,000",Financials in USD,Fiscal year is January - December
Net Income,"-6,171,000","164,112,000","-118,018,000","-374,243,000","-325,372,000","-15,379,000","-17,639,000","-34,563,000","-10,438,000","-2,497,000","-3,776,500","-6,635,000","-12,549,000","-38,076,000","1,623,000","-8,477,000","-8,477,000","-906,000","-15,053,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"202,500","202,500",-,"16,854,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-6,171,000","164,112,000","-118,018,000","-374,243,000","-325,372,000","-15,379,000","-17,639,000","-34,563,000","-10,438,000","-2,497,000","-3,776,500","-6,635,000","-12,549,000","-38,076,000","1,623,000","-8,679,500","-8,679,500","-906,000","-31,907,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"39,515,292","38,843,627","37,268,074","37,159,600","60,371,123","138,825,356","138,825,356","138,848,177","138,848,177","138,825,356","138,825,356","138,963,517","352,697,385","6,752,831","6,596,755","6,596,755","6,596,755","6,596,755","6,596,755",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"39,515,292","38,843,627","37,268,074","37,159,600","60,371,123","138,825,356","138,825,356","138,848,177","138,848,177","138,825,356","138,825,356","138,963,517","352,697,385","6,752,831","6,694,709","6,596,755","6,596,755","6,596,755","6,596,755",Financials in USD,Fiscal year is January - December
Shares Change (YoY),-34.546%,-72.020%,-73.155%,-73.237%,-56.520%,-,-,-0.083%,-60.632%,1955.810%,1973.658%,2006.544%,5246.528%,2.366%,1.485%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.156,4.225,-3.167,-10.071,-5.390,-0.111,-0.127,-0.249,-0.075,-0.018,-0.027,-0.048,-0.036,-5.639,0.246,-1.316,-1.316,-0.137,-4.837,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.160,4.225,-3.167,-10.071,-5.390,-0.111,-0.127,-0.249,-0.075,-0.020,-0.027,-0.048,-0.036,-5.639,0.242,-1.338,-1.338,-0.170,-4.837,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-2,955,000","-8,116,000","-8,600,000","-11,019,000","-15,663,000","-10,085,000","-11,058,000","-8,463,000","-11,758,000","-7,834,500","-7,834,500","-7,893,000","-6,278,000","-6,304,000","-8,128,000","-2,762,500","-2,762,500","-1,714,000","-2,222,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.075,-0.209,-0.231,-0.297,-0.259,-0.073,-0.080,-0.061,-0.085,-0.056,-0.056,-0.057,-0.018,-0.934,-1.214,-0.419,-0.419,-0.260,-0.337,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.000%,100.000%,100.000%,100.000%,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-953.594%,-953.594%,-372.018%,-435.278%,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1540.284%,-1540.284%,-138.532%,-4329.308%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-490.240%,-490.240%,-262.080%,-301.493%,Financials in USD,Fiscal year is January - December
EBITDA,"-3,991,000","-7,736,000","-10,356,000","-11,515,000","-14,254,000","-13,948,000","-13,021,000","-15,001,000","-9,900,000","-12,141,500","-11,729,000","-12,046,250",-,-,-,"-5,154,750","-5,154,750","-2,214,250","-2,989,250",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"25,000","24,000","25,000","24,000","27,000","23,000","25,000","32,000","13,000","11,500","11,500",750,-,-,-,"218,750","218,750","218,750","218,750",Financials in USD,Fiscal year is January - December
EBIT,"-4,016,000","-7,760,000","-10,381,000","-11,539,000","-14,281,000","-13,971,000","-13,046,000","-15,033,000","-9,913,000","-12,153,000","-11,740,500","-12,047,000","-10,079,000","-7,040,000","-7,715,000","-5,373,500","-5,373,500","-2,433,000","-3,208,000",Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-695,500","-695,500","654,000","737,000",Financials in USD,Fiscal year is January - December
