Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"715,216,000","396,591,000","75,422,000","66,563,000","250,646,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),162.102%,425.829%,13.309%,-73.443%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"417,277,000","412,897,000","392,872,000","426,069,000","25,050,000","220,969,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"297,939,000","-16,306,000","-317,450,000","-359,506,000","225,596,000","-220,969,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","521,272,000","500,815,000","277,163,000","176,771,000","139,401,000","67,046,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,"299,921,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"521,272,000","500,815,000","277,163,000","176,771,000","439,322,000","67,046,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-223,333,000","-517,121,000","-594,613,000","-536,277,000","-213,726,000","-288,015,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-36,259,000","-29,581,000","-32,626,000","-13,241,000","-29,937,000","-5,285,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"13,925,000","20,933,000","8,914,000","418,000","4,164,000","5,108,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-186,000","-727,000","-288,000","-96,313,000","-103,530,000","-15,014,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-245,853,000","-526,496,000","-618,613,000","-645,413,000","-343,029,000","-303,206,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-1,949,000",-,"-32,890,000","-100,589,000",-,"-1,501,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-247,802,000","-526,496,000","-651,503,000","-746,002,000","-343,029,000","-304,707,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"2,299,000","2,132,000","669,000","352,000","1,845,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-250,101,000","-528,628,000","-652,172,000","-746,354,000","-344,874,000","-304,707,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-250,101,000","-528,628,000","-652,172,000","-746,354,000","-344,874,000","-304,707,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"123,081,250","118,678,000","106,114,000","84,421,000","75,163,000","62,229,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"123,081,250","118,678,000","106,114,000","84,421,000","75,163,000","62,229,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),6.079%,11.840%,25.696%,12.317%,20.785%,14.400%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.032,-4.454,-6.146,-8.841,-4.588,-4.897,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.032,-4.454,-6.146,-8.841,-4.588,-4.897,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-205,579,000","-595,508,000","-515,269,000","-564,229,000","-165,910,000","-212,828,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.670,-5.018,-4.856,-6.684,-2.207,-3.420,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,41.657%,-4.112%,-,-,90.006%,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-31.226%,-130.392%,-788.381%,-805.668%,-85.270%,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-34.969%,-133.293%,-864.697%,-1121.275%,-137.594%,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-28.744%,-150.157%,-683.181%,-847.662%,-66.193%,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-221,507,000","-515,337,000","-593,061,000","-534,898,000","-213,089,000","-287,775,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-30.971%,-129.942%,-,-,-85.016%,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,826,000","1,784,000","1,552,000","1,379,000","637,000","240,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-223,333,000","-517,121,000","-594,613,000","-536,277,000","-213,726,000","-288,015,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-31.226%,-130.392%,-,-,-85.270%,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"715,216,000","396,591,000","75,422,000","66,563,000","250,646,000",-,Upgrade,Financials in USD,Fiscal year is January - December
