Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2020,2019 - 2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Mar '20 Mar 31, 2020",2019 - 2018,,
Revenue,-,-,-,"5,653,725","4,306,316","5,557,967",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,31.289%,-22.520%,-4.223%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"2,553,290","5,209,250","4,486,120","16,049,203","7,185,957","5,183,148",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-2,553,290","-5,209,250","-4,486,120","-10,395,478","-2,879,641","374,819",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","4,149,348","6,095,607","10,274,600","12,267,558","8,423,881","1,878,021",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"4,149,348","6,095,607","10,274,600","12,267,558","8,423,881","1,878,021",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-6,702,638","-11,304,857","-14,760,720","-22,663,036","-11,303,522","-1,503,202",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-1,044,291","-1,524,722","-34,397",-,"-138,796","-283,095",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"48,082",-,-,"42,693",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"712,393","2,074,463","907,203","4,728,633","-8,052,588","2,785",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-6,986,454","-10,755,116","-13,887,914","-17,891,710","-19,494,906","-1,783,512",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,"-21,747",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,"-1,376,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-788,469","-1,702,940",-,-,"451,345",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-7,774,923","-12,479,803","-13,887,914","-17,891,710","-20,419,561","-1,783,512",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-3,993","-4,793","6,548","5,427",-619,"4,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-7,770,930","-12,475,010","-13,894,462","-17,897,137","-20,418,942","-1,787,512",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,"-82,687","-942,202","-4,746,081",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-7,853,617","-13,417,212","-18,640,543","-17,897,137","-20,418,942","-1,787,512",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-7,941,221","-13,417,212","-18,640,543","-17,897,137","-20,418,942","-1,787,512",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"191,294","101,454","76,807","58,670","28,948","11,204",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"191,294","101,454","76,807","58,670","28,948","11,204",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),98.436%,32.090%,30.914%,102.674%,158.372%,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-41.513,-132.249,-242.693,-305.048,-705.366,-159.542,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-41.533,-132.287,-242.792,-305.048,-705.366,-159.542,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-9,729,566","-10,304,263","-13,247,541","-14,865,213","-9,965,414","50,357",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-50.862,-101.566,-172.478,-253.370,-344.252,4.495,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-183.869%,-66.870%,6.744%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-400.851%,-262.487%,-27.046%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-316.555%,-474.163%,-32.161%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-262.928%,-231.414%,0.906%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-6,886,340","-11,300,362","-14,748,555","-22,549,818","-11,164,870","-1,286,600",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-259.267%,-23.149%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"-183,702","4,495","12,165","113,218","138,652","216,602",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-6,702,638","-11,304,857","-14,760,720","-22,663,036","-11,303,522","-1,503,202",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-262.487%,-27.046%,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,-,"5,653,725","4,306,316","5,557,967",Upgrade,Financials in USD,Fiscal year is January - December
