Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,-,-,-,"2,717,000","462,000","979,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,488.095%,-52.809%,-,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,"2,717,000","462,000","979,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","24,312,000","26,475,000","26,844,000","27,834,000","4,962,000","3,465,000",Financials in USD,Fiscal year is January - December
Research & Development,"27,478,000","39,624,000","36,607,000","26,482,000","12,044,000","24,579,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"51,790,000","66,099,000","63,451,000","54,316,000","17,006,000","28,044,000",Financials in USD,Fiscal year is January - December
Operating Income,"-51,790,000","-66,099,000","-63,451,000","-51,599,000","-16,544,000","-27,065,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-5,205,000","-5,085,000","-1,071,000","-466,000","-124,000","-10,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,078,000","3,301,000","1,248,000","89,000","63,000","423,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,"-371,000","-63,000","65,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-54,917,000","-67,883,000","-63,274,000","-52,347,000","-16,668,000","-26,587,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"-700,000",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-54,917,000","-67,883,000","-63,274,000","-53,047,000","-16,668,000","-26,587,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,"70,000","41,000","35,000",-,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-54,917,000","-67,883,000","-63,344,000","-53,088,000","-16,703,000","-26,587,000",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"26,748,000","33,913,000","32,756,000","44,757,000","16,703,000",-,Financials in USD,Fiscal year is January - December
Net Income,"-28,169,000","-33,970,000","-30,588,000","-8,331,000",-,"-26,587,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-28,169,000","-33,970,000","-30,588,000","-8,331,000",-,"-26,587,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"26,773,250","25,505,000","23,817,000","19,534,000","46,890,280","46,890,280",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"26,773,250","25,505,000","23,817,000","19,534,000","46,890,280","46,890,280",Financials in USD,Fiscal year is January - December
Shares Change (YoY),5.969%,7.087%,21.926%,-58.341%,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.052,-1.332,-1.284,-0.426,-,-0.567,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.052,-1.332,-1.284,-0.426,-,-0.567,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-39,723,000","-52,465,000","-48,134,000","-32,751,000","-16,160,000","-27,848,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.484,-2.057,-2.021,-1.677,-0.345,-0.594,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,100.000%,100.000%,100.000%,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-1899.117%,-3580.952%,-2764.556%,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-306.625%,-,-2715.730%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-1205.410%,-3497.835%,-2844.535%,Financials in USD,Fiscal year is January - December
EBITDA,"-50,801,000","-65,277,000","-62,903,000","-51,102,000","-15,955,000","-26,501,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"989,000","822,000","548,000","497,000","589,000","564,000",Financials in USD,Fiscal year is January - December
EBIT,"-51,790,000","-66,099,000","-63,451,000","-51,599,000","-16,544,000","-27,065,000",Financials in USD,Fiscal year is January - December
