Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+3 Quarters,,
Revenue,-,"850,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,"850,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","3,627,000","4,721,000","3,248,000","2,967,000","3,095,000","3,114,000","3,073,000","2,960,000","2,807,000","3,125,000","2,767,000","3,427,000","2,700,000","2,166,000","2,635,000","3,544,000","5,291,000","2,085,000","2,260,000","3,099,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"8,612,000","11,174,000","9,522,000","12,426,000","8,831,000","10,223,000","6,638,000","9,928,000","9,791,000","5,862,000","4,415,000","9,574,000","3,154,000","2,905,000","4,704,000","4,406,000","3,670,000","2,985,000","3,571,000","3,303,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"12,239,000","15,895,000","12,770,000","15,393,000","11,926,000","13,337,000","9,711,000","12,888,000","12,598,000","8,987,000","7,182,000","13,001,000","5,854,000","5,071,000","7,339,000","7,950,000","8,961,000","5,070,000","5,831,000","6,402,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-12,239,000","-15,045,000","-12,770,000","-15,393,000","-11,926,000","-13,337,000","-9,711,000","-12,888,000","-12,598,000","-8,987,000","-7,182,000","-13,001,000","-5,854,000","-5,071,000","-7,339,000","-7,950,000","-8,961,000","-5,070,000","-5,831,000","-6,402,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,"-39,000","-78,000","-111,000","-142,000","-178,000","-212,000","-242,000","-276,000","-284,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,800,000","1,969,000","1,983,000","1,978,000","2,000,000","2,059,000","1,874,000","1,294,000","623,000","424,000","20,000","4,000","1,000","9,000","15,000","18,000","22,000","7,000","41,000","96,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,000",-,-,-,"-4,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-42,000",-,-,-,"-38,000",-,-,-,-,-,-,-,-,-,-,"-1,000","1,000","-236,000","-320,000","-8,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-10,481,000","-13,076,000","-10,787,000","-13,415,000","-9,964,000","-11,278,000","-7,837,000","-11,594,000","-11,975,000","-8,563,000","-7,162,000","-13,036,000","-5,931,000","-5,173,000","-7,466,000","-8,110,000","-9,150,000","-5,541,000","-6,386,000","-6,602,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,"69,000",-,"42,000","-44,000",-,"44,000","-281,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-10,481,000","-13,076,000","-10,787,000","-13,415,000","-9,964,000","-11,278,000","-7,837,000","-11,594,000","-11,975,000","-8,494,000","-7,162,000","-12,994,000","-5,975,000","-55,791,000","-7,422,000","-8,391,000","-9,150,000","-5,541,000","-6,386,000","-6,602,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,-,-,-,-,-,-,"-13,000",-,"13,000",-,-,-,"16,000","16,000","10,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-10,481,000","-13,076,000","-10,787,000","-13,415,000","-9,964,000","-11,278,000","-7,837,000","-11,594,000","-11,975,000","-8,494,000","-7,162,000","-12,981,000","-5,975,000","-55,804,000","-7,422,000","-8,391,000","-9,150,000","-5,557,000","-6,402,000","-6,612,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-10,481,000","-13,076,000","-10,787,000","-13,415,000","-9,964,000","-11,278,000","-7,837,000","-11,594,000","-11,975,000","-8,494,000","-7,162,000","-12,981,000","-5,975,000","-55,804,000","-7,422,000","-8,391,000","-9,150,000","-5,557,000","-6,402,000","-6,612,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"137,589,000","137,589,000","136,608,000","121,954,545","127,424,000","126,729,000","126,375,000","115,940,000","101,010,000","100,947,000","100,858,000","86,471,000","61,694,000","51,913,000","51,313,000","51,200,000","50,940,000","13,603,000","7,122,000","6,958,147",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"137,589,000","137,589,000","136,608,000","121,954,545","127,424,000","126,729,000","126,375,000","115,940,000","101,010,000","100,947,000","100,858,000","86,471,000","61,694,000","51,913,000","51,313,000","51,200,000","50,940,000","13,603,000","7,122,000","6,958,147",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),7.977%,8.569%,8.097%,5.188%,26.150%,25.540%,25.300%,34.080%,63.727%,94.454%,96.554%,68.889%,21.111%,281.629%,620.486%,635.828%,654.427%,105.634%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.076,-0.095,-0.079,-0.110,-0.078,-0.089,-0.062,-0.100,-0.119,-0.084,-0.071,-0.150,-0.097,-1.075,-0.145,-0.164,-0.180,-0.409,-0.899,-0.950,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.076,-0.095,-0.079,-0.110,-0.078,-0.089,-0.062,-0.100,-0.119,-0.084,-0.071,-0.150,-0.097,-1.075,-0.145,-0.164,-0.180,-0.409,-0.899,-0.950,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-11,095,000","-10,754,000","-13,888,000","-12,363,000","-5,932,000","-10,124,000","-12,229,000","-10,695,000","-10,969,000","-4,537,000","-8,136,000","-5,442,000","-3,824,000","-6,553,000","-5,733,000","-6,656,000","-7,176,000","-5,304,000","-7,773,000","-5,776,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.081,-0.078,-0.102,-0.101,-0.047,-0.080,-0.097,-0.092,-0.109,-0.045,-0.081,-0.063,-0.062,-0.126,-0.112,-0.130,-0.141,-0.390,-1.091,-0.830,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,100.000%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-,-1770.000%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-,-1538.353%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-1265.176%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-12,096,000","-14,893,000","-12,616,000","-15,232,000","-11,762,000","-13,157,000","-9,517,000","-12,693,000","-12,396,000","-8,767,000","-7,017,000","-12,877,000","-5,716,000","-4,924,000","-7,182,000","-6,881,000","-8,526,000","-4,633,000","-5,368,000","-5,881,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"143,000","152,000","154,000","161,000","164,000","180,000","194,000","195,000","202,000","220,000","165,000","124,000","138,000","147,000","157,000","1,069,000","435,000","437,000","463,000","521,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-12,239,000","-15,045,000","-12,770,000","-15,393,000","-11,926,000","-13,337,000","-9,711,000","-12,888,000","-12,598,000","-8,987,000","-7,182,000","-13,001,000","-5,854,000","-5,071,000","-7,339,000","-7,950,000","-8,961,000","-5,070,000","-5,831,000","-6,402,000",Upgrade,Financials in USD,Fiscal year is January - December
