Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2015,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2015,,
Revenue,"160,399,000","166,799,000","205,999,000","12,359,000","9,539,000","20,789,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-45.855%,-19.029%,1566.793%,29.563%,-54.115%,31.969%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"187,996,000","192,133,000","147,751,000","173,760,000","55,946,000","32,440,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-27,597,000","-25,334,000","58,248,000","-161,401,000","-46,407,000","-11,651,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","52,950,000","52,871,000","46,071,000","41,451,000","25,117,000","13,862,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"52,950,000","52,871,000","46,071,000","41,451,000","25,117,000","13,862,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-80,547,000","-78,205,000","12,177,000","-202,852,000","-71,524,000","-25,513,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-4,000","-767,000","-3,001,000",-,"-831,000","-854,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"18,867,000","17,359,000","2,581,000",-,"470,000","408,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,-,-,"-515,000","515,000","-263,000","-32,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-696,000","-229,000","-598,000","584,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-1,000","-1,000",-,"-1,921,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-62,381,000","-61,843,000","10,644,000","-203,674,000","-72,148,000","-25,991,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,"33,953,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-62,381,000","-27,890,000","10,644,000","-203,674,000","-72,148,000","-25,991,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"262,000","1,835,000","1,295,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-62,643,000","-29,725,000","9,349,000","-203,674,000","-72,148,000","-25,991,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-62,643,000","-29,725,000","9,349,000","-203,674,000","-72,148,000","-25,991,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"26,936,250","26,628,000","26,445,000","26,317,000","20,305,000","12,069,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"26,936,250","26,628,000","27,093,000","26,317,000","20,305,000","12,069,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),-0.951%,-1.716%,2.949%,29.608%,68.241%,19.863%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.326,-1.116,0.354,-7.739,-3.553,-2.154,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.329,-1.120,0.350,-7.740,-3.553,-2.154,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-61,615,000","-21,000,000","24,267,000","-138,449,000","-44,603,000","-7,263,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.287,-0.789,0.896,-5.261,-2.197,-0.602,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-17.205%,-15.188%,28.276%,-,-,-56.044%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-50.217%,-46.886%,5.911%,-1641.330%,-749.806%,-122.724%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-39.054%,-17.821%,4.538%,-1647.981%,-756.348%,-125.023%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-38.414%,-12.590%,11.780%,-1120.228%,-467.586%,-34.937%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-77,007,000","-75,248,000","13,704,000","-201,659,000","-70,642,000","-24,829,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-48.010%,-45.113%,6.652%,-,-,-119.433%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"3,540,000","2,957,000","1,527,000","1,193,000","882,000","684,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-80,547,000","-78,205,000","12,177,000","-202,852,000","-71,524,000","-25,513,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-50.217%,-46.886%,5.911%,-,-,-122.724%,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,12.166%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"160,399,000","166,799,000","205,999,000","12,359,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
