Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"650,000","10,959,000","299,000","15,641,000","6,137,000","2,318,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-93.935%,3565.217%,-98.088%,154.864%,164.754%,-53.769%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"2,126,000","1,991,000","400,000","2,005,000","3,002,000","1,879,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-1,476,000","8,968,000","-101,000","13,636,000","3,135,000","439,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","5,784,000","5,996,000","6,741,000","5,940,000","4,669,000","3,656,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"11,085,000","10,484,000","10,255,000","7,631,000","4,065,000","4,414,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"16,869,000","16,480,000","16,996,000","13,571,000","8,734,000","8,070,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-18,345,000","-7,512,000","-17,097,000","65,000","-5,599,000","-7,631,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,"-24,000","-7,000","-23,000","-10,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,220,000","788,000","321,000","219,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-285,000","-285,000","-115,000","-38,000","-181,000","-230,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-10,000","-10,000","-10,000","-2,000","29,000","-3,293,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-17,420,000","-7,019,000","-16,925,000","237,000","-5,774,000","-11,164,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-17,420,000","-7,019,000","-16,925,000","237,000","-5,774,000","-11,164,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-17,420,000","-7,019,000","-16,925,000","237,000","-5,774,000","-11,164,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"11,453,895","11,389,168","11,033,310","9,968,972","6,886,955","4,986,381",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"11,453,895","11,389,168","11,033,310","11,966,788","6,886,955","4,986,381",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),1.189%,3.225%,-7.801%,73.760%,38.115%,13.725%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.521,-0.616,-1.534,0.024,-0.838,-2.239,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.525,-0.620,-1.534,0.020,-0.840,-2.239,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-13,627,000","-3,717,000","-14,972,000","1,073,000","-4,888,000","-7,194,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.190,-0.326,-1.357,0.090,-0.710,-1.443,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-227.077%,81.832%,-33.779%,87.181%,51.084%,18.939%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-2822.308%,-68.546%,-5718.060%,0.416%,-91.234%,-329.206%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-2680.000%,-64.048%,-5660.535%,1.515%,-94.085%,-481.622%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-2096.462%,-33.917%,-5007.358%,6.860%,-79.648%,-310.354%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-17,265,000","-6,410,000","-16,021,000","838,000","-4,939,000","-7,092,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-58.491%,-,5.358%,-80.479%,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,080,000","1,102,000","1,076,000","773,000","660,000","539,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-18,345,000","-7,512,000","-17,097,000","65,000","-5,599,000","-7,631,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-68.546%,-,0.415%,-91.234%,-,Upgrade,Financials in USD,Fiscal year is January - December
