Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022",,
"Selling, General & Admin","4,144,000","3,919,000","3,699,000","3,108,000","2,436,000","2,226,000","1,936,000","1,795,000","1,679,000","1,499,500","1,499,500",Financials in USD,Fiscal year is January - December
Research & Development,"20,088,000","21,778,000","16,975,000","20,010,000","14,280,000","20,358,000","10,236,000","8,647,000","10,089,000","5,848,500","5,848,500",Financials in USD,Fiscal year is January - December
Operating Expenses,"24,232,000","25,697,000","20,674,000","23,118,000","16,716,000","22,584,000","12,172,000","10,442,000","11,768,000","7,348,000","7,348,000",Financials in USD,Fiscal year is January - December
Operating Income,"-24,232,000","-25,697,000","-20,674,000","-23,118,000","-16,716,000","-22,584,000","-12,172,000","-10,442,000","-11,768,000","-7,348,000","-7,348,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"3,668,000","3,823,000","3,257,000","1,925,000","2,315,000","1,017,000",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-20,564,000","-21,874,000","-17,417,000","-21,193,000","-14,401,000","-21,567,000","-12,172,000","-10,442,000","-11,768,000","-7,348,000","-7,348,000",Financials in USD,Fiscal year is January - December
Net Income,"-20,564,000","-21,874,000","-17,417,000","-21,193,000","-14,401,000","-21,567,000","-12,172,000","-10,442,000","-11,768,000","-7,348,000","-7,348,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-20,564,000","-21,874,000","-17,417,000","-21,193,000","-14,401,000","-21,567,000","-12,172,000","-10,442,000","-11,768,000","-7,348,000","-7,348,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"33,581,810","33,502,347","25,046,531","2,714,980","2,607,192","1,999,705","1,287,574","1,279,566","1,276,250","1,276,250","1,276,250",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"33,581,810","33,502,347","25,046,531","2,714,980","2,607,192","1,999,705","1,287,574","1,279,566","1,276,250","1,276,250","1,276,250",Financials in USD,Fiscal year is January - December
Shares Change (YoY),1188.045%,1575.364%,1845.250%,112.180%,104.285%,56.686%,0.887%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.612,-0.653,-0.695,-7.806,-5.524,-10.785,-9.453,-8.161,-9.221,-5.757,-5.757,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.612,-0.653,-0.695,-7.806,-5.524,-10.785,-9.453,-8.161,-9.221,-5.757,-5.757,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-16,345,000","-19,087,000","-18,628,000","-14,913,000","-15,442,000","-8,606,000","-16,881,000","-15,887,000","-9,926,000","-8,909,000","-8,909,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.487,-0.570,-0.744,-5.493,-5.923,-4.304,-13.111,-12.416,-7.777,-6.981,-6.981,Financials in USD,Fiscal year is January - December
EBIT,"-24,232,000","-25,697,000","-20,674,000","-23,118,000","-16,716,000","-22,584,000","-12,172,000","-10,442,000","-11,768,000","-7,348,000","-7,348,000",Financials in USD,Fiscal year is January - December
