Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2017,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2017,,
Revenue,"212,107","645,176","933,715","105,034",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-71.699%,-30.902%,788.965%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"842,336","756,836","766,779","77,979",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-630,229","-111,660","166,936","27,055",-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","15,039,903","18,876,426","17,835,012","22,419,366","7,934,243","5,695,357",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"14,493,417","7,074,339","7,268,084","5,042,617","937,966","175,441",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"29,533,320","25,950,765","25,103,096","27,461,983","8,872,209","5,870,798",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-30,163,549","-26,062,425","-24,936,160","-27,434,928","-8,872,209","-5,870,798",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-10,131,713","-6,389,900","-2,286,086","-1,938,567","-310,081","-1,930",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,513","10,166","57,348","3,101",563,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,"58,960",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-40,293,749","-32,442,159","-27,105,938","-29,370,394","-9,181,727","-5,872,728",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-156,958","51,712","-543,938","-17,000,970","32,500","45,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-40,450,707","-32,390,447","-27,649,876","-46,371,364","-9,149,227","-5,827,728",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-40,450,707","-32,390,447","-27,649,876","-46,371,364","-9,149,227","-5,827,728",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"262,636","9,608",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-40,188,071","-32,380,839","-27,649,876","-46,371,364","-9,149,227","-5,827,728",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"6,059,713","319,871","37,677","-102,267",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-46,247,784","-32,700,710","-27,687,553","-46,269,097","-9,149,227","-5,827,728",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-13,924,392","-18,591,218","-22,759,085","-23,293,896","-7,391,633","-464,352",Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-297.128%,-17.307%,17.879%,25.758%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-14220.912%,-4039.584%,-2670.639%,-26120.045%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-21803.988%,-5068.494%,-2965.311%,-44051.542%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-6564.796%,-2881.573%,-2437.477%,-22177.482%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-29,609,550","-25,627,398","-24,507,183","-27,065,692","-8,854,436",-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"553,999","435,027","428,977","369,236","17,773",-,Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-30,163,549","-26,062,425","-24,936,160","-27,434,928","-8,872,209","-5,870,798",Upgrade,Financials in USD,Fiscal year is January - December
