Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,-,-,-,"6,853,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,"6,853,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","12,502,000","11,165,000","13,438,000","12,315,000","12,019,000","13,346,000","16,051,000","13,768,000","12,284,000","14,763,000","14,385,000","12,988,000","12,464,000","11,841,000","5,716,000","308,000","193,000","258,000","383,000",Financials in USD,Fiscal year is January - December
Research & Development,"33,903,000","32,815,000","22,652,000","29,716,000","28,190,000","33,673,000","32,826,000","27,835,000","36,744,000","53,651,000","36,853,000","41,534,000","25,850,000","18,134,000","10,804,000","2,697,000","1,923,000","1,871,000","2,809,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"46,405,000","43,980,000","36,090,000","42,031,000","40,209,000","47,019,000","48,877,000","41,603,000","49,028,000","68,414,000","51,238,000","54,522,000","38,314,000","29,975,000","16,520,000","3,005,000","2,116,000","2,129,000","3,192,000",Financials in USD,Fiscal year is January - December
Operating Income,"-46,405,000","-43,980,000","-36,090,000","-35,178,000","-40,209,000","-47,019,000","-48,877,000","-41,603,000","-49,028,000","-68,414,000","-51,238,000","-54,522,000","-38,314,000","-29,975,000","-16,520,000","-3,005,000","-2,116,000","-2,129,000","-3,192,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-2,557,000","-2,525,000","-2,529,000","-2,570,000","-2,541,000","-2,450,000","-2,345,000","-2,203,000","-1,922,000","-1,653,000","-1,500,000","-2,603,000",-,-,"-46,000","-102,000","-100,000","-89,000","-86,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"3,340,000","3,240,000","2,591,000","2,933,000","2,953,000","2,059,000","2,531,000","39,000","77,000","25,000","104,000",-,"65,000","27,000","8,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"2,800,000",-,"-437,000","1,150,000",-,"200,000","500,000","2,100,000","-2,343,000",-,-,"1,005,000","-1,906,000","-191,000","-2,508,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"64,000","-146,000",-,"-328,000","-2,377,000","-27,000","-46,000","-570,000",-,"5,359,000","196,000","-770,000",-,-,-,"160,000","6,000","-10,000",-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-42,758,000","-43,411,000","-36,465,000","-33,993,000","-42,174,000","-47,237,000","-48,237,000","-42,237,000","-53,216,000","-64,683,000","-52,438,000","-56,890,000","-40,155,000","-30,139,000","-19,066,000","-2,947,000","-2,210,000","-2,228,000","-3,278,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,"800,000","300,000","-1,100,000","-1,700,000","700,000","-1,700,000","-1,800,000","-1,600,000","-800,000",-,"-1,980,000","-3,770,000",-,"-11,312,000",-,"-339,000","72,000",-,"267,000",Financials in USD,Fiscal year is January - December
