Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"33,668,000","20,756,000","31,096,000","45,785,000","33,195,000","21,381,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),65.453%,-33.252%,-32.083%,37.927%,55.255%,10.416%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"108,515,000","117,706,000","117,841,000","94,665,000","78,440,000","48,059,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-74,847,000","-96,950,000","-86,745,000","-48,880,000","-45,245,000","-26,678,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","42,048,000","42,081,000","42,789,000","33,254,000","15,204,000","8,774,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"42,048,000","42,081,000","42,789,000","33,254,000","15,204,000","8,774,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-116,895,000","-139,031,000","-129,534,000","-82,134,000","-60,449,000","-35,452,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,"-1,373,000","-2,216,000","-2,145,000","-1,229,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"8,830,000","6,028,000","4,289,000","2,266,000","298,000","2,491,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,"-5,676,000",-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-108,065,000","-134,376,000","-127,461,000","-82,013,000","-67,056,000","-32,961,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"5,282,000","3,784,000","-714,000","-1,879,000","95,000","-334,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,"-621,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-105,220,000","-131,213,000","-128,175,000","-83,892,000","-66,961,000","-33,295,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"277,000","1,280,000",-,-,"-626,000","804,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-105,497,000","-132,493,000","-128,175,000","-83,892,000","-66,335,000","-34,099,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,"8,468,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-105,497,000","-132,493,000","-128,175,000","-83,892,000","-66,335,000","-42,567,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"64,532,195","49,640,505","48,861,665","46,041,733","11,370,328","1,371,905",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"64,532,195","49,640,505","48,861,665","46,041,733","11,370,328","1,371,905",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),31.514%,1.594%,6.125%,304.929%,728.798%,6.091%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.635,-2.669,-2.623,-1.822,-5.834,-31.028,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.635,-2.669,-2.623,-1.822,-5.834,-31.028,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-71,575,000","-108,546,000","-111,435,000","-88,242,000","-67,899,000","54,265,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.109,-2.187,-2.281,-1.917,-5.972,39.554,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-222.309%,-,-278.959%,-106.760%,-136.301%,-124.774%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-347.199%,-669.835%,-416.562%,-179.391%,-182.103%,-165.811%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-313.345%,-638.336%,-412.191%,-183.230%,-199.834%,-199.088%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-212.591%,-522.962%,-358.358%,-192.731%,-204.546%,253.800%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-115,127,000","-137,151,000","-127,858,000","-80,642,000","-58,832,000","-33,857,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-176.132%,-177.232%,-158.351%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,768,000","1,880,000","1,676,000","1,492,000","1,617,000","1,595,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-116,895,000","-139,031,000","-129,534,000","-82,134,000","-60,449,000","-35,452,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-179.391%,-182.103%,-165.811%,Upgrade,Financials in USD,Fiscal year is January - December
