Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,"65,200,000","73,400,000","64,179,000","74,141,000","66,865,000","68,914,000","79,025,000","204,713,000","191,263,000","242,732,000","244,293,000","228,444,000","204,810,000","217,775,000","148,211,000","98,353,000","87,859,000","46,905,000","50,981,000","35,960,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-2.490%,6.510%,-18.786%,-63.783%,-65.040%,-71.609%,-67.652%,-10.388%,-6.614%,11.460%,64.828%,132.269%,133.112%,364.290%,190.718%,173.507%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"36,826,000","38,271,000","38,335,000","38,108,000","36,686,000","43,273,000","33,676,000","53,253,000","38,176,000","37,496,000","40,032,000","39,138,000","32,221,000","37,811,000","31,391,000","23,395,000","19,760,000","21,197,000","15,297,000","17,830,000",Financials in USD,Fiscal year is January - December
Gross Profit,"28,374,000","35,129,000","25,844,000","36,033,000","30,179,000","25,641,000","45,349,000","151,460,000","153,087,000","205,236,000","204,261,000","189,306,000","172,589,000","179,964,000","116,820,000","74,958,000","68,099,000","25,708,000","35,684,000","18,130,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","39,087,000","40,556,000","40,885,000","34,378,000","38,864,000","35,377,000","38,671,000","33,703,000","30,795,000","27,661,000","30,200,000","23,181,000","26,512,000","23,544,000","22,548,000","41,621,000","20,510,000","15,988,000","16,126,000","15,784,000",Financials in USD,Fiscal year is January - December
Research & Development,"4,344,000","5,284,000","5,032,000","8,394,000","4,347,000","4,194,000","4,145,000","11,811,000","2,889,000","1,774,000","1,995,000","9,184,000","1,946,000","1,929,000","2,160,000","2,092,000","1,868,000","1,600,000","3,744,000","979,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"43,431,000","45,840,000","45,917,000","42,772,000","43,211,000","39,571,000","42,816,000","45,514,000","33,684,000","29,435,000","32,195,000","32,365,000","28,458,000","25,473,000","24,708,000","43,713,000","22,378,000","17,588,000","19,870,000","16,763,000",Financials in USD,Fiscal year is January - December
Operating Income,"-15,057,000","-10,711,000","-20,073,000","-6,739,000","-13,032,000","-13,930,000","2,533,000","105,946,000","119,403,000","175,801,000","172,066,000","156,941,000","144,131,000","154,491,000","92,112,000","31,245,000","45,721,000","8,120,000","15,814,000","1,367,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-13,634,000","-11,939,000","-10,864,000","-15,400,000","-11,637,000","-7,022,000","-11,833,000","-10,180,000","-3,136,000","-4,434,000","-2,664,000","-7,022,000","-7,685,000","-7,649,000","-7,904,000","-8,806,000","-7,089,000","-7,463,000","-7,382,000","-7,719,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"7,071,000","7,086,000","7,210,000","7,459,000","7,432,000","6,791,000","6,045,000","2,338,000",-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"33,000","-2,562,000","106,000","671,277,000","-941,000","-1,519,000","-1,268,000","-5,528,000","-4,000","-1,275,000","2,347,000","-2,830,000","3,324,000","-3,000","5,889,000","-6,000","32,000","20,000","80,000","23,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-21,587,000","-18,126,000","-23,621,000","656,597,000","-18,178,000","-15,680,000","-4,523,000","92,576,000","116,263,000","170,092,000","171,749,000","147,089,000","139,770,000","146,839,000","90,097,000","22,433,000","38,664,000","677,000","8,512,000","-6,329,000",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"4,000","4,000","1,212,000","-3,766,000",-,-,-,"3,300,000","-2,500,000","-2,900,000","-4,700,000",-,-,"-956,000","-923,000",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,"-154,239,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,-,-,"11,249,000",-,-,-,-,-,"19,002,000",-,Financials in USD,Fiscal year is January - December
Other Unusual Items,"178,000","1,195,000",-,"3,355,000","-2,385,000","2,316,000",-,-,-,"7,800,000","-208,000","-2,400,000",-,-,-,"-7,592,000",-,-,-,"-81,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-175,644,000","-16,927,000","-22,409,000","656,186,000","-20,563,000","-13,364,000","-4,523,000","95,876,000","113,763,000","174,992,000","166,841,000","144,689,000","151,019,000","145,883,000","89,174,000","14,841,000","38,664,000","677,000","27,514,000","-6,410,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"311,000","-2,435,000","271,000","766,168,000","-5,461,000","-1,421,000","-3,175,000","8,447,000","14,110,000","18,271,000","19,981,000","17,578,000","18,842,000","11,386,000","13,709,000","369,000","-359,000","-765,000","3,635,000","-960,000",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-175,955,000","-14,492,000","-22,680,000","-109,982,000","-15,102,000","-11,943,000","-1,348,000","87,429,000","99,653,000","156,721,000","146,860,000","127,111,000","132,177,000","134,497,000","75,465,000","14,472,000","39,023,000","1,442,000","23,879,000","-5,450,000",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"76,917,000","6,907,000","10,602,000","4,023,000","8,640,000","5,402,000","1,281,000","-49,795,000","-55,184,000","-85,481,000","-79,998,000","-71,281,000","-78,215,000","-85,354,000","-52,363,000","10,738,000","-73,000","-19,000","-490,000","59,000",Financials in USD,Fiscal year is January - December
Net Income,"-99,038,000","-7,585,000","-12,078,000","-105,959,000","-6,462,000","-6,541,000","-67,000","37,634,000","44,469,000","71,240,000","66,862,000","55,830,000","53,962,000","49,143,000","23,102,000","25,210,000","38,950,000","1,423,000","23,389,000","-5,391,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,854,000","7,730,000","1,216,000","1,061,000",-,Financials in USD,Fiscal year is January - December
Net Income to Common,"-99,038,000","-7,585,000","-12,078,000","-105,959,000","-6,462,000","-6,541,000","-67,000","37,634,000","44,469,000","71,240,000","66,862,000","55,830,000","53,962,000","49,143,000","23,102,000","23,356,000","31,220,000","207,000","22,328,000","-5,391,000",Financials in USD,Fiscal year is January - December
Net Income Growth,-,-,-,-,-,-,-,-32.592%,-17.592%,44.965%,189.421%,121.460%,38.542%,3353.479%,-1.227%,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"141,555,000","135,842,000","132,333,000","132,140,000","131,930,000","131,864,000","131,739,000","131,627,000","131,540,000","131,524,000","131,489,000","131,460,000","118,433,000","112,203,000","96,647,000","40,443,472","253,917,000","253,916,941","253,916,941","253,916,941",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"141,555,000","135,842,000","132,333,000","132,140,000","131,930,000","131,864,000","131,739,000","131,651,000","131,651,000","255,361,000","255,287,000","131,599,000","258,028,000","112,280,000","96,673,000","114,350,917","253,917,000","253,916,941","253,916,941","253,916,941",Financials in USD,Fiscal year is January - December
Shares Change (YoY),7.296%,3.017%,0.451%,0.371%,0.212%,-48.362%,-48.396%,0.040%,-48.978%,127.432%,164.073%,15.083%,1.619%,-55.781%,-61.927%,-54.965%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.700,-0.056,-0.091,-0.802,-0.049,-0.050,-0.001,0.286,0.338,0.542,0.508,0.425,0.456,0.438,0.239,0.577,0.123,0.001,0.088,-0.021,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.700,-0.056,-0.091,-0.802,-0.050,-0.050,-0.001,0.286,0.338,0.535,0.501,0.425,0.444,0.438,0.239,0.129,0.120,0.001,0.088,-0.030,Financials in USD,Fiscal year is January - December
EPS Growth,-,-,-,-,-,-,-,-32.677%,-23.833%,22.117%,109.719%,228.948%,269.708%,53624.049%,171.807%,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"4,545,000","7,881,000","-14,132,000","-9,009,000","-1,661,000","-5,865,000","77,206,000","93,121,000","103,592,000","162,618,000","159,556,000","53,087,000","104,233,000","161,406,000","34,994,000","70,582,000","41,337,000","8,556,000","6,304,000",-,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.032,0.058,-0.107,-0.068,-0.013,-0.044,0.586,0.707,0.787,0.637,0.625,0.403,0.404,1.438,0.362,0.617,0.163,0.034,0.025,-,Financials in USD,Fiscal year is January - December
Gross Margin,43.518%,47.860%,40.269%,48.601%,45.134%,37.207%,57.386%,73.987%,80.040%,84.552%,83.613%,82.868%,84.268%,82.638%,78.820%,76.213%,77.509%,54.809%,69.995%,50.417%,Financials in USD,Fiscal year is January - December
Operating Margin,-23.094%,-14.593%,-31.277%,-9.089%,-19.490%,-20.214%,3.205%,51.753%,62.429%,72.426%,70.434%,68.700%,70.373%,70.941%,62.149%,31.768%,52.039%,17.312%,31.019%,3.801%,Financials in USD,Fiscal year is January - December
Profit Margin,-151.899%,-10.334%,-18.819%,-142.916%,-9.664%,-9.492%,-0.085%,18.384%,23.250%,29.349%,27.370%,24.439%,26.347%,22.566%,15.587%,23.747%,35.534%,0.441%,43.797%,-14.992%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,6.971%,10.737%,-22.020%,-12.151%,-2.484%,-8.511%,97.698%,45.489%,54.162%,66.995%,65.313%,23.239%,50.893%,74.116%,23.611%,71.764%,47.049%,18.241%,12.365%,-,Financials in USD,Fiscal year is January - December
EBITDA,"-3,122,000","1,714,000","-8,418,000","4,062,000","-2,091,000","-4,263,000","11,378,000","114,144,000","127,514,000","183,945,000","179,448,000","162,340,000","150,532,000","161,146,000","98,409,000","37,170,000","52,392,000","14,595,000","22,580,000","7,388,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-4.788%,2.335%,-13.116%,5.479%,-3.127%,-6.186%,14.398%,55.758%,66.669%,75.781%,73.456%,71.063%,73.498%,73.996%,66.398%,37.792%,59.632%,31.116%,44.291%,20.545%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"11,935,000","12,425,000","11,655,000","10,801,000","10,941,000","9,667,000","8,845,000","8,198,000","8,111,000","8,144,000","7,382,000","5,399,000","6,401,000","6,655,000","6,297,000","5,925,000","6,671,000","6,475,000","6,766,000","6,021,000",Financials in USD,Fiscal year is January - December
EBIT,"-15,057,000","-10,711,000","-20,073,000","-6,739,000","-13,032,000","-13,930,000","2,533,000","105,946,000","119,403,000","175,801,000","172,066,000","156,941,000","144,131,000","154,491,000","92,112,000","31,245,000","45,721,000","8,120,000","15,814,000","1,367,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-23.093%,-14.593%,-31.276%,-9.089%,-19.490%,-20.213%,3.205%,51.753%,62.429%,72.426%,70.434%,68.700%,70.373%,70.941%,62.149%,31.768%,52.039%,17.311%,31.019%,3.801%,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,116.761%,-,-,-,8.810%,12.403%,10.441%,11.976%,12.149%,12.476%,7.805%,15.373%,2.486%,-,-,13.211%,-,Financials in USD,Fiscal year is January - December
