Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,"34,000","13,000","3,000","13,000","25,000","27,000","65,000","48,386,000","3,000","35,741,000","553,000","2,822,000","2,755,000","2,628,000","2,445,000","2,312,000","1,070,000","3,118,000","1,256,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),36.000%,-51.852%,-95.385%,-99.973%,733.333%,-99.924%,-88.246%,1614.600%,-99.891%,1260.008%,-77.382%,22.059%,157.477%,-15.715%,94.666%,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"34,000","13,000","3,000","13,000","25,000","27,000","65,000","48,386,000","3,000","35,741,000","553,000","2,822,000","2,755,000","2,628,000","2,445,000","2,312,000","1,070,000","3,118,000","1,256,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","11,769,000","12,256,000","13,494,000","13,167,000","15,507,000","19,030,000","19,279,000","26,348,000","26,084,000","30,454,000","34,421,000","31,873,000","21,241,000","19,112,000","16,831,000","14,869,000","13,570,000","12,462,000","11,380,000",Financials in USD,Fiscal year is January - December
Research & Development,"39,500,000","40,261,000","43,174,000","46,995,000","43,849,000","47,471,000","44,630,000","38,032,000","41,607,000","43,719,000","35,830,000","19,285,000","31,433,000","46,446,000","41,529,000","35,090,000","24,501,000","94,252,000","23,000,000",Financials in USD,Fiscal year is January - December
Other Operating Expenses,"-730,000","-976,000","-1,090,000","-1,078,000","-292,000","-569,000","-1,288,000","-1,216,000","-1,251,000","-1,171,000","-1,206,000","-1,772,000","-758,000","-223,000","-545,000","-339,000","-158,000","-1,030,000","-120,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"50,539,000","51,541,000","55,578,000","59,084,000","59,064,000","65,932,000","62,621,000","63,164,000","66,440,000","73,002,000","69,045,000","49,386,000","51,916,000","65,335,000","57,815,000","49,620,000","37,913,000","105,684,000","34,260,000",Financials in USD,Fiscal year is January - December
Operating Income,"-50,505,000","-51,528,000","-55,575,000","-59,071,000","-59,039,000","-65,905,000","-62,556,000","-14,778,000","-66,437,000","-37,261,000","-68,492,000","-46,564,000","-49,161,000","-62,707,000","-55,370,000","-47,308,000","-36,843,000","-102,566,000","-33,004,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"5,965,000","6,364,000","6,819,000","7,084,000","6,608,000","5,264,000","4,497,000","3,453,000","2,251,000","952,000","397,000","323,000","270,000","218,000","354,000","621,000","1,096,000","1,881,000","2,341,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"59,000","755,000","-445,000","-506,000","1,578,000","-326,000","1,100,000","2,954,000",-,-,"7,000","13,000",-,-,-,"1,398,000",-,-,"1,423,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-44,481,000","-44,409,000","-49,201,000","-52,493,000","-50,853,000","-60,967,000","-56,959,000","-8,371,000","-64,186,000","-36,309,000","-68,088,000","-46,228,000","-48,891,000","-62,489,000","-55,016,000","-45,289,000","-35,747,000","-100,685,000","-29,240,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-102,000","-1,400,000","-11,466,000",-,-,"-2,923,000","-10,000,000","-20,000","-6,068,000","-14,000","28,000","-36,504,000","16,000","-106,000","-27,000","-1,352,000","28,000","29,000",-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,"-437,000",-,-,-,"-6,000",-,-,"-84,000","-674,000",-,-,-,"4,884,000",-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,"-300,000",-,-,-,"2,900,000",-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-44,583,000","-45,809,000","-60,667,000","-52,930,000","-50,853,000","-63,890,000","-66,959,000","-8,397,000","-70,254,000","-36,323,000","-68,144,000","-83,706,000","-48,875,000","-62,595,000","-55,043,000","-38,857,000","-35,719,000","-100,656,000","-29,240,000",Financials in USD,Fiscal year is January - December
Net Income,"-44,583,000","-45,809,000","-60,667,000","-52,930,000","-50,853,000","-63,890,000","-66,959,000","-8,397,000","-70,254,000","-36,323,000","-68,144,000","-83,706,000","-48,875,000","-62,595,000","-55,043,000","-38,857,000","-35,719,000","-100,656,000","-29,240,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,582,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-44,583,000","-45,809,000","-60,667,000","-52,930,000","-50,853,000","-63,890,000","-66,959,000","-8,397,000","-70,254,000","-36,323,000","-68,144,000","-83,706,000","-48,875,000","-62,595,000","-55,043,000","-38,857,000","-35,719,000","-100,656,000","-32,822,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"256,309,000","255,398,000","254,252,000","252,801,000","251,318,000","250,204,000","249,591,000","249,465,000","248,320,000","246,312,000","244,178,000","241,863,000","239,384,000","42,713,000","17,272,000","15,157,000","13,893,000","12,313,000","11,656,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"256,309,000","255,398,000","254,252,000","252,801,000","251,318,000","250,204,000","249,591,000","249,465,000","248,320,000","246,312,000","244,178,000","241,863,000","239,384,000","42,713,000","17,272,000","15,157,000","13,893,000","12,313,000","11,656,000",Financials in USD,Fiscal year is January - December
Shares Change (YoY),1.986%,2.076%,1.867%,1.337%,1.207%,1.580%,2.217%,3.143%,3.733%,476.668%,1313.722%,1495.718%,1623.055%,246.894%,48.181%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.174,-0.179,-0.239,-0.209,-0.202,-0.255,-0.268,-0.034,-0.283,-0.147,-0.279,-0.346,-0.204,-1.465,-3.187,-2.564,-2.571,-8.175,-2.816,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.174,-0.179,-0.239,-0.209,-0.202,-0.255,-0.268,-0.034,-0.283,-0.147,-0.279,-0.346,-0.204,-1.470,-3.187,-2.564,-2.571,-8.175,-2.816,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-35,101,000","-38,425,000","-42,046,000","-40,660,000","-37,881,000","-40,094,000","-47,745,000","-44,849,000","-39,894,000","-51,503,000","-57,585,000","-43,481,000","-37,091,000","-58,394,000","-52,787,000","-51,613,000","-34,269,000","-96,000,000","-30,473,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.137,-0.150,-0.165,-0.161,-0.151,-0.160,-0.191,-0.180,-0.161,-0.209,-0.236,-0.180,-0.155,-1.367,-3.056,-3.405,-2.467,-7.797,-2.614,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,Financials in USD,Fiscal year is January - December
Operating Margin,-148544.118%,-396369.231%,-1852500.000%,-454392.308%,-236156.000%,-244092.593%,-96240.000%,-30.542%,-2214566.667%,-104.253%,-12385.533%,-1650.035%,-1784.428%,-2386.111%,-2264.622%,-2046.194%,-3443.271%,-3289.480%,-2627.707%,Financials in USD,Fiscal year is January - December
Profit Margin,-131126.471%,-352376.923%,-2022233.333%,-407153.846%,-203412.000%,-236629.630%,-103013.846%,-17.354%,-2341800.000%,-101.628%,-12322.604%,-2966.194%,-1774.047%,-2381.849%,-2251.247%,-1680.666%,-3338.224%,-3228.223%,-2613.217%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-103238.235%,-295576.923%,-1401533.333%,-312769.231%,-151524.000%,-148496.296%,-73453.846%,-92.690%,-1329800.000%,-144.101%,-10413.201%,-1540.787%,-1346.316%,-2221.994%,-2158.978%,-2232.396%,-3202.710%,-3078.897%,-2426.194%,Financials in USD,Fiscal year is January - December
