Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2017,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2017,,
Revenue,-,"1,580,000","9,685,000","7,572,000","41,817,000","57,052,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-83.686%,27.905%,-81.893%,-26.704%,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,"1,580,000","9,685,000","7,572,000","41,817,000","57,052,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","58,382,000","57,928,000","39,949,000","27,558,000","17,269,000","10,930,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"163,700,000","127,797,000","96,936,000","77,549,000","66,193,000","47,353,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"222,082,000","185,725,000","136,885,000","105,107,000","83,462,000","58,283,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-222,082,000","-184,145,000","-127,200,000","-97,535,000","-41,645,000","-1,231,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-2,511,000","-1,267,000","-791,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"22,912,000","24,076,000","4,670,000","272,000","112,000","600,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-201,681,000","-161,336,000","-123,321,000","-97,263,000","-41,533,000","-631,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-201,681,000","-161,336,000","-123,321,000","-97,263,000","-41,533,000","-631,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,"6,225,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-201,681,000","-161,336,000","-123,321,000","-97,263,000","-41,533,000","-6,856,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"60,303,859","58,719,083","42,015,908","35,846,421","21,344,236","1,623,358",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"60,303,859","58,719,083","42,015,908","35,846,421","21,344,236","1,623,358",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),7.774%,39.754%,17.211%,67.944%,1214.820%,39.290%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-3.344,-2.748,-2.935,-2.713,-1.946,-4.223,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-3.344,-2.748,-2.935,-2.713,-1.950,-4.223,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-136,643,000","-117,282,000","-96,391,000","-77,396,000","-38,803,000","-3,714,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.266,-1.997,-2.294,-2.159,-1.818,-2.288,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,100.000%,100.000%,100.000%,100.000%,100.000%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-,-11654.747%,-1313.371%,-1288.101%,-99.589%,-2.158%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-,-10211.139%,-1273.320%,-1284.509%,-99.321%,-12.017%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-7422.911%,-995.261%,-1022.134%,-92.792%,-6.510%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-219,951,000","-182,304,000","-125,377,000","-96,000,000","-40,335,000","-118,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-96.456%,-0.207%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"2,131,000","1,841,000","1,823,000","1,535,000","1,310,000","1,113,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-222,082,000","-184,145,000","-127,200,000","-97,535,000","-41,645,000","-1,231,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-99.589%,-2.158%,Upgrade,Financials in USD,Fiscal year is January - December
