Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"93,425,000","90,340,000","75,500,000","83,693,000","79,072,000","77,229,000","65,214,000","59,300,000","67,730,000","65,221,000","53,107,000","56,124,000","46,757,000","45,366,000","40,214,000","41,415,000","43,643,000","42,495,000","36,860,000","45,708,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),18.152%,16.977%,15.773%,41.135%,16.746%,18.411%,22.797%,5.659%,44.855%,43.766%,32.061%,35.516%,7.135%,6.756%,9.099%,-9.392%,12.236%,41.782%,68.295%,364.748%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"21,170,000","20,964,000","17,457,000","18,443,000","16,706,000","16,594,000","13,830,000","13,069,000","13,471,000","16,395,000","12,191,000","13,288,000","10,183,000","10,837,000","9,844,000","10,862,000","10,622,000","9,950,000","23,167,000","64,886,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"72,255,000","69,376,000","58,043,000","65,250,000","62,366,000","60,635,000","51,384,000","46,231,000","54,259,000","48,826,000","40,916,000","42,836,000","36,574,000","34,529,000","30,370,000","30,553,000","33,021,000","32,545,000","13,693,000","-19,178,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","118,930,000","106,569,000","93,102,000","89,530,000","90,626,000","84,431,000","79,914,000","73,479,000","75,583,000","59,974,000","56,748,000","64,666,000","60,280,000","57,177,000","51,550,000","56,019,000","46,585,000","49,663,000","51,346,000","50,206,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"150,809,000","146,748,000","121,083,000","137,029,000","109,148,000","196,969,000","127,865,000","124,763,000","99,872,000","88,527,000","84,356,000","76,352,000","70,347,000","64,655,000","61,390,000","67,814,000","41,411,000","35,748,000","21,455,000","-23,550,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"271,002,000","254,580,000","215,448,000","227,822,000","201,037,000","282,663,000","209,042,000","199,506,000","176,718,000","149,764,000","142,367,000","142,280,000","131,891,000","123,095,000","114,203,000","125,091,000","89,244,000","86,659,000","74,050,000","27,904,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-198,747,000","-185,204,000","-157,405,000","-162,572,000","-138,671,000","-222,028,000","-157,658,000","-153,275,000","-122,459,000","-100,938,000","-101,451,000","-99,444,000","-95,317,000","-88,566,000","-83,833,000","-94,538,000","-56,223,000","-54,114,000","-60,357,000","-47,082,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-24,906,000","-20,883,000","-18,680,000","-18,814,000","-21,589,000","-19,435,000","-21,536,000","-17,971,000","-3,353,000","-3,357,000","-3,291,000","-11,350,000","-11,245,000","-10,319,000","-7,559,000","-7,499,000","-7,185,000","-7,469,000","-7,411,000","-7,348,000",Upgrade,Financials in USD,Fiscal year is January - December
