Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+10 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+10 Quarters,,
Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,"78,760",-,-,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Gross Profit,-,-,-,-,-,-,-,-,-,-,-,-,-,"78,760",-,-,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
"Selling, General & Admin","10,389,712","5,031,702","5,082,552","3,988,373","5,079,140","2,835,264","3,658,440","3,477,065","8,130,743","4,825,039","5,940,952","9,569,839","7,571,515","4,430,388","6,301,398","2,377,762","2,494,297","1,579,911","1,638,448","1,333,173",Upgrade,Financials in CAD,Fiscal year is January - December
Research & Development,"3,750,688","2,709,644","3,322,929","4,040,455","2,576,751","3,479,385","4,127,696","5,617,948","5,089,423","4,407,182","3,847,527","3,527,834","2,592,094","2,071,681","2,678,812","7,240,954","1,916,486","818,059","584,253","1,031,230",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Expenses,"14,140,400","7,741,346","8,405,481","8,028,828","7,655,891","6,314,649","7,786,136","9,095,013","13,220,166","9,232,221","9,788,479","13,097,673","10,163,609","6,502,069","8,980,210","9,618,716","4,410,783","3,525,606","3,027,748","3,003,299",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Income,"-14,140,400","-7,741,346","-8,405,481","-8,028,828","-7,655,891","-6,314,649","-7,786,136","-9,095,013","-13,220,166","-9,232,221","-9,788,479","-13,097,673","-10,163,609","-6,423,309","-8,980,210","-9,618,716","-4,410,783","-3,525,606","-3,027,748","-3,003,299",Upgrade,Financials in CAD,Fiscal year is January - December
Interest & Investment Income,"201,864","307,409","377,294","448,303","515,538","528,697","545,927","584,647","389,338","191,336","72,311","27,767","35,930","25,480","16,824","19,532","23,359","13,904","19,788","40,983",Upgrade,Financials in CAD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-142,033","152,017","628,935","-628,148","667,548","-828,909","76,792","-528,314","2,970,896","1,689,797","-1,370,444","1,876,987","124,612","-163,114","53,538","-67,343","-13,819","-54,430","101,137","-27,466",Upgrade,Financials in CAD,Fiscal year is January - December
Other Non Operating Income (Expenses),"1,352,085","691,047","-1,780,380","571,656","542,620","-856,893","74,081","1,523,662","1,887,885","861,600","2,132,517","4,935,457","93,076",-,-,-,-,"-58,386","-41,824","-68,927",Upgrade,Financials in CAD,Fiscal year is January - December
