Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2015,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Jun '24 Jun 30, 2024","Jun '23 Jun 30, 2023","Jun '22 Jun 30, 2022","Jun '21 Jun 30, 2021","Jun '20 Jun 30, 2020",2019 - 2015,,
Operating Revenue,"3,841,877","3,841,877","3,505,722","4,714,361","3,862,806","13,739,283",Upgrade,Financials in AUD,Fiscal year is July - June
Revenue,"3,841,877","3,841,877","3,505,722","4,714,361","3,862,806","13,739,283",Upgrade,Financials in AUD,Fiscal year is July - June
Revenue Growth (YoY),9.589%,9.589%,-25.637%,22.045%,-71.885%,143.725%,Upgrade,Financials in AUD,Fiscal year is July - June
Cost of Revenue,"41,546,724","41,546,724","36,257,187","31,341,576","17,236,780","22,472,648",Upgrade,Financials in AUD,Fiscal year is July - June
Gross Profit,"-37,704,847","-37,704,847","-32,751,465","-26,627,215","-13,373,974","-8,733,365",Upgrade,Financials in AUD,Fiscal year is July - June
"Selling, General & Admin","8,852,615","8,852,615","8,679,840","7,210,123","6,282,105","6,338,652",Upgrade,Financials in AUD,Fiscal year is July - June
Operating Expenses,"8,852,615","8,852,615","8,679,840","7,210,123","6,282,105","6,338,652",Upgrade,Financials in AUD,Fiscal year is July - June
Operating Income,"-46,557,462","-46,557,462","-41,431,305","-33,837,338","-19,656,079","-15,072,017",Upgrade,Financials in AUD,Fiscal year is July - June
Interest Expense,"-30,594","-30,594","-20,401","-92,430","-9,825","-10,457",Upgrade,Financials in AUD,Fiscal year is July - June
Interest & Investment Income,"3,882,757","3,882,757","938,999","224,520","105,327","199,541",Upgrade,Financials in AUD,Fiscal year is July - June
Currency Exchange Gain (Loss),"113,458","113,458","623,511","1,228,122","-507,042","346,331",Upgrade,Financials in AUD,Fiscal year is July - June
Other Non Operating Income (Expenses),533,533,"131,896","591,070","-8,663,013","2,214,813",Upgrade,Financials in AUD,Fiscal year is July - June
EBT Excluding Unusual Items,"-42,591,308","-42,591,308","-39,757,300","-31,886,056","-28,730,632","-12,321,789",Upgrade,Financials in AUD,Fiscal year is July - June
Other Unusual Items,"-125,317","-125,317","-139,048","-324,736","-1,171,959","-1,146,406",Upgrade,Financials in AUD,Fiscal year is July - June
Pretax Income,"-42,716,625","-42,716,625","-39,896,348","-32,210,792","-29,902,591","-13,468,195",Upgrade,Financials in AUD,Fiscal year is July - June
Income Tax Expense,-,-,-,34,33,37,Upgrade,Financials in AUD,Fiscal year is July - June
Net Income,"-42,716,625","-42,716,625","-39,896,348","-32,210,826","-29,902,624","-13,468,232",Upgrade,Financials in AUD,Fiscal year is July - June
Net Income to Common,"-42,716,625","-42,716,625","-39,896,348","-32,210,826","-29,902,624","-13,468,232",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Basic),"1,201,061,930","1,201,061,930","892,399,810","848,968,068","594,927,440","412,855,961",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Diluted),"1,201,061,930","1,201,061,930","892,399,810","848,968,068","594,927,440","412,855,961",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Change (YoY),34.588%,34.588%,5.116%,42.701%,44.100%,23.266%,Upgrade,Financials in AUD,Fiscal year is July - June
EPS (Basic),-0.036,-0.036,-0.045,-0.038,-0.050,-0.033,Upgrade,Financials in AUD,Fiscal year is July - June
EPS (Diluted),-0.036,-0.036,-0.045,-0.038,-0.050,-0.033,Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow,"-34,850,444","-34,850,444","-35,438,555","-30,252,666","-17,655,943","-10,858,687",Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow Per Share,-0.029,-0.029,-0.040,-0.036,-0.030,-0.026,Upgrade,Financials in AUD,Fiscal year is July - June
Gross Margin,-,-,-,-,-,-63.565%,Upgrade,Financials in AUD,Fiscal year is July - June
Operating Margin,-1211.842%,-1211.842%,-1181.819%,-717.750%,-508.855%,-109.700%,Upgrade,Financials in AUD,Fiscal year is July - June
Profit Margin,-1111.869%,-1111.869%,-1138.035%,-683.249%,-774.117%,-98.027%,Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow Margin,-907.120%,-907.120%,-1010.878%,-641.713%,-457.076%,-79.034%,Upgrade,Financials in AUD,Fiscal year is July - June
EBITDA,"-44,544,368","-44,544,368","-39,572,091","-31,998,282","-17,767,337","-13,119,090",Upgrade,Financials in AUD,Fiscal year is July - June
EBITDA Margin,-,-,-,-,-,-95.486%,Upgrade,Financials in AUD,Fiscal year is July - June
D&A For EBITDA,"2,013,094","2,013,094","1,859,214","1,839,056","1,888,742","1,952,927",Upgrade,Financials in AUD,Fiscal year is July - June
EBIT,"-46,557,462","-46,557,462","-41,431,305","-33,837,338","-19,656,079","-15,072,017",Upgrade,Financials in AUD,Fiscal year is July - June
EBIT Margin,-,-,-,-,-,-109.700%,Upgrade,Financials in AUD,Fiscal year is July - June
Revenue as Reported,"7,838,625","7,838,625","5,200,128","6,758,073","3,968,133","16,499,968",Upgrade,Financials in AUD,Fiscal year is July - June
