Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
"Selling, General & Admin","56,021,000","31,400,000","28,202,000","28,717,000","13,447,000","2,786,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"258,445,000","210,762,000","142,760,000","121,308,000","45,200,000","11,040,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"314,466,000","242,162,000","170,962,000","150,025,000","58,647,000","13,826,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-314,466,000","-242,162,000","-170,962,000","-150,025,000","-58,647,000","-13,826,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,"-396,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"21,081,000","7,641,000","2,917,000","742,000","56,000","290,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-1,155,000","-1,393,000","-20,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,"-450,000",-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-294,540,000","-235,914,000","-168,065,000","-149,283,000","-59,437,000","-13,536,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"26,000","-23,000","-34,000","-8,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,"-1,323,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-294,514,000","-235,937,000","-168,099,000","-149,291,000","-59,437,000","-14,859,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-294,514,000","-235,937,000","-168,099,000","-149,291,000","-59,437,000","-14,859,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-294,514,000","-235,937,000","-168,099,000","-149,291,000","-59,437,000","-14,859,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"83,986,721","59,683,851","51,976,343","50,895,044","14,395,955","2,442,872",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"83,986,721","59,683,851","51,976,343","50,895,044","14,395,955","2,442,872",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),45.969%,14.829%,2.125%,253.537%,489.305%,415.392%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-3.507,-3.953,-3.234,-2.933,-4.129,-6.083,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-3.507,-3.953,-3.234,-2.933,-4.129,-6.083,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-244,423,000","-188,887,000","-156,712,000","-123,181,000","-47,669,000","-13,481,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.910,-3.165,-3.015,-2.420,-3.311,-5.519,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-312,844,000","-240,489,000","-169,279,000","-148,937,000","-57,947,000","-13,555,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,622,000","1,673,000","1,683,000","1,088,000","700,000","271,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-314,466,000","-242,162,000","-170,962,000","-150,025,000","-58,647,000","-13,826,000",Upgrade,Financials in USD,Fiscal year is January - December
