Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2017,Currency,Fiscal_Year_period
Period Ending,"Jul '24 Jul 31, 2024","Oct '23 Oct 31, 2023","Oct '22 Oct 31, 2022","Oct '21 Oct 31, 2021","Oct '20 Oct 31, 2020","Oct '19 Oct 31, 2019",2018 - 2017,,
"Selling, General & Admin","4,598,834","4,759,205","3,170,440","3,029,730","233,220","86,005",Upgrade,Financials in USD,Fiscal year is November - October
Research & Development,"1,271,390","1,544,229","3,080,991","646,487",-,-,Upgrade,Financials in USD,Fiscal year is November - October
Operating Expenses,"5,870,224","6,303,434","6,251,431","3,686,217","412,909","86,005",Upgrade,Financials in USD,Fiscal year is November - October
Operating Income,"-5,870,224","-6,303,434","-6,251,431","-3,686,217","-412,909","-86,005",Upgrade,Financials in USD,Fiscal year is November - October
Interest Expense,-,-,"-14,417",-,-,-,Upgrade,Financials in USD,Fiscal year is November - October
Interest & Investment Income,"59,174","75,729",-,-,-,-,Upgrade,Financials in USD,Fiscal year is November - October
Currency Exchange Gain (Loss),"-19,134","-78,136",-404,"-33,528",-,-,Upgrade,Financials in USD,Fiscal year is November - October
Other Non Operating Income (Expenses),"-2,257,071","-2,189,986","-290,569",-,-,"-19,278",Upgrade,Financials in USD,Fiscal year is November - October
EBT Excluding Unusual Items,"-8,087,255","-8,495,827","-6,556,821","-3,719,745","-412,909","-105,283",Upgrade,Financials in USD,Fiscal year is November - October
Gain (Loss) on Sale of Investments,"-44,279","-107,638","-308,188",-,-,-,Upgrade,Financials in USD,Fiscal year is November - October
Pretax Income,"-8,147,534","-8,603,465","-6,865,009","-3,719,745","-412,909","-105,283",Upgrade,Financials in USD,Fiscal year is November - October
Income Tax Expense,"292,199","17,372","29,859",-,-,-,Upgrade,Financials in USD,Fiscal year is November - October
Net Income,"-8,439,733","-8,620,837","-6,894,868","-3,719,745","-412,909","-105,283",Upgrade,Financials in USD,Fiscal year is November - October
Net Income to Common,"-8,439,733","-8,620,837","-6,894,868","-3,719,745","-412,909","-105,283",Upgrade,Financials in USD,Fiscal year is November - October
Shares Outstanding (Basic),"2,172,897","202,481","43,335","30,911","18,130","12,333",Upgrade,Financials in USD,Fiscal year is November - October
Shares Outstanding (Diluted),"2,172,897","202,481","43,335","30,911","18,130","12,333",Upgrade,Financials in USD,Fiscal year is November - October
Shares Change (YoY),1696.406%,367.246%,40.193%,70.496%,47.004%,14.417%,Upgrade,Financials in USD,Fiscal year is November - October
EPS (Basic),-3.884,-42.576,-159.106,-120.337,-22.775,-8.537,Upgrade,Financials in USD,Fiscal year is November - October
EPS (Diluted),-3.884,-42.576,-159.106,-120.337,-22.775,-8.537,Upgrade,Financials in USD,Fiscal year is November - October
Free Cash Flow,"-4,534,682","-6,301,472","-3,730,057","-2,868,179","-274,452","-73,006",Upgrade,Financials in USD,Fiscal year is November - October
Free Cash Flow Per Share,-2.087,-31.121,-86.075,-92.788,-15.138,-5.920,Upgrade,Financials in USD,Fiscal year is November - October
EBITDA,"-5,856,612","-6,281,305","-6,229,029","-3,673,645","-233,220",-,Upgrade,Financials in USD,Fiscal year is November - October
D&A For EBITDA,"13,612","22,129","22,402","12,572","179,689",-,Upgrade,Financials in USD,Fiscal year is November - October
EBIT,"-5,870,224","-6,303,434","-6,251,431","-3,686,217","-412,909","-86,005",Upgrade,Financials in USD,Fiscal year is November - October
