Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,-,-,-,-,-,-,"55,180",-,-,"95,102","37,538","36,341","15,971","81,617",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-,-,-,46.998%,-,-,16.522%,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"275,408","287,251","2,471,142","2,232,392","250,462","244,393","2,756,300","2,139,632","1,964,784","2,582,224","1,556,440","1,472,473","2,476,739","1,793,508","1,421,509","975,612","427,465","438,868",-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"-275,408","-287,251","-2,471,142","-2,232,392","-250,462","-244,393","-2,701,120","-2,139,632","-1,964,784","-2,487,122","-1,518,902","-1,436,132","-2,460,768","-1,711,891","-1,421,509","-975,612","-427,465","-438,868",-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,837,242","3,745,193","1,908,611","2,176,042","2,517,523","3,743,171","2,528,664","2,431,782","2,786,200","2,689,263","1,777,043","1,790,841","2,186,531","1,810,228","1,050,675","649,162","398,320","99,970","101,674","221,633",Financials in USD,Fiscal year is January - December
Research & Development,"2,346,314","4,150,380",-,-,"2,117,020","3,743,550",-,-,-,-,-,-,-,-,-,-,-,-,"417,259","482,179",Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,-,-,-,-,-,-,-,-,-,"-7,468","-6,867","-11,374","-7,556","-5,269","-9,139","-6,696","-6,373","-6,673","-8,927",Financials in USD,Fiscal year is January - December
Operating Expenses,"4,183,556","7,895,573","1,908,611","2,176,042","4,634,543","7,486,721","2,528,664","2,431,782","2,786,200","2,689,263","1,769,575","1,783,974","2,175,157","1,802,672","1,045,406","640,023","391,624","93,597","512,260","694,885",Financials in USD,Fiscal year is January - December
Operating Income,"-4,458,964","-8,182,824","-4,379,753","-4,408,434","-4,885,005","-7,731,114","-5,229,784","-4,571,414","-4,750,984","-5,176,385","-3,288,477","-3,220,106","-4,635,925","-3,514,563","-2,466,915","-1,615,635","-819,089","-532,465","-512,260","-694,885",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,"-1,651",-,-,-,-,-,-,"-1,517","-1,747","-1,008",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"105,405","84,531","117,356","107,474","106,000","129,929","152,035","173,992","153,332","59,899",-,"11,604","4,918","5,901","1,408","6,895",7,-,-,-,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-121,139","-43,576","268,077","-408,507","82,198","-60,195","-42,842","-198,939","43,491","40,212","19,162","-19,675","-27,412","-44,371","18,539","-48,309","25,596","-4,857","-68,914","-11,906",Financials in USD,Fiscal year is January - December
Pretax Income,"-4,474,698","-8,141,869","-3,994,320","-4,709,467","-4,696,807","-7,661,380","-5,120,591","-4,596,361","-4,554,161","-5,076,274","-3,270,966","-3,228,177","-4,658,419","-3,553,033","-2,446,968","-1,657,049","-793,486","-538,839","-582,921","-707,799",Financials in USD,Fiscal year is January - December
Income Tax Expense,"10,994","1,209","19,874","14,502","21,456","26,589","16,728","78,105","4,048","9,146","1,677","-8,244","5,114","3,660","3,479","-1,368",885,"4,523","1,347","1,777",Financials in USD,Fiscal year is January - December
Net Income,"-4,485,692","-8,143,078","-4,014,194","-4,723,969","-4,718,263","-7,687,969","-5,137,319","-4,674,466","-4,558,209","-5,085,420","-3,272,643","-3,219,933","-4,663,533","-3,556,693","-2,450,447","-1,655,681","-794,371","-543,362","-584,268","-709,576",Financials in USD,Fiscal year is January - December
