Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+7 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+7 Quarters,,
"Selling, General & Admin","1,383,913","1,411,573","1,114,442","1,107,649","1,123,268","1,179,833","1,358,752","2,152,539","1,211,102","1,343,002","1,260,409","896,331","1,235,385","1,146,341","1,402,783","1,087,543","968,790","981,486","1,355,054","1,086,068",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"4,244,993","1,116,562","2,430,412","4,271,722","3,410,572","2,845,553","3,567,759","2,982,000","2,207,913","2,221,339","1,888,803","2,355,206","2,578,016","2,664,979","2,206,874","1,914,098","1,042,274","1,492,285","613,077","1,437,663",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"5,628,906","2,528,135","3,544,854","5,379,371","4,533,840","4,025,386","4,926,511","5,134,539","3,419,015","3,564,341","3,149,212","3,251,537","3,813,401","3,811,320","3,609,657","3,001,641","2,011,064","2,473,771","1,968,131","2,523,731",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-5,628,906","-2,528,135","-3,544,854","-5,379,371","-4,533,840","-4,025,386","-4,926,511","-5,134,539","-3,419,015","-3,564,341","-3,149,212","-3,251,537","-3,813,401","-3,811,320","-3,609,657","-3,001,641","-2,011,064","-2,473,771","-1,968,131","-2,523,731",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-2,258","-4,463","-6,625","-2,881","-1,838","-3,650","-5,436","-2,312",-538,"-1,611","-2,566","-2,238",-947,"-2,353","-3,747","-3,264",-,-,-,"-3,617",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"25,230","1,845","6,731","7,002","12,883","7,802",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-5,605,934","-2,530,753","-3,544,748","-5,375,250","-4,522,795","-4,021,234","-4,931,947","-5,136,851","-3,419,553","-3,565,952","-3,151,778","-3,253,775","-3,814,348","-3,813,673","-3,613,404","-3,004,905","-2,011,064","-2,473,771","-1,968,131","-2,527,348",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-5,605,934","-2,530,753","-3,544,748","-5,375,250","-4,522,795","-4,021,234","-4,931,947","-5,136,851","-3,419,553","-3,565,952","-3,151,778","-3,253,775","-3,814,348","-3,813,673","-3,613,404","-3,004,905","-2,011,064","-2,473,771","-1,968,131","-2,527,348",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-5,605,934","-2,530,753","-3,544,748","-5,375,250","-4,522,795","-4,021,234","-4,931,947","-5,136,851","-3,419,553","-3,565,952","-3,151,778","-3,253,775","-3,814,348","-3,813,673","-3,613,404","-3,004,905","-2,011,064","-2,473,771","-1,968,131","-2,527,348",Upgrade,Financials in USD,Fiscal year is January - December
