Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,"1,049,000","536,000","566,000","7,211,000","3,887,000","3,148,000","6,803,000","3,095,000","3,363,000","4,056,000","3,021,000","2,854,000","2,412,000","2,848,000","2,027,000","795,000","290,000",-,-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-73.013%,-82.973%,-91.680%,132.989%,15.581%,-22.387%,125.190%,8.444%,39.428%,42.416%,49.038%,258.994%,731.724%,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"26,262,000","26,877,000","24,857,000","22,406,000","22,741,000","21,227,000","21,779,000","15,604,000","15,031,000","14,494,000","14,690,000","12,608,000","14,206,000","10,801,000","7,339,000","5,964,000","5,813,000","4,502,000","4,298,000",Financials in USD,Fiscal year is January - December
Gross Profit,"-25,213,000","-26,341,000","-24,291,000","-15,195,000","-18,854,000","-18,079,000","-14,976,000","-12,509,000","-11,668,000","-10,438,000","-11,669,000","-9,754,000","-11,794,000","-7,953,000","-5,312,000","-5,169,000","-5,523,000","-4,502,000","-4,298,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","7,409,000","7,773,000","7,082,000","6,162,000","5,894,000","6,531,000","7,767,000","6,140,000","4,910,000","4,808,000","4,494,000","4,448,000","4,048,000","2,726,000","2,606,000","2,641,000","1,648,000","1,114,000","1,338,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"7,409,000","7,773,000","7,082,000","6,162,000","5,894,000","6,531,000","7,767,000","6,140,000","4,910,000","4,808,000","4,494,000","4,448,000","4,048,000","2,726,000","2,606,000","2,641,000","1,648,000","1,114,000","1,338,000",Financials in USD,Fiscal year is January - December
Operating Income,"-32,622,000","-34,114,000","-31,373,000","-21,357,000","-24,748,000","-24,610,000","-22,743,000","-18,649,000","-16,578,000","-15,246,000","-16,163,000","-14,202,000","-15,842,000","-10,679,000","-7,918,000","-7,810,000","-7,171,000","-5,616,000","-5,636,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-958,000","-952,000","-959,000","-852,000","-982,000","-969,000","-956,000","-975,000","-201,000",-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"3,693,000","3,405,000","2,190,000","2,596,000","2,733,000","1,534,000","1,136,000","901,000","534,000","149,000","7,000","2,000","3,000","5,000",-,"3,000","1,000","3,000","99,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,-,-,-,-,"6,000",-,-,-,-,Financials in USD,Fiscal year is January - December
