Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
"Selling, General & Admin","27,613,000","23,589,000","20,921,000","13,671,000","1,656,000","103,000",Financials in USD,Fiscal year is January - December
Research & Development,"123,711,000","102,546,000","62,713,000","27,996,000","3,671,000","1,092,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"151,324,000","126,135,000","83,634,000","41,667,000","5,327,000","1,195,000",Financials in USD,Fiscal year is January - December
Operating Income,"-151,324,000","-126,135,000","-83,634,000","-41,667,000","-5,327,000","-1,195,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,"-3,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"7,317,000","8,881,000","1,950,000","616,000","3,000",-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-144,007,000","-117,254,000","-81,684,000","-41,051,000","-5,324,000","-1,198,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-1,000","-1,000","-144,000","-516,000",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-144,008,000","-117,255,000","-81,828,000","-41,567,000","-5,324,000","-1,198,000",Financials in USD,Fiscal year is January - December
Net Income,"-144,008,000","-117,255,000","-81,828,000","-41,567,000","-5,324,000","-1,198,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-144,008,000","-117,255,000","-81,828,000","-41,567,000","-5,324,000","-1,198,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"35,982,197","34,106,923","29,271,777","23,858,552","10,532,942","6,051,712",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"35,982,197","34,106,923","29,271,777","23,858,552","10,532,942","6,051,712",Financials in USD,Fiscal year is January - December
Shares Change (YoY),10.630%,16.518%,22.689%,126.514%,74.049%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-4.002,-3.438,-2.795,-1.742,-0.505,-0.198,Financials in USD,Fiscal year is January - December
EPS (Diluted),-4.002,-3.438,-2.795,-1.742,-0.505,-0.198,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-113,015,000","-99,962,000","-63,447,000","-38,609,000","-4,510,000","-1,279,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-3.141,-2.931,-2.168,-1.618,-0.428,-0.211,Financials in USD,Fiscal year is January - December
EBITDA,"-149,625,000","-124,620,000","-82,943,000","-41,418,000","-5,319,000",-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,699,000","1,515,000","691,000","249,000","8,000",-,Financials in USD,Fiscal year is January - December
EBIT,"-151,324,000","-126,135,000","-83,634,000","-41,667,000","-5,327,000","-1,195,000",Financials in USD,Fiscal year is January - December
