Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020",,
Revenue,"2,456,219","2,460,049","2,684,735","2,721,286","1,930,228",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-3.362%,-8.369%,-1.343%,40.983%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"329,294","303,345","297,060","467,656","481,089",Financials in USD,Fiscal year is January - December
Gross Profit,"2,126,925","2,156,704","2,387,675","2,253,630","1,449,139",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","9,310,272","8,651,884","5,534,303","5,020,250","5,403,079",Financials in USD,Fiscal year is January - December
Research & Development,"130,083","169,315","225,610","203,414","166,798",Financials in USD,Fiscal year is January - December
Operating Expenses,"9,440,355","8,821,199","5,759,913","5,223,664","5,569,877",Financials in USD,Fiscal year is January - December
Operating Income,"-7,313,430","-6,664,495","-3,372,238","-2,970,034","-4,120,738",Financials in USD,Fiscal year is January - December
Interest Expense,"-322,971","-5,358,038","-417,601","-36,928","-75,711",Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,37,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-749,503","1,045,411","-990,222","-21,070",263,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-8,385,904","-10,977,122","-4,780,061","-3,028,032","-4,196,149",Financials in USD,Fiscal year is January - December
Other Unusual Items,10,"-3,649,561",-,-,"470,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-8,385,894","-14,626,683","-4,780,061","-3,028,032","-3,726,149",Financials in USD,Fiscal year is January - December
Net Income,"-8,385,894","-14,626,683","-4,780,061","-3,028,032","-3,726,149",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"44,820",-,"764,893","748,832",-,Financials in USD,Fiscal year is January - December
Net Income to Common,"-8,430,714","-14,626,683","-5,544,954","-3,776,864","-3,726,149",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"6,438,930","3,252,328","2,003,322","1,968,004","1,968,004",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"6,438,930","3,252,328","2,003,322","1,968,004","1,968,004",Financials in USD,Fiscal year is January - December
Shares Change (YoY),164.428%,62.347%,1.795%,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.309,-4.497,-2.768,-1.919,-1.893,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.309,-4.497,-2.768,-1.919,-1.893,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-7,013,472","-6,724,759","-2,299,394","-2,235,716","-4,167,048",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.089,-2.068,-1.148,-1.136,-2.117,Financials in USD,Fiscal year is January - December
Gross Margin,86.593%,87.669%,88.935%,82.815%,75.076%,Financials in USD,Fiscal year is January - December
Operating Margin,-297.752%,-270.909%,-125.608%,-109.141%,-213.485%,Financials in USD,Fiscal year is January - December
Profit Margin,-343.240%,-594.569%,-206.536%,-138.790%,-193.042%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-285.539%,-273.359%,-85.647%,-82.157%,-215.884%,Financials in USD,Fiscal year is January - December
EBITDA,"-7,272,015","-6,623,770","-3,335,105","-2,933,326","-4,084,951",Financials in USD,Fiscal year is January - December
EBITDA Margin,-296.065%,-269.253%,-124.225%,-107.792%,-211.630%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"41,415","40,725","37,133","36,708","35,787",Financials in USD,Fiscal year is January - December
EBIT,"-7,313,430","-6,664,495","-3,372,238","-2,970,034","-4,120,738",Financials in USD,Fiscal year is January - December
EBIT Margin,-297.752%,-270.909%,-125.608%,-109.141%,-213.484%,Financials in USD,Fiscal year is January - December
Advertising Expenses,-,"192,400","14,900","34,316","89,709",Financials in USD,Fiscal year is January - December
