Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+7 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+7 Quarters,,
Revenue,"122,000","144,000","190,000","-667,000",-,-,"10,660,000",-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-98.218%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"14,828,000","10,004,000","12,217,000","53,905,000","10,785,000","11,883,000","15,935,000","55,634,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-14,706,000","-9,860,000","-12,027,000","-54,572,000","-10,785,000","-11,883,000","-5,275,000","-55,634,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","15,037,000","10,580,000","9,066,000","5,038,000","4,710,000","5,293,000","5,583,000","6,880,000","6,240,000","6,125,000","8,071,000","11,390,000","10,833,000","11,073,000","9,751,000","9,934,000","10,020,000","7,522,000","5,196,000","3,901,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,"-38,602,000",-,-,-,"-43,542,000","13,116,000","15,396,000","15,030,000","15,724,000","17,597,000","14,802,000","14,448,000","13,814,000","19,945,000","20,758,000","7,271,000","13,768,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"15,037,000","10,580,000","9,066,000","-33,564,000","4,710,000","5,293,000","5,583,000","-36,662,000","19,356,000","21,521,000","23,101,000","27,114,000","28,430,000","25,875,000","24,199,000","23,748,000","29,965,000","28,280,000","12,467,000","17,669,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-29,743,000","-20,440,000","-21,093,000","-21,008,000","-15,495,000","-17,176,000","-10,858,000","-18,972,000","-19,356,000","-21,521,000","-23,101,000","-27,114,000","-28,430,000","-25,875,000","-24,199,000","-23,748,000","-29,965,000","-28,280,000","-12,467,000","-17,669,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,357,000","628,000","586,000","352,000","392,000","408,000","221,000","271,000","227,000","111,000","76,000","234,000","76,000","169,000","76,000","124,000","131,000","183,000","122,000","60,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-25,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-40,184,000","22,744,000","-63,431,000","-16,962,000","-27,277,000","-12,804,000","500,000","4,255,000","36,000","-4,347,000","4,000",-,-,"-22,000",-,-,-,-,"1,000",-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-68,570,000","2,932,000","-83,938,000","-37,618,000","-42,380,000","-29,572,000","-10,137,000","-14,446,000","-19,093,000","-25,757,000","-23,021,000","-26,880,000","-28,354,000","-25,728,000","-24,123,000","-23,624,000","-29,834,000","-28,097,000","-12,369,000","-17,609,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-21,000","-34,000",-,"-61,000","10,000","-5,000",-,"17,000","-8,000","-100,000","-100,000","-279,000","-64,000","-100,000","-56,000","-65,000","-10,000","38,000",-,"-24,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-68,591,000","2,898,000","-83,938,000","-37,679,000","-42,370,000","-29,577,000","-10,137,000","-14,429,000","-19,101,000","-25,857,000","-23,121,000","-27,159,000","-28,418,000","-25,828,000","-24,179,000","-23,689,000","-29,844,000","-28,059,000","-12,369,000","-17,633,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-68,591,000","2,898,000","-83,938,000","-37,679,000","-42,370,000","-29,577,000","-10,137,000","-14,429,000","-19,101,000","-25,857,000","-23,121,000","-27,159,000","-28,418,000","-25,828,000","-24,179,000","-23,689,000","-29,844,000","-28,059,000","-12,369,000","-17,633,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-68,591,000","2,898,000","-83,938,000","-37,679,000","-42,370,000","-29,577,000","-10,137,000","-14,429,000","-19,101,000","-25,857,000","-23,121,000","-27,159,000","-28,418,000","-25,828,000","-24,179,000","-23,689,000","-29,844,000","-28,059,000","-12,369,000","-17,633,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"144,345,781","143,934,239","125,318,993","110,531,274","90,669,969","79,041,695","56,357,983","49,945,566","48,000,183","26,901,069","26,215,514","25,974,954","26,177,079","26,082,525","24,135,735","22,494,683","22,426,203","22,062,030","20,840,658","9,068,147",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"144,345,781","152,392,748","125,318,993","110,531,274","90,669,969","79,041,695","56,357,983","49,945,566","48,000,183","26,901,069","26,215,514","25,974,954","26,177,079","26,082,525","24,135,735","22,494,683","22,426,203","22,062,030","20,840,658","9,068,147",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),59.199%,92.800%,122.362%,121.303%,88.895%,193.824%,114.980%,92.284%,83.367%,3.138%,8.617%,15.472%,16.725%,18.224%,15.811%,148.063%,31.179%,58.197%,277.991%,64.506%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.475,0.020,-0.670,-0.341,-0.467,-0.374,-0.180,-0.289,-0.398,-0.961,-0.882,-1.046,-1.086,-0.990,-1.002,-1.053,-1.331,-1.272,-0.594,-1.944,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.475,-0.130,-0.670,-0.341,-0.467,-0.374,-0.180,-0.289,-0.398,-0.961,-0.882,-1.046,-1.086,-0.990,-1.002,-1.060,-1.331,-1.272,-0.594,-1.944,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-23,330,000","-22,595,000","-18,911,000","-17,005,000","-14,726,000","-16,452,000","-6,990,000","-15,893,000","-19,390,000","-18,400,000","-24,410,000","-26,942,000","-15,665,000","-25,908,000","-22,213,000","-22,750,000","-20,693,000","-15,911,000","-18,855,000","-12,407,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.162,-0.148,-0.151,-0.154,-0.162,-0.208,-0.124,-0.318,-0.404,-0.684,-0.931,-1.037,-0.598,-0.993,-0.920,-1.011,-0.923,-0.721,-0.905,-1.368,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,-,-,-49.484%,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-24379.508%,-14194.444%,-11101.579%,-,-,-,-101.857%,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-56222.131%,2012.500%,-44177.895%,-,-,-,-95.094%,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-19122.951%,-15690.972%,-9953.158%,-,-,-,-65.572%,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-29,743,000","-20,440,000","-21,092,000","-21,008,000","-15,495,000","-17,175,500","-10,857,500","-18,971,000","-19,356,000","-21,520,500",-,-,"-28,429,667",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-,-,-101.853%,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,-,-,"1,000",-,-,500,500,"1,000",-,500,-,-,333,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
