Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
"Selling, General & Admin","16,102,000","10,624,000","8,302,000","7,633,000","4,221,000","1,380,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"19,530,000","21,862,000","5,594,000","13,853,000","10,004,000","2,684,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"35,632,000","32,486,000","13,896,000","21,486,000","14,225,000","4,064,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-35,632,000","-32,486,000","-13,896,000","-21,486,000","-14,225,000","-4,064,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,124,000","1,124,000","162,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"313,000","-114,000","-145,000","-222,000","-205,000","-5,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-34,195,000","-31,476,000","-13,879,000","-21,708,000","-14,430,000","-4,069,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-34,195,000","-31,476,000","-13,879,000","-21,708,000","-46,487,000","-4,069,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-34,195,000","-31,476,000","-13,879,000","-21,708,000","-46,487,000","-4,069,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-34,195,000","-31,476,000","-13,879,000","-21,708,000","-46,487,000","-4,069,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"1,845,883","1,262,842","695,341","558,713","294,357","84,331",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"1,845,883","1,262,842","695,341","558,713","294,357","84,331",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),82.506%,81.615%,24.454%,89.808%,249.050%,-76.467%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-18.525,-24.925,-19.960,-38.854,-157.927,-48.250,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-18.525,-24.925,-19.960,-38.854,-157.927,-48.250,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-29,728,000","-28,794,000","-8,185,000","-16,677,000","-18,423,000","-2,933,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-16.105,-22.801,-11.771,-29.849,-62.587,-34.780,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-35,597,000","-32,477,000","-13,860,000","-21,450,000","-14,171,000","-4,053,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"35,000","9,000","36,000","36,000","54,000","11,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-35,632,000","-32,486,000","-13,896,000","-21,486,000","-14,225,000","-4,064,000",Upgrade,Financials in USD,Fiscal year is January - December
