Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2016,Currency,Fiscal_Year_period
Period Ending,"Oct '24 Oct 31, 2024","Apr '24 Apr 30, 2024","Apr '23 Apr 30, 2023","Apr '22 Apr 30, 2022","Apr '21 Apr 30, 2021","Apr '20 Apr 30, 2020",2019 - 2016,,
"Selling, General & Admin","3,220,620","3,482,538","7,424,609","7,118,221","3,641,172","3,354,743",Upgrade,Financials in USD,Fiscal year is May - April
Research & Development,"2,609,846","6,455,107","7,445,857","5,201,314","1,310,716","1,069,418",Upgrade,Financials in USD,Fiscal year is May - April
Operating Expenses,"5,830,466","9,937,645","14,870,466","12,319,535","4,951,888","4,424,161",Upgrade,Financials in USD,Fiscal year is May - April
Operating Income,"-5,830,466","-9,937,645","-14,870,466","-12,319,535","-4,951,888","-4,424,161",Upgrade,Financials in USD,Fiscal year is May - April
Interest Expense,"-19,455","-10,101","-7,701","-46,524","-158,803",-,Upgrade,Financials in USD,Fiscal year is May - April
Interest & Investment Income,-,-,-,-,"1,706","13,925",Upgrade,Financials in USD,Fiscal year is May - April
EBT Excluding Unusual Items,"-5,849,921","-9,947,746","-14,878,167","-12,366,059","-5,108,985","-4,410,236",Upgrade,Financials in USD,Fiscal year is May - April
Other Unusual Items,-,-,-,"4,000","62,418",-,Upgrade,Financials in USD,Fiscal year is May - April
Pretax Income,"-5,849,921","-9,947,746","-14,878,167","-12,362,059","-5,046,567","-4,410,236",Upgrade,Financials in USD,Fiscal year is May - April
Net Income,"-5,849,921","-9,947,746","-14,878,167","-12,362,059","-5,046,567","-4,410,236",Upgrade,Financials in USD,Fiscal year is May - April
Net Income to Common,"-5,903,572","-9,947,746","-14,878,167","-12,362,059","-5,046,567","-4,410,236",Upgrade,Financials in USD,Fiscal year is May - April
Shares Outstanding (Basic),"1,425,784","676,565","650,126","593,969","484,334","475,024",Upgrade,Financials in USD,Fiscal year is May - April
Shares Outstanding (Diluted),"1,425,784","676,565","650,126","593,969","484,334","475,024",Upgrade,Financials in USD,Fiscal year is May - April
Shares Change (YoY),118.231%,4.067%,9.455%,22.636%,1.960%,21.091%,Upgrade,Financials in USD,Fiscal year is May - April
EPS (Basic),-4.141,-14.703,-22.885,-20.813,-10.420,-9.284,Upgrade,Financials in USD,Fiscal year is May - April
EPS (Diluted),-4.141,-14.703,-22.885,-20.813,-10.420,-9.284,Upgrade,Financials in USD,Fiscal year is May - April
Free Cash Flow,"-8,004,212","-8,417,236","-8,923,152","-6,720,448","-2,712,027","-2,345,790",Upgrade,Financials in USD,Fiscal year is May - April
Free Cash Flow Per Share,-5.614,-12.441,-13.725,-11.314,-5.599,-4.938,Upgrade,Financials in USD,Fiscal year is May - April
EBITDA,"-5,779,726","-9,886,905","-14,847,400","-12,315,986",-,-,Upgrade,Financials in USD,Fiscal year is May - April
D&A For EBITDA,"50,740","50,740","23,066","3,549",-,-,Upgrade,Financials in USD,Fiscal year is May - April
EBIT,"-5,830,466","-9,937,645","-14,870,466","-12,319,535","-4,951,888","-4,424,161",Upgrade,Financials in USD,Fiscal year is May - April
