Fiscal Quarter,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
"Selling, General & Admin","2,074,540","2,678,931","1,974,264","2,253,802","1,942,818","2,619,611","2,520,330","4,404,564","2,007,062","3,361,751","2,114,348","1,893,999","2,395,162","377,214","2,154,590","2,067,920","228,497","372,168","288,711","306,589",Upgrade,Financials in USD,Fiscal year is July - June
Research & Development,"1,990,198","2,054,025","5,700,447","6,470,262","8,875,659","8,299,838","11,196,835","7,032,898","6,769,932","5,872,755","3,577,142","4,713,667","3,094,778","131,167,949","789,577","938,101","100,914","147,457","353,198","346,514",Upgrade,Financials in USD,Fiscal year is July - June
Operating Expenses,"4,122,082","4,790,300","7,732,055","8,781,408","10,875,821","10,976,793","13,774,509","11,494,806","8,834,338","9,291,851","5,748,834","6,665,010","5,547,284","131,602,508","3,001,511","3,063,365","386,755","576,970","699,253","710,447",Upgrade,Financials in USD,Fiscal year is July - June
Operating Income,"-4,122,082","-4,790,300","-7,732,055","-8,781,408","-10,875,821","-10,976,793","-13,774,509","-11,494,806","-8,834,338","-9,291,851","-5,748,834","-6,665,010","-5,547,284","-131,602,508","-3,001,511","-3,063,365","-386,755","-576,970","-699,253","-710,447",Upgrade,Financials in USD,Fiscal year is July - June
Interest Expense,"-256,024","-439,943","-628,711","-820,600","-1,004,668","-1,107,519","-1,082,762","-1,053,455","-1,056,416","-926,979","-918,633","-316,263","-1,114",-,-,-143,"-559,312","-1,240,195","-33,699","-20,920",Upgrade,Financials in USD,Fiscal year is July - June
Interest & Investment Income,"223,557","272,517","183,933","218,029","462,223","255,209","182,201","83,269","41,585","11,459","13,273","11,702","7,645","7,563","8,643","5,701",64,1,-,213,Upgrade,Financials in USD,Fiscal year is July - June
Other Non Operating Income (Expenses),"2,517","16,932","109,003","982,534","707,802","2,717,164","-366,093","-3,222,010","-566,542","2,118,614","-386,450","1,555,254",-,-,-,-,"8,279,919","-17,337,013","366,550","7,396,192",Upgrade,Financials in USD,Fiscal year is July - June
EBT Excluding Unusual Items,"-4,152,032","-4,940,794","-8,067,830","-8,401,445","-10,710,464","-9,111,939","-15,041,163","-15,687,002","-10,415,711","-8,088,757","-7,040,644","-5,414,317","-5,540,753","-131,594,945","-2,992,868","-3,057,807","7,333,916","-19,154,177","-366,402","6,665,038",Upgrade,Financials in USD,Fiscal year is July - June
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,"62,500",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
Pretax Income,"-4,152,032","-4,940,794","-8,067,830","-8,401,445","-10,710,464","-9,111,939","-15,041,163","-15,687,002","-10,415,711","-8,088,757","-7,040,644","-5,414,317","-5,540,753","-131,532,445","-2,992,868","-3,057,807","7,333,916","-19,154,177","-366,402","6,665,038",Upgrade,Financials in USD,Fiscal year is July - June
Net Income,"-4,152,032","-4,940,794","-8,067,830","-8,401,445","-10,710,464","-9,111,939","-15,041,163","-15,687,002","-10,415,711","-8,088,757","-7,040,644","-5,414,317","-5,540,753","-131,532,445","-2,992,868","-3,057,807","7,333,916","-19,154,177","-366,402","6,665,038",Upgrade,Financials in USD,Fiscal year is July - June
Preferred Dividends & Other Adjustments,"325,041",-,"886,423",-,-,-,-,-,-,-,-,-,-,-,-,-,"53,598,320",-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
Net Income to Common,"-4,477,073","-4,940,794","-8,954,253","-8,401,445","-10,710,464","-9,111,939","-15,041,163","-15,687,002","-10,415,711","-8,088,757","-7,040,644","-5,414,317","-5,540,753","-131,532,445","-2,992,868","-3,057,807","-46,264,404","-19,154,177","-366,402","6,665,038",Upgrade,Financials in USD,Fiscal year is July - June
Shares Outstanding (Basic),"6,398,360","6,113,159","4,480,108","3,817,077","3,672,490","3,628,182","3,532,558","3,116,883","2,721,245","2,498,410","2,498,408","2,496,237","2,371,993","1,580,501","1,391,993","1,391,616","597,162","519,860","519,900","518,372",Upgrade,Financials in USD,Fiscal year is July - June
Shares Outstanding (Diluted),"6,398,360","6,113,159","4,480,108","3,817,077","3,672,490","3,628,182","3,532,558","3,116,883","2,721,245","2,498,410","2,498,408","2,496,237","2,371,993","1,580,501","1,391,993","1,391,616","597,162","519,860","519,900","518,372",Upgrade,Financials in USD,Fiscal year is July - June
