Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"342,958,000","305,208,000","245,358,000","188,461,000","164,413,000","136,467,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),22.130%,24.393%,30.190%,14.627%,20.478%,1287.565%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"78,034,000","65,573,000","55,126,000","44,152,000","39,872,000","24,212,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"264,924,000","239,635,000","190,232,000","144,309,000","124,541,000","112,255,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","408,131,000","344,501,000","265,784,000","233,673,000","203,613,000","210,796,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"555,669,000","571,011,000","397,518,000","272,744,000","181,157,000","131,711,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"968,852,000","920,564,000","668,355,000","511,469,000","389,773,000","347,500,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-703,928,000","-680,929,000","-478,123,000","-367,160,000","-265,232,000","-235,245,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-83,283,000","-81,374,000","-27,972,000","-40,473,000","-29,564,000","-27,705,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"45,903,000","42,132,000","11,081,000","174,000","1,703,000","9,921,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"2,644,000","1,856,000","-5,939,000","-3,330,000","405,000","-531,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-738,664,000","-718,315,000","-500,953,000","-410,789,000","-292,688,000","-253,560,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,"-600,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-122,182,000","-28,697,000","20,802,000","-25,023,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-860,846,000","-747,012,000","-480,151,000","-436,412,000","-292,688,000","-253,560,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"3,439,000","2,555,000","1,383,000","-1,758,000","1,402,000","777,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-864,285,000","-749,567,000","-481,534,000","-434,654,000","-294,090,000","-254,337,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-864,285,000","-749,567,000","-481,534,000","-434,654,000","-294,090,000","-254,337,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"155,472,750","140,433,000","123,035,000","112,111,000","97,605,000","84,560,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"155,472,750","140,433,000","123,035,000","112,111,000","97,605,000","84,560,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),13.137%,14.141%,9.744%,14.862%,15.427%,9.977%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-5.559,-5.338,-3.914,-3.877,-3.013,-3.008,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-5.562,-5.340,-3.914,-3.880,-3.013,-3.010,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-636,026,000","-549,535,000","-410,317,000","-370,591,000","-225,588,000","-292,917,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-4.091,-3.913,-3.335,-3.306,-2.311,-3.464,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,77.247%,78.515%,77.532%,76.572%,75.749%,82.258%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-205.252%,-223.103%,-194.867%,-194.820%,-161.321%,-172.382%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-252.009%,-245.592%,-196.258%,-230.633%,-178.873%,-186.373%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-185.453%,-180.053%,-167.232%,-196.641%,-137.208%,-214.643%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-695,056,000","-672,488,000","-470,683,000","-351,900,000","-250,004,000","-224,704,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-202.665%,-220.338%,-191.835%,-186.723%,-152.059%,-164.658%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"8,872,000","8,441,000","7,440,000","15,260,000","15,228,000","10,541,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-703,928,000","-680,929,000","-478,123,000","-367,160,000","-265,232,000","-235,245,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-205.252%,-223.103%,-194.867%,-194.820%,-161.321%,-172.382%,Upgrade,Financials in USD,Fiscal year is January - December
