Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"-7,676,000","19,692,000","12,538,000","29,056,000","49,214,000","22,106,000","12,929,000","1,239,000","285,000","375,000","1,750,000","1,765,000","36,423,000","2,776,000",-,"9,439,000","3,450,000","3,027,000","4,161,000","2,400,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-10.920%,-3.024%,2245.117%,17168.070%,5794.933%,638.800%,-29.802%,-99.218%,-86.491%,-,-81.301%,955.739%,-8.292%,-,293.292%,17.788%,-60.317%,37.508%,-33.702%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"41,197,000","40,393,000","33,447,000","34,074,000","31,642,000","33,314,000","30,979,000","31,078,000","27,575,000","29,733,000","27,470,000","25,761,000","31,086,000","31,635,000","33,393,000","30,033,000","28,275,000","31,478,000","41,158,000","49,128,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-48,873,000","-20,701,000","-20,909,000","-5,018,000","17,572,000","-11,208,000","-18,050,000","-29,839,000","-27,290,000","-29,358,000","-25,720,000","-23,996,000","5,337,000","-28,859,000","-33,393,000","-20,594,000","-24,825,000","-28,451,000","-36,997,000","-46,728,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","15,042,000","14,296,000","13,549,000","13,664,000","13,128,000","12,265,000","12,235,000","13,724,000","11,609,000","12,806,000","12,374,000","12,114,000","12,944,000","10,969,000","10,078,000","9,719,000","9,590,000","10,205,000","12,996,000","13,805,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"15,042,000","14,296,000","13,549,000","13,664,000","13,128,000","12,265,000","12,235,000","13,724,000","11,609,000","12,806,000","12,374,000","12,114,000","12,944,000","10,969,000","10,078,000","9,719,000","9,590,000","10,205,000","12,996,000","13,805,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-63,915,000","-34,997,000","-34,458,000","-18,682,000","4,444,000","-23,473,000","-30,285,000","-43,563,000","-38,899,000","-42,164,000","-38,094,000","-36,110,000","-7,607,000","-39,828,000","-43,471,000","-30,313,000","-34,415,000","-38,656,000","-49,993,000","-60,533,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,798,000","2,092,000","2,535,000","1,844,000","1,960,000","2,251,000","1,873,000","825,000","596,000","124,000","26,000","5,000","6,000","8,000","11,000","24,000","23,000","133,000","388,000","740,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"337,000","-18,000","365,000","582,000","171,000","118,000","1,007,000","-290,000","-701,000","744,000","254,000","1,116,000","1,371,000","1,054,000","996,000","659,000","1,292,000","-2,005,000","2,112,000","3,023,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-61,780,000","-32,923,000","-31,558,000","-16,256,000","6,575,000","-21,104,000","-27,405,000","-43,028,000","-39,004,000","-41,296,000","-37,814,000","-34,989,000","-6,230,000","-38,766,000","-42,464,000","-29,630,000","-33,100,000","-40,528,000","-47,493,000","-56,770,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,"-677,000",-,-,"681,000",-,-,-,"-204,000",-,-,-,"-841,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-61,780,000","-32,923,000","-31,558,000","-16,256,000","7,252,000","-21,104,000","-27,405,000","-43,709,000","-39,004,000","-41,296,000","-37,814,000","-34,785,000","-6,230,000","-38,766,000","-42,464,000","-28,789,000","-33,100,000","-40,528,000","-47,493,000","-56,770,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,"257,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-61,780,000","-32,923,000","-31,558,000","-16,256,000","6,995,000","-21,104,000","-27,405,000","-43,709,000","-39,004,000","-41,296,000","-37,814,000","-34,785,000","-6,230,000","-38,766,000","-42,464,000","-28,789,000","-33,100,000","-40,528,000","-47,493,000","-56,770,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"132,563,467","129,527,003","129,271,678","109,627,549","106,025,063","105,462,414","102,056,712","93,993,638","93,900,484","66,479,293","60,516,616","57,190,742","50,709,877","49,973,185","49,101,606","48,777,001","38,364,224","35,212,291","34,461,505","34,303,975",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"132,563,467","129,527,003","129,271,678","109,627,549","106,975,231","105,462,414","102,056,712","93,993,638","93,900,484","66,479,293","60,516,616","57,190,742","50,709,877","49,973,185","49,101,606","48,777,001","38,364,224","35,212,291","34,461,505","34,303,975",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),23.920%,22.818%,26.667%,16.633%,13.924%,58.639%,68.642%,64.351%,85.172%,33.030%,23.248%,17.249%,32.180%,41.920%,42.482%,42.191%,11.910%,2.779%,5.719%,16.409%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.466,-0.254,-0.244,-0.148,0.066,-0.200,-0.269,-0.465,-0.415,-0.621,-0.625,-0.608,-0.123,-0.776,-0.865,-0.590,-0.863,-1.151,-1.378,-1.655,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.470,-0.254,-0.244,-0.151,0.066,-0.200,-0.269,-0.465,-0.420,-0.621,-0.625,-0.608,-0.123,-0.776,-0.865,-0.590,-0.863,-1.151,-1.378,-1.655,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-46,861,000","-27,520,000","-33,849,000","-33,595,000","-34,655,000","-37,329,000","85,033,000","-33,644,000","-26,103,000","-29,314,000","-40,081,000","-7,048,000","-28,282,000","-9,740,000","-44,483,000","-31,972,000","-20,237,000","-38,281,000","-26,830,000","-62,586,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.353,-0.212,-0.262,-0.306,-0.324,-0.354,0.833,-0.358,-0.278,-0.441,-0.662,-0.123,-0.558,-0.195,-0.906,-0.655,-0.527,-1.087,-0.779,-1.824,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-105.124%,-166.765%,-17.270%,35.705%,-50.701%,-139.609%,-,-,-,-,-,14.653%,-,-,-218.180%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-,-177.722%,-274.829%,-64.297%,9.030%,-106.184%,-234.241%,-3515.981%,-13648.772%,-11243.733%,-2176.800%,-2045.892%,-20.885%,-1434.726%,-,-321.146%,-997.536%,-1277.040%,-1201.466%,-2522.208%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-,-167.190%,-251.699%,-55.947%,14.213%,-95.467%,-211.965%,-3527.764%,-13685.614%,-11012.267%,-2160.800%,-1970.822%,-17.105%,-1396.470%,-,-305.001%,-959.420%,-1338.883%,-1141.384%,-2365.417%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-139.752%,-269.971%,-115.622%,-70.417%,-168.864%,657.692%,-2715.416%,-9158.947%,-7817.067%,-2290.343%,-399.320%,-77.649%,-350.865%,-,-338.722%,-586.580%,-1264.651%,-644.797%,-2607.750%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-62,967,000","-33,998,000","-33,416,000","-17,601,000","5,641,000","-22,184,000","-28,852,000","-42,051,000","-37,262,000","-40,469,000","-36,364,000","-34,331,000","-5,760,000","-37,919,000","-41,523,000","-28,296,000","-32,381,000","-36,632,000","-47,954,000","-58,529,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-172.649%,-266.518%,-60.576%,11.462%,-100.353%,-223.157%,-,-,-,-,-,-15.814%,-,-,-299.777%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"948,000","999,000","1,042,000","1,081,000","1,197,000","1,289,000","1,433,000","1,512,000","1,637,000","1,695,000","1,730,000","1,779,000","1,847,000","1,909,000","1,948,000","2,017,000","2,034,000","2,024,000","2,039,000","2,004,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-63,915,000","-34,997,000","-34,458,000","-18,682,000","4,444,000","-23,473,000","-30,285,000","-43,563,000","-38,899,000","-42,164,000","-38,094,000","-36,110,000","-7,607,000","-39,828,000","-43,471,000","-30,313,000","-34,415,000","-38,656,000","-49,993,000","-60,533,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-177.722%,-274.829%,-64.296%,9.030%,-106.184%,-234.241%,-,-,-,-,-,-20.885%,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
