Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Operating Revenue,"296,312,000","249,428,000","174,361,000","36,484,000","30,114,000","25,669,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue,"296,312,000","249,428,000","174,361,000","36,484,000","30,114,000","25,669,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),25.093%,43.053%,377.911%,21.153%,17.317%,8.519%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"208,750,000","164,582,000","103,010,000","100,248,000","74,809,000","99,991,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"87,562,000","84,846,000","71,351,000","-63,764,000","-44,695,000","-74,322,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","154,906,000","144,495,000","123,059,000","110,823,000","45,740,000","44,183,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"717,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,"897,000","897,000","-7,000","73,000","-1,606,000","-185,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"156,520,000","145,392,000","123,052,000","110,896,000","44,134,000","43,998,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-68,958,000","-60,546,000","-51,701,000","-174,660,000","-88,829,000","-118,320,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-13,115,000","-5,154,000","-5,409,000","-5,573,000","-3,109,000","-3,796,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"25,885,000","17,986,000","3,756,000","65,000","706,000","1,395,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-11,480,000","-13,176,000","14,157,000","289,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"13,911,000",-,-,-,"1,236,000","-5,468,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-53,757,000","-60,890,000","-39,197,000","-179,879,000","-89,996,000","-126,189,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,"-1,064,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"-1,686,000",-,"3,700,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-53,757,000","-60,890,000","-40,883,000","-179,879,000","-87,360,000","-126,189,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-6,711,000","-5,603,000","11,660,000","150,000","-13,267,000","-22,258,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-47,046,000","-55,287,000","-52,543,000","-180,029,000","-74,093,000","-103,931,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-47,046,000","-55,287,000","-52,543,000","-180,029,000","-74,093,000","-103,931,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"49,863,626","48,888,975","45,714,923","42,488,579","26,523,411","22,297,935",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"49,863,626","48,888,975","45,714,923","42,488,579","26,523,411","22,297,935",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),2.790%,6.943%,7.593%,60.193%,18.950%,3.428%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.943,-1.131,-1.149,-4.237,-2.793,-4.661,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.947,-1.131,-1.149,-4.237,-2.793,-4.661,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"19,873,000","-2,485,000","-51,412,000","-144,492,000","-64,324,000","-106,979,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.399,-0.051,-1.125,-3.401,-2.425,-4.798,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,29.551%,34.016%,40.921%,-174.773%,-148.419%,-289.540%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-23.272%,-24.274%,-29.652%,-478.730%,-294.976%,-460.945%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-15.877%,-22.166%,-30.135%,-493.446%,-246.042%,-404.889%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,6.707%,-0.996%,-29.486%,-396.042%,-213.602%,-416.763%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-64,888,000","-56,456,000","-46,366,000","-167,069,000","-82,383,000","-111,561,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-21.898%,-22.634%,-26.592%,-,-273.570%,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"4,070,000","4,090,000","5,335,000","7,591,000","6,446,000","6,759,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-68,958,000","-60,546,000","-51,701,000","-174,660,000","-88,829,000","-118,320,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-23.272%,-24.274%,-29.652%,-,-294.976%,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"296,312,000","249,428,000","174,361,000","36,484,000","30,114,000","25,669,000",Upgrade,Financials in USD,Fiscal year is January - December
