Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
"Selling, General & Admin","4,846,718","10,692,972","15,465,400","11,692,698","3,355,108","5,894,553",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"1,524,069","2,784,528","2,432,565","3,948,305","2,293,004","2,035,319",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,-,-,-,-,"-25,946",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"6,370,787","13,477,500","17,897,965","15,641,003","5,648,112","20,863,286",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-6,370,787","-13,477,500","-17,897,965","-15,641,003","-5,648,112","-20,863,286",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-51,474","-44,828","-28,175","-186,208","-1,086,974","-185,140",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,"1,508",-,-,"3,727",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"2,897,468","96,397","15,144,986","-5,437,733","-1,551,570","-3,657,369",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-3,524,793","-13,425,931","-2,779,646","-21,264,944","-8,286,656","-24,702,068",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,"-33,547,278",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,"-37,174","1,714",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"398,616","204,405",-,"917,092","-2,580,655","-703,188",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-3,126,177","-22,284,526","-39,669,008","-20,347,852","-10,904,485","-25,403,542",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-4,389","-2,349,414","-942,749","-23,204","-20,427","-9,496",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-3,121,788","-19,935,112","-38,726,259","-20,324,648","-10,884,058","-25,394,046",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,"1,122,702",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-3,121,788","-19,935,112","-38,726,259","-20,324,648","-12,006,760","-25,394,046",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"790,610","379,089","100,021","82,514","47,774","29,040",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"790,610","379,089","100,021","82,514","47,774","29,040",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),212.825%,279.009%,21.217%,72.717%,64.511%,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-3.949,-52.587,-387.181,-246.318,-251.324,-874.451,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-3.952,-52.587,-387.181,-246.318,-251.324,-874.451,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-2,689,920","-10,922,223","-12,127,585","-19,371,428","-3,871,961","-3,318,654",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-3.402,-28.812,-121.250,-234.765,-81.047,-114.279,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-6,286,719","-13,371,825","-17,788,961","-15,531,056","-5,522,779","-20,791,042",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"84,068","105,675","109,004","109,947","125,333","72,244",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-6,370,787","-13,477,500","-17,897,965","-15,641,003","-5,648,112","-20,863,286",Upgrade,Financials in USD,Fiscal year is January - December
