Fiscal Year,TTM,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '23 Sep 30, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Jan '20 Jan 1, 2020",,
Revenue,"414,096,000","409,920,000","409,742,000","331,467,000","324,792,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-4.803%,0.043%,23.615%,2.055%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"186,188,000","170,351,000","174,029,000","140,153,000","142,294,000",Financials in USD,Fiscal year is January - December
Gross Profit,"227,908,000","239,569,000","235,713,000","191,314,000","182,498,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","179,186,000","184,512,000","151,256,000","128,260,000","145,067,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"179,186,000","184,512,000","151,256,000","128,260,000","145,067,000",Financials in USD,Fiscal year is January - December
Operating Income,"48,722,000","55,057,000","84,457,000","63,054,000","37,431,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-38,068,000","-25,762,000","-85,320,000","-52,632,000","-41,543,000",Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"13,078,000","-15,984,000","-4,026,000","-3,905,000","-1,827,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"3,468,000","-1,413,000","1,130,000","-5,668,000","-4,039,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"27,200,000","11,898,000","-3,759,000","849,000","-9,978,000",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-14,071,000","-14,071,000","-10,200,000",-,-,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,"-838,000","-838,000",-,-,-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"42,232,000","61,795,000","4,506,000",-,-,Financials in USD,Fiscal year is January - December
Asset Writedown,"-5,180,000","-5,180,000",-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-894,000","-894,000","-77,705,000",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"67,749,000","52,710,000","-87,158,000","849,000","-9,978,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"15,541,000","10,170,000","13,705,000","11,296,000","7,035,000",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"52,208,000","42,540,000","-100,863,000","-10,447,000","-17,013,000",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"-5,000",-,-,-,"5,000",Financials in USD,Fiscal year is January - December
Net Income,"52,203,000","42,540,000","-100,863,000","-10,447,000","-17,008,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"52,203,000","42,540,000","-100,863,000","-10,447,000","-17,008,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"101,066,086","101,110,000","98,143,000","97,129,000","97,129,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"101,066,086","101,110,000","98,143,000","97,129,000","97,129,000",Financials in USD,Fiscal year is January - December
Shares Change (YoY),-0.051%,3.023%,1.044%,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),0.517,0.421,-1.028,-0.108,-0.175,Financials in USD,Fiscal year is January - December
EPS (Diluted),0.516,0.420,-1.030,-0.110,-0.180,Financials in USD,Fiscal year is January - December
Free Cash Flow,"46,248,000","-6,506,000","23,181,000","63,221,000","56,484,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.458,-0.064,0.236,0.651,0.582,Financials in USD,Fiscal year is January - December
Gross Margin,55.037%,58.443%,57.527%,57.717%,56.189%,Financials in USD,Fiscal year is January - December
Operating Margin,11.766%,13.431%,20.612%,19.023%,11.525%,Financials in USD,Fiscal year is January - December
Profit Margin,12.606%,10.378%,-24.616%,-3.152%,-5.237%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,11.168%,-1.587%,5.657%,19.073%,17.391%,Financials in USD,Fiscal year is January - December
EBITDA,"57,064,000","62,913,000","92,281,000","74,933,000","48,764,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,13.780%,15.348%,22.522%,22.606%,15.014%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"8,342,000","7,856,000","7,824,000","11,879,000","11,333,000",Financials in USD,Fiscal year is January - December
EBIT,"48,722,000","55,057,000","84,457,000","63,054,000","37,431,000",Financials in USD,Fiscal year is January - December
EBIT Margin,11.766%,13.431%,20.612%,19.023%,11.525%,Financials in USD,Fiscal year is January - December
Effective Tax Rate,22.939%,19.294%,-,1330.506%,-,Financials in USD,Fiscal year is January - December
