Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
"Selling, General & Admin","15,966,000","17,009,000","21,120,000","21,971,000","11,098,000","4,703,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"55,963,000","58,146,000","50,063,000","42,124,000","22,629,000","9,072,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"71,929,000","75,155,000","71,183,000","64,095,000","33,727,000","13,775,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-71,929,000","-75,155,000","-71,183,000","-64,095,000","-33,727,000","-13,775,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-1,000,000","-1,000,000","3,800,000","2,500,000","100,000","-400,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"6,635,000","7,081,000","3,518,000","633,000","431,000","185,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-66,294,000","-69,074,000","-63,865,000","-60,962,000","-33,196,000","-13,990,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-100,000","-100,000","-7,200,000","-100,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-66,394,000","-69,174,000","-71,065,000","-61,062,000","-33,196,000","-13,990,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"485,000","491,000","111,000","37,000","3,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-66,879,000","-69,665,000","-71,176,000","-61,099,000","-33,199,000","-13,990,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-66,879,000","-69,665,000","-71,176,000","-61,099,000","-33,199,000","-13,990,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"40,313,720","39,973,059","39,139,693","28,654,760","1,066,208","642,169",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"40,313,720","39,973,059","39,139,693","28,654,760","1,066,208","642,169",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),1.452%,2.129%,36.591%,2587.539%,66.032%,18.354%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.659,-1.743,-1.819,-2.132,-31.137,-21.786,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.659,-1.743,-1.819,-2.132,-31.137,-21.786,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-64,069,000","-49,549,000","-67,047,000","-66,918,000","-37,099,000","-15,084,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.589,-1.240,-1.713,-2.335,-34.795,-23.489,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-67,226,000","-70,442,000","-67,493,000","-60,807,000","-32,955,000","-13,473,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"4,703,000","4,713,000","3,690,000","3,288,000","772,000","302,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-71,929,000","-75,155,000","-71,183,000","-64,095,000","-33,727,000","-13,775,000",Upgrade,Financials in USD,Fiscal year is January - December
