Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
"Selling, General & Admin","12,368,000","9,888,000","18,921,000","12,350,000","2,425,000","677,000",Financials in USD,Fiscal year is January - December
Research & Development,"6,779,000","11,578,000","26,214,000","23,322,000","9,342,000","4,019,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"19,147,000","21,466,000","45,135,000","35,672,000","11,767,000","4,696,000",Financials in USD,Fiscal year is January - December
Operating Income,"-19,147,000","-21,466,000","-45,135,000","-35,672,000","-11,767,000","-4,696,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,289,000","2,289,000","1,198,000","450,000",-,-,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"149,000","536,000","-1,484,000","-170,000","257,000","-15,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"2,340,000",-,-,"-11,718,000",-,"914,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-14,369,000","-18,641,000","-45,421,000","-47,110,000","-11,510,000","-3,797,000",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-5,425,000","-18,809,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"2,331,000","2,331,000","177,000","-370,000",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-69,122,000","-35,119,000","-45,244,000","-47,480,000","-20,668,000","-6,547,000",Financials in USD,Fiscal year is January - December
Net Income,"-69,122,000","-35,119,000","-45,244,000","-47,480,000","-20,668,000","-6,547,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,"4,548,000","2,285,000","844,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-69,122,000","-35,119,000","-45,244,000","-52,028,000","-22,953,000","-7,391,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"38,204,469","26,987,122","26,311,554","12,260,551","2,187,813","1,660,987",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"38,204,469","26,987,122","26,311,554","12,260,551","2,187,813","1,660,987",Financials in USD,Fiscal year is January - December
Shares Change (YoY),43.109%,2.568%,114.603%,460.402%,31.718%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.809,-1.301,-1.720,-4.244,-10.491,-4.450,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.809,-1.301,-1.720,-4.244,-10.491,-4.450,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-10,988,000","-20,599,000","-37,369,000","-36,072,000","-14,098,000","-5,008,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.288,-0.763,-1.420,-2.942,-6.444,-3.015,Financials in USD,Fiscal year is January - December
EBIT,"-19,147,000","-21,466,000","-45,135,000","-35,672,000","-11,767,000","-4,696,000",Financials in USD,Fiscal year is January - December
