Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020",,
Revenue,"9,554,315","6,002,206",-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"11,537,845","5,501,527","4,412,498",-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"-1,983,530","500,679","-4,412,498",-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","9,125,184","7,833,481","4,847,080","2,312,042","668,700",Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,"2,542,135","35,954",Financials in USD,Fiscal year is January - December
Operating Expenses,"9,152,545","7,860,842","4,874,441","4,870,310","704,654",Financials in USD,Fiscal year is January - December
Operating Income,"-11,136,075","-7,360,163","-9,286,939","-4,870,310","-704,654",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,"-58,464",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"1,379,077","639,365","-2,432,837","-21,482",825,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-9,756,998","-6,720,798","-11,719,776","-4,891,792","-762,293",Financials in USD,Fiscal year is January - December
Pretax Income,"-9,975,184","-7,263,984","-12,244,776","-4,891,792","-1,099,793",Financials in USD,Fiscal year is January - December
Income Tax Expense,"723,852","723,852",-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-10,699,036","-7,987,836","-12,244,776","-4,891,792","-1,099,793",Financials in USD,Fiscal year is January - December
Net Income to Common,"-10,699,036","-7,987,836","-12,244,776","-4,891,792","-1,099,793",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"13,908,377","10,163,850","2,590,173","2,589,832","1,838,365",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"13,908,377","10,163,850","2,590,173","2,589,832","1,838,365",Financials in USD,Fiscal year is January - December
Shares Change (YoY),72.719%,292.400%,0.013%,40.877%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.769,-0.786,-4.727,-1.889,-0.598,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.769,-0.786,-4.727,-1.889,-0.598,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-10,120,135","-11,188,811","-7,239,354","-4,040,072","-586,899",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.728,-1.101,-2.795,-1.560,-0.319,Financials in USD,Fiscal year is January - December
Gross Margin,-20.761%,8.341%,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-116.555%,-122.624%,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-111.981%,-133.082%,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-105.922%,-186.412%,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-11,108,714","-7,332,802","-9,259,578","-4,854,177",-,Financials in USD,Fiscal year is January - December
EBITDA Margin,-116.269%,-122.168%,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"27,361","27,361","27,361","16,133",-,Financials in USD,Fiscal year is January - December
EBIT,"-11,136,075","-7,360,163","-9,286,939","-4,870,310","-704,654",Financials in USD,Fiscal year is January - December
EBIT Margin,-116.555%,-122.624%,-,-,-,Financials in USD,Fiscal year is January - December
