Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"5,997,000","15,529,000","13,907,000","4,359,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-63.399%,11.663%,219.041%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"76,495,000","73,040,000","85,077,000","104,153,000","79,890,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-70,498,000","-57,511,000","-71,170,000","-99,794,000","-79,890,000",-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","23,366,000","29,892,000","26,410,000","28,527,000","17,944,000","10,096,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,-,"44,038,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"23,366,000","29,892,000","26,410,000","28,527,000","17,944,000","54,134,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-93,864,000","-87,403,000","-97,580,000","-128,321,000","-97,834,000","-54,134,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,"-242,000","-38,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,945,000","4,297,000","1,521,000","242,000","1,256,000","1,600,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-45,700","-45,700","-42,000","-6,000","121,000","-47,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"15,009,700","-3,008,300","161,000","-104,000","-11,683,000","440,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-75,955,000","-86,160,000","-95,940,000","-128,189,000","-108,382,000","-52,179,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-724,000","-724,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-76,679,000","-86,884,000","-95,940,000","-128,189,000","-108,382,000","-52,179,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"274,000","795,000","106,000","143,000","161,000","85,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-76,953,000","-87,679,000","-96,046,000","-128,332,000","-108,543,000","-52,264,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-76,953,000","-87,679,000","-96,046,000","-128,332,000","-108,543,000","-52,264,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"5,968,242","2,570,424","1,707,809","1,594,216","399,528","80,287",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"5,968,242","2,570,424","1,707,809","1,594,216","399,528","80,287",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),246.067%,50.510%,7.125%,299.025%,397.625%,68.415%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-12.894,-34.111,-56.239,-80.499,-271.678,-650.965,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-12.894,-34.111,-56.250,-80.499,-271.678,-650.965,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-85,107,000","-79,016,000","-80,332,000","-116,554,000","-76,327,000","-49,553,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-14.260,-30.740,-47.038,-73.111,-191.043,-617.198,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-1565.183%,-562.837%,-701.661%,-2943.817%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-1283.192%,-564.615%,-690.631%,-2944.070%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-1419.160%,-508.829%,-577.637%,-2673.870%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-92,684,000","-85,844,000","-95,274,000","-125,302,000","-95,099,000","-52,738,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,180,000","1,559,000","2,306,000","3,019,000","2,735,000","1,396,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-93,864,000","-87,403,000","-97,580,000","-128,321,000","-97,834,000","-54,134,000",Upgrade,Financials in USD,Fiscal year is January - December
