Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,-,"3,500,000","1,414,000","3,000,000","10,000,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,147.525%,-52.867%,-70.000%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"31,403,000","32,696,000","29,415,000","38,726,000","30,139,000","48,566,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-31,403,000","-29,196,000","-28,001,000","-35,726,000","-20,139,000","-48,566,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","28,003,000","19,004,000","17,256,000","21,644,000","23,779,000","20,705,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"1,342,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"29,345,000","19,004,000","17,256,000","21,644,000","28,365,000","28,524,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-60,748,000","-48,200,000","-45,257,000","-57,370,000","-48,504,000","-77,090,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-3,235,000","-418,000","-736,000","-3,656,000","-4,115,000","-400,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"3,966,000","2,117,000","431,000","40,000","1,301,000","1,208,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-10,968,000","-8,705,000","11,662,000","15,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-70,985,000","-55,206,000","-33,900,000","-60,971,000","-51,318,000","-76,282,000",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,"-32,466,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"-47,000","-47,000","-138,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,"1,065,000","-5,658,000",-,"-32,916,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"8,501,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-71,032,000","-54,188,000","-39,696,000","-84,936,000","-84,234,000","-76,282,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-71,032,000","-54,188,000","-39,696,000","-84,936,000","-84,234,000","-76,282,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,"3,782,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-71,032,000","-54,188,000","-43,478,000","-84,936,000","-84,234,000","-76,282,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"35,301,721","21,380,476","7,861,515","3,937,676","3,706,543","2,014,184",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"35,301,721","21,380,476","7,861,515","3,937,676","3,706,543","2,014,184",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),92.789%,171.964%,99.649%,6.236%,84.022%,5.947%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.012,-2.534,-5.530,-21.570,-22.726,-37.872,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.012,-2.534,-5.530,-21.570,-22.726,-37.872,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-50,568,000","-37,340,000","-43,613,000","-69,816,000","-36,355,000","-69,129,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.432,-1.746,-5.548,-17.730,-9.808,-34.321,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,-201.390%,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-,-1377.143%,-3200.636%,-1912.333%,-485.040%,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-,-1548.229%,-3074.823%,-2831.200%,-842.340%,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-1066.857%,-3084.371%,-2327.200%,-363.550%,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-58,792,000","-45,912,000","-42,164,000","-54,120,000","-43,918,000","-69,271,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,956,000","2,288,000","3,093,000","3,250,000","4,586,000","7,819,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-60,748,000","-48,200,000","-45,257,000","-57,370,000","-48,504,000","-77,090,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,-,-,"10,000,000",-,Upgrade,Financials in USD,Fiscal year is January - December
