Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022",,
Revenue,-,-,-,-,-,-,-,-,"531,000","37,000","61,500",Financials in USD,Fiscal year is January - December
Cost of Revenue,"23,423,000","16,560,000","15,742,000","8,210,000","17,246,000","11,236,000","16,438,000","11,387,000","15,362,000","12,267,000","11,206,500",Financials in USD,Fiscal year is January - December
Gross Profit,"-23,423,000","-16,560,000","-15,742,000","-8,210,000","-17,246,000","-11,236,000","-16,438,000","-11,387,000","-14,831,000","-12,230,000","-11,145,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","8,120,000","6,990,000","7,549,000","6,764,000","3,027,000","2,739,000","2,852,000","3,810,000","2,651,000","3,081,000","2,770,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"8,120,000","6,990,000","7,549,000","6,764,000","3,027,000","2,739,000","2,852,000","3,810,000","2,651,000","3,081,000","2,770,000",Financials in USD,Fiscal year is January - December
Operating Income,"-31,543,000","-23,550,000","-23,291,000","-14,974,000","-20,273,000","-13,975,000","-19,290,000","-15,197,000","-17,482,000","-15,311,000","-13,915,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-35,000","-35,000","-37,000","-50,000","-52,000","-53,000","-50,000","-54,000","-29,000","-9,000","-4,500",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,092,000","2,348,000","1,651,000","1,102,000","488,000","590,000","687,000","676,000","456,000","177,000","97,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-3,000","-1,000","-5,000","-7,000","1,000","-3,000","-4,000","-2,000",-,-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-29,489,000","-21,238,000","-21,682,000","-13,929,000","-19,836,000","-13,441,000","-18,657,000","-14,577,000","-17,055,000","-15,143,000","-13,822,500",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,"-258,000","-272,000",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-29,489,000","-21,238,000","-21,682,000","-14,187,000","-20,108,000","-13,441,000","-18,657,000","-14,577,000","-17,055,000","-15,143,000","-13,822,500",Financials in USD,Fiscal year is January - December
Net Income,"-29,489,000","-21,238,000","-21,682,000","-14,187,000","-20,108,000","-13,441,000","-18,657,000","-14,577,000","-17,055,000","-15,143,000","-13,822,500",Financials in USD,Fiscal year is January - December
Net Income to Common,"-29,489,000","-21,238,000","-21,682,000","-14,187,000","-20,108,000","-13,441,000","-18,657,000","-14,577,000","-17,055,000","-15,143,000","-13,822,500",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"33,063,153","33,001,946","27,979,838","16,438,237","1,626,734","1,619,547","1,610,793","1,644,559","1,643,122","1,641,418","1,616,717",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"33,063,153","33,001,946","27,979,838","16,438,237","1,626,734","1,619,547","1,610,793","1,644,559","1,643,122","1,641,418","1,616,717",Financials in USD,Fiscal year is January - December
Shares Change (YoY),1932.487%,1937.727%,1637.023%,899.553%,-0.997%,-1.332%,-0.366%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.892,-0.644,-0.775,-0.863,-12.361,-8.299,-11.582,-8.864,-10.380,-9.226,-8.550,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.892,-0.644,-0.775,-0.863,-12.361,-8.299,-11.582,-8.864,-10.380,-9.226,-8.550,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-17,889,000","-20,365,000","-15,052,000","-14,054,000","-13,952,000","-13,231,000","-18,374,000","-16,651,000","-12,145,000","-13,218,000","-13,218,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.541,-0.617,-0.538,-0.855,-8.577,-8.170,-11.407,-10.125,-7.391,-8.053,-8.176,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-,-,-,-,-,-3292.279%,-41381.081%,-22626.016%,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-,-,-,-,-,-3211.864%,-40927.027%,-22475.610%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-,-,-,-,-2287.194%,-35724.324%,-21492.683%,Financials in USD,Fiscal year is January - December
EBITDA,"-31,380,000","-23,393,000","-23,137,000","-14,818,000","-20,116,000","-13,837,000","-19,164,000","-15,049,000","-17,429,000","-15,277,500","-13,881,500",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"163,000","157,000","154,000","156,000","157,000","138,000","126,000","148,000","53,000","33,500","33,500",Financials in USD,Fiscal year is January - December
EBIT,"-31,543,000","-23,550,000","-23,291,000","-14,974,000","-20,273,000","-13,975,000","-19,290,000","-15,197,000","-17,482,000","-15,311,000","-13,915,000",Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,-,-,-,-,-,-,"531,000","37,000","61,500",Financials in USD,Fiscal year is January - December
