Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"6,656,522","3,953,870","4,135,301","2,140,726","3,862,012","3,341,185","6,585,967","2,507,794","2,588,631","9,602,195","13,028,394","14,135,132","15,646,460","17,655,592","13,340,487","14,616,989","11,749,186","10,321,754","9,943,104","10,578,016",Upgrade,Financials in USD,Fiscal year is October - September
Revenue Growth (YoY),72.359%,18.337%,-37.210%,-14.637%,49.191%,-65.204%,-49.449%,-82.258%,-83.455%,-45.614%,-2.339%,-3.297%,33.171%,71.052%,34.168%,38.183%,34.609%,6.114%,42.531%,66.013%,Upgrade,Financials in USD,Fiscal year is October - September
Cost of Revenue,"3,969,311","2,615,855","3,457,002","990,274","2,320,832","2,110,567","2,493,892","1,805,739","2,083,226","2,533,572","1,853,116","2,293,050","3,337,282","3,782,480","2,432,187","3,780,356","2,187,039","3,802,636","2,506,606","3,308,921",Upgrade,Financials in USD,Fiscal year is October - September
Gross Profit,"2,687,211","1,338,015","678,299","1,150,452","1,541,180","1,230,618","4,092,075","702,055","505,405","7,068,623","11,175,278","11,842,082","12,309,178","13,873,112","10,908,300","10,836,633","9,562,147","6,519,118","7,436,498","7,269,095",Upgrade,Financials in USD,Fiscal year is October - September
"Selling, General & Admin","7,794,717","7,507,609","7,580,340","8,301,431","6,774,559","10,902,916","12,834,494","9,145,865","18,289,515","10,761,486","7,401,138","6,723,206","5,924,812","5,556,730","4,806,897","4,381,880","3,883,426","3,475,474","3,805,916","3,753,514",Upgrade,Financials in USD,Fiscal year is October - September
Research & Development,"3,292,320","4,879,024","2,986,791","1,650,050","30,342,755","4,987,636","17,860,701","20,611,127","27,155,024","18,133,412","15,541,104","10,081,161","8,255,592","11,188,246","7,572,813","5,677,754","3,388,492","4,436,496","3,930,260","5,299,974",Upgrade,Financials in USD,Fiscal year is October - September
Operating Expenses,"11,087,037","12,386,633","10,567,131","9,951,481","37,117,314","15,890,552","34,606,909","29,756,992","45,442,539","28,892,398","22,940,242","16,804,367","14,180,404","16,744,976","12,379,710","10,059,634","7,271,918","7,911,970","7,736,176","9,053,488",Upgrade,Financials in USD,Fiscal year is October - September
Operating Income,"-8,399,826","-11,048,618","-9,888,832","-8,801,029","-35,576,134","-14,659,934","-30,514,834","-29,054,937","-44,937,134","-21,823,775","-11,764,964","-4,962,285","-1,871,226","-2,871,864","-1,471,410","776,999","2,290,229","-1,392,852","-299,678","-1,784,393",Upgrade,Financials in USD,Fiscal year is October - September
Interest Expense,"-169,867","-127,336","-145,310","-164,957","-207,201","-648,917","-697,693","-873,230","-812,321","-1,185,093","-1,212,702","-1,158,682","-1,157,795","-1,287,525","-1,251,551","-1,189,183","-1,145,343","-1,169,692","-1,164,962","-1,141,425",Upgrade,Financials in USD,Fiscal year is October - September
Other Non Operating Income (Expenses),"-215,821","377,122","382,226","79,092","808,712","1,920,133","1,256,994","-449,068","4,473,838","950,895","-1,227,614","-144,384","-1,621,526","-1,406,540","-101,330","-691,971","-526,491","-222,334","520,991","-456,026",Upgrade,Financials in USD,Fiscal year is October - September
EBT Excluding Unusual Items,"-8,785,514","-10,798,832","-9,651,916","-8,886,894","-34,974,623","-13,388,718","-29,955,533","-30,377,235","-41,275,617","-22,057,973","-14,205,280","-6,265,351","-4,650,547","-5,565,929","-2,824,291","-1,104,155","618,395","-2,784,878","-943,649","-3,381,844",Upgrade,Financials in USD,Fiscal year is October - September
Gain (Loss) on Sale of Investments,"513,471","-117,620","-192,030","-379,898",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Gain (Loss) on Sale of Assets,"194,536","110,000",-,"918,372","1,000,000","4,723,623",-,-,-,-,-,-,-,-,-,"18,410,158",-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Asset Writedown,-,-,-,-,-,-,"-3,900,000",-,-,-,-,-,-,-,-,-,"-14,100,000",-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Other Unusual Items,-,-,-,-,"26,400,000","-3,800,000",-,"-8,400,000",-,-,-,-,-,-,-,-,"540,000",-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Pretax Income,"-8,077,507","-10,806,452","-9,843,946","-8,348,420","-7,574,623","-12,465,095","-33,855,533","-38,777,235","-41,275,617","-22,057,973","-14,205,280","-6,265,351","-4,650,547","-5,565,929","-2,824,291","17,306,003","-12,941,605","-2,784,878","-943,649","-3,381,844",Upgrade,Financials in USD,Fiscal year is October - September
Income Tax Expense,"453,116","162,422","182,002","-72,439","557,492","57,551","-66,559","-68,278","11,589","137,603","-27,450","114,655","-356,067","-2,873,063","21,690","78,302","-1,109,060","240,502","-133,140","-76,743",Upgrade,Financials in USD,Fiscal year is October - September
Net Income,"-8,530,623","-10,968,874","-10,025,948","-8,275,981","-8,132,115","-12,522,646","-33,788,974","-38,708,957","-41,287,206","-22,195,576","-14,177,830","-6,380,006","-4,294,480","-2,692,866","-2,845,981","17,227,701","-11,832,545","-3,025,380","-810,509","-3,305,101",Upgrade,Financials in USD,Fiscal year is October - September
Net Income to Common,"-8,530,623","-10,968,874","-10,025,948","-8,275,981","-8,132,115","-12,522,646","-33,788,974","-38,708,957","-41,287,206","-22,195,576","-14,177,830","-6,380,006","-4,294,480","-2,692,866","-2,845,981","17,227,701","-11,832,545","-3,025,380","-810,509","-3,305,101",Upgrade,Financials in USD,Fiscal year is October - September
Shares Outstanding (Basic),"146,467,925","146,383,169","146,381,186","100,601,946","90,237,284","88,266,152","80,834,453","80,558,670","80,324,106","80,088,431","80,052,504","80,023,168","79,887,081","79,729,370","75,175,077","70,313,589","69,863,681","66,728,782","65,367,493","65,038,511",Upgrade,Financials in USD,Fiscal year is October - September
Shares Outstanding (Diluted),"146,467,925","146,383,169","146,381,186","100,601,946","90,237,284","88,266,152","80,834,453","80,558,670","80,324,106","80,088,431","80,052,504","80,023,168","79,887,081","79,729,370","75,175,077","75,799,037","69,863,681","66,728,782","65,367,493","65,038,511",Upgrade,Financials in USD,Fiscal year is October - September
Shares Change (YoY),62.314%,65.843%,81.088%,24.880%,12.341%,10.211%,0.977%,0.669%,0.547%,0.450%,6.488%,5.573%,14.347%,19.483%,15.004%,16.545%,7.420%,6.058%,4.143%,3.972%,Upgrade,Financials in USD,Fiscal year is October - September
EPS (Basic),-0.058,-0.075,-0.068,-0.082,-0.090,-0.142,-0.418,-0.481,-0.514,-0.277,-0.177,-0.080,-0.054,-0.034,-0.038,0.245,-0.169,-0.045,-0.012,-0.051,Upgrade,Financials in USD,Fiscal year is October - September
EPS (Diluted),-0.058,-0.075,-0.070,-0.082,-0.090,-0.142,-0.420,-0.481,-0.514,-0.277,-0.180,-0.080,-0.054,-0.034,-0.040,0.230,-0.169,-0.050,-0.012,-0.051,Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow,"-4,429,130","-5,700,439","-5,690,697","-6,020,389","-9,705,334","-18,457,329","-25,697,258","-34,819,593","-21,027,305","-14,118,848","-4,131,902","-8,960,001","-1,028,701","-12,976,589","-2,594,438","652,055","-373,427","3,319,743","-2,449,862","-2,532,309",Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow Per Share,-0.030,-0.039,-0.039,-0.060,-0.108,-0.209,-0.318,-0.432,-0.262,-0.176,-0.052,-0.112,-0.013,-0.163,-0.035,0.009,-0.005,0.050,-0.037,-0.039,Upgrade,Financials in USD,Fiscal year is October - September
Gross Margin,40.370%,33.841%,16.403%,53.741%,39.906%,36.832%,62.133%,27.995%,19.524%,73.615%,85.776%,83.778%,78.671%,78.576%,81.768%,74.137%,81.386%,63.159%,74.790%,68.719%,Upgrade,Financials in USD,Fiscal year is October - September
Operating Margin,-126.189%,-279.438%,-239.132%,-411.124%,-921.181%,-438.765%,-463.331%,-1158.585%,-1735.942%,-227.279%,-90.302%,-35.106%,-11.959%,-16.266%,-11.030%,5.316%,19.493%,-13.494%,-3.014%,-16.869%,Upgrade,Financials in USD,Fiscal year is October - September
Profit Margin,-128.154%,-277.421%,-242.448%,-386.597%,-210.567%,-374.797%,-513.045%,-1543.546%,-1594.944%,-231.151%,-108.823%,-45.136%,-27.447%,-15.252%,-21.333%,117.861%,-100.709%,-29.311%,-8.151%,-31.245%,Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow Margin,-66.538%,-144.174%,-137.613%,-281.231%,-251.303%,-552.419%,-390.182%,-1388.455%,-812.294%,-147.038%,-31.715%,-63.388%,-6.575%,-73.498%,-19.448%,4.461%,-3.178%,32.163%,-24.639%,-23.939%,Upgrade,Financials in USD,Fiscal year is October - September
